"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E06000004","Stockton-on-Tees","E01012242","Stockton-on-Tees001A","Stockton-on-Tees 001A",3.68,-5.63,-4.24,11.86,-0.54,9.49,2.02,-8.27,-6.32,12.17,1.79,3.82,5.37,-2.04,-1.43,11.56,-2.5,15.09
"E06000004","Stockton-on-Tees","E01012243","Stockton-on-Tees001B","Stockton-on-Tees 001B",-4.67,1.15,-2.47,-2.72,11.01,-27.07,3.5,5.79,12.5,0.4,17.48,-13.18,-11.22,-2.88,-14.44,-5.66,5.71,-35.14
"E06000004","Stockton-on-Tees","E01012244","Stockton-on-Tees001C","Stockton-on-Tees 001C",2.73,7.43,11.27,-2.61,4.49,2.26,5.02,10.99,16.44,-1.82,7.84,2.5,0.57,3.57,5.8,-3.33,1.26,2.07
"E06000004","Stockton-on-Tees","E01012246","Stockton-on-Tees001D","Stockton-on-Tees 001D",3.31,-1.08,0.61,7.09,4.49,0,2.5,-5.77,7.14,7.89,4.3,-5.22,4.15,4.94,-6.25,6.34,4.66,6.52
"E06000004","Stockton-on-Tees","E01012296","Stockton-on-Tees001E","Stockton-on-Tees 001E",-3.32,-10.68,10.87,-4.97,-1.39,-2.86,-2.1,-7.08,25.58,-3.05,-2.31,-4.96,-4.51,-15.05,-2.04,-7.03,-0.54,-1.15
"E06000004","Stockton-on-Tees","E01012297","Stockton-on-Tees001F","Stockton-on-Tees 001F",2.8,2.85,1.95,3.51,0.31,6.69,1.12,-0.47,-5.08,5,0.93,1.21,4.49,6.22,11.54,2.15,-0.31,12.2
"E06000004","Stockton-on-Tees","E01012197","Stockton-on-Tees002A","Stockton-on-Tees 002A",-4.58,-15.04,-19.08,3.98,-1.45,4.37,-2.77,-17.06,-22.13,13.03,5.19,-3.85,-6.17,-12.92,-16.43,-3.49,-6.77,11.2
"E06000004","Stockton-on-Tees","E01012256","Stockton-on-Tees002B","Stockton-on-Tees 002B",0.54,9.91,-4.35,-3.25,0.33,1.86,1.6,6.06,0,-4.08,0.7,5.12,-0.45,15.56,-8.47,-2.31,0,-0.74
"E06000004","Stockton-on-Tees","E01012257","Stockton-on-Tees002C","Stockton-on-Tees 002C",0.57,-9.39,4.62,5.18,-3,3.51,0.29,-9.91,-2.78,9.66,-0.63,-0.58,0.83,-8.82,13.79,1.05,-5.14,7.11
"E06000004","Stockton-on-Tees","E01012275","Stockton-on-Tees002D","Stockton-on-Tees 002D",0.45,-4.49,7.25,1.9,2.46,-3.95,0.8,-4.4,-1.92,11.02,0.72,-10.62,0.12,-4.58,17.98,-5.54,4.11,1.43
"E06000004","Stockton-on-Tees","E01012276","Stockton-on-Tees002E","Stockton-on-Tees 002E",-0.79,-2.27,-8.33,-2.62,4.23,1.57,1.46,0,-8.86,-0.36,7.73,3.59,-2.72,-4.17,-7.92,-4.7,1.02,0
"E06000004","Stockton-on-Tees","E01012277","Stockton-on-Tees002F","Stockton-on-Tees 002F",0.23,0,-2.55,2.37,8.61,-10.68,4.41,2.15,-3.92,6.72,18.05,-5.36,-3.21,-2.08,-1.06,-0.97,1.18,-14.2
"E06000004","Stockton-on-Tees","E01012196","Stockton-on-Tees003A","Stockton-on-Tees 003A",1.56,-1.04,3.85,0,1.7,5.69,4.25,0.69,4.46,4.96,4.82,6.31,-0.97,-2.8,3.13,-4.48,-1.07,5.19
"E06000004","Stockton-on-Tees","E01012198","Stockton-on-Tees003B","Stockton-on-Tees 003B",1.45,-15.04,15.61,5.31,6.69,0,5.22,-18.58,13.95,14.35,14.58,7.58,-2.16,-10.9,17.24,-2.69,-1.43,-5.15
