"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000143","Breckland","E01026436","Breckland001A","Breckland 001A",1.22,4.56,0.54,8.59,-0.39,-5.65,4.28,8.24,3.3,12.85,0.85,-2.78,-1.72,0.59,-2.13,4.42,-1.44,-8.46
"E07000143","Breckland","E01026461","Breckland001C","Breckland 001C",-0.54,-8.14,-13.82,6.16,0.31,0.88,0.96,-8.53,-14.71,13.56,3.33,-0.49,-2,-7.61,-12.73,-1.11,-2.31,2
"E07000143","Breckland","E01026483","Breckland001E","Breckland 001E",-8.82,13.29,-9.9,-1.33,-7.81,-22.81,-7.35,17.28,-17.31,2.04,-7.63,-22.34,-10.26,8.06,-2.04,-4.55,-7.97,-23.22
"E07000143","Breckland","E01033042","Breckland001F","Breckland 001F",-3.95,-4.67,-12.12,-2.76,-4.42,0.67,-5.77,0.43,-18.75,-6.29,-10.19,5.77,-1.75,-9.62,3.37,2.22,1.49,-3.78
"E07000143","Breckland","E01026442","Breckland002A","Breckland 002A",-1.76,-8.56,-3.98,4.45,-4.83,-0.3,-1.79,-9.9,-3.88,10.21,-6.5,-0.96,-1.74,-6.67,-4.11,-0.35,-2.9,0.28
"E07000143","Breckland","E01026443","Breckland002B","Breckland 002B",4.51,5.49,-5.49,4.23,7.11,6.78,4.45,6.63,-12.23,6.11,10.33,4.72,4.57,4.08,2.59,2.48,4,9.01
"E07000143","Breckland","E01026445","Breckland002C","Breckland 002C",-0.44,-7.3,5.13,4.99,-5.75,1.56,2.01,-8.81,10.87,13.42,-4.83,2.34,-2.76,-5.77,0,-2.8,-6.6,0.83
"E07000143","Breckland","E01026462","Breckland002D","Breckland 002D",-0.21,0.29,3.35,8.3,-5.71,-3.8,0.35,-0.52,3.77,14.06,-8.16,-3.7,-0.76,1.32,2.91,3.15,-3.24,-3.88
"E07000143","Breckland","E01026428","Breckland003A","Breckland 003A",0.45,4.25,-5.1,7.02,-5.38,-2.72,2.53,5.02,3.21,9.92,-6.91,-0.41,-1.43,3.45,-11.68,4.57,-3.89,-4.78
"E07000143","Breckland","E01026429","Breckland003B","Breckland 003B",-2.26,-4.8,-6.11,0.71,2.22,-5.18,0.43,0.89,-15.56,7.43,9.02,-5.65,-4.61,-9.42,3.33,-5.5,-3.38,-4.78
"E07000143","Breckland","E01026430","Breckland003C","Breckland 003C",-3.46,-17.6,-2.94,4.76,-7.12,0.35,-3.75,-16.43,-0.85,8.2,-9.68,-1.95,-3.18,-19.05,-5,1.78,-4.47,2.18
"E07000143","Breckland","E01026431","Breckland003D","Breckland 003D",5.11,16.67,21.05,6.41,4.09,-3.65,4.77,4,1.64,11.36,13.04,-2.76,5.42,35.29,55.88,2.01,-2.34,-4.35
"E07000143","Breckland","E01026446","Breckland004A","Breckland 004A",3.55,4.27,8.9,1.47,9.83,0.14,1.75,7.14,-3.61,-5.28,13.3,0,5.26,1.64,25.4,8.66,6.85,0.26
"E07000143","Breckland","E01026452","Breckland004B","Breckland 004B",1.61,2.13,0,8.85,-3.98,0.65,1.55,0,-12.2,15.82,-0.63,-2.18,1.66,4.55,11.36,2.55,-6.42,3.48
"E07000143","Breckland","E01026453","Breckland004C","Breckland 004C",-3.72,-16.43,-4.55,-6.01,3.06,-0.88,-3.22,-6.73,-12,-5.31,4.95,-2.45,-4.25,-26.21,5.26,-6.7,1.12,0.95
"E07000143","Breckland","E01026454","Breckland004D","Breckland 004D",0.25,0.32,2.94,3.82,-4.86,-4.59,-0.96,-0.58,3,2.43,-6.67,-5.77,1.53,1.47,2.88,5.21,-3.05,-3.26
"E07000143","Breckland","E01026425","Breckland005A","Breckland 005A",0.1,-3.57,6.72,2.28,-2.85,-0.76,3.24,0.5,11.63,6.34,-7.6,5.45,-2.86,-7.81,0.92,-1.33,2.76,-5.28
"E07000143","Breckland","E01026426","Breckland005B","Breckland 005B",-5.48,-4.43,-6.27,-5.59,-4.39,-6.64,-4.92,-9.84,5.88,-8.09,-1.22,-4.43,-6.07,1.79,-15.3,-2.39,-8.1,-8.43
"E07000143","Breckland","E01026427","Breckland005C","Breckland 005C",5.95,6.99,21.27,9.66,-1.87,1.29,8.92,7.69,32.22,9.94,3.86,4.81,3.4,6.33,13.74,9.41,-7.27,-1.42
"E07000143","Breckland","E01026432","Breckland005D","Breckland 005D",2.84,4.72,7.27,5.15,-0.36,0.5,4.84,12.5,0,7.54,2.33,1.07,0.97,-2.78,17.02,2.87,-2.7,0
"E07000143","Breckland","E01026433","Breckland005E","Breckland 005E",-6.55,-8.05,-1.08,-4.98,-2.34,-18.62,-6.61,-3.21,-5.1,-5.34,0.88,-26.04,-6.49,-11.98,3.45,-4.67,-6,-10.87
"E07000143","Breckland","E01026434","Breckland005F","Breckland 005F",-0.41,2.57,-12.75,1.06,2.49,-0.75,0.65,2.26,-11,1.4,1.21,3.25,-1.39,2.88,-14.42,0.71,3.55,-4.23
"E07000143","Breckland","E01026479","Breckland006A","Breckland 006A",-0.26,6.31,-5.23,0.51,2.2,-4.04,-0.95,6.54,-9.59,-0.94,-1.38,-1.52,0.38,6.06,-1.25,2.22,5.2,-6.05
"E07000143","Breckland","E01026480","Breckland006B","Breckland 006B",1.98,0.52,16.67,9.57,-2.74,-4.21,4.68,7.29,14.49,12.22,0.61,-2.78,-0.51,-6.32,19.05,7.14,-5.5,-5.53
"E07000143","Breckland","E01026481","Breckland006C","Breckland 006C",-1.02,-5.75,3.74,1.15,3.5,-5.86,2.25,-3.31,8.77,6.33,8.45,-6.21,-4.14,-8.57,-2,-3.14,-1.39,-5.56
"E07000143","Breckland","E01026484","Breckland006D","Breckland 006D",-1.8,-9.27,-0.73,0.77,-0.53,-1,1.17,-10.96,7.58,3.87,0,7.03,-4.7,-7.08,-8.45,-1.93,-1.1,-7.87
"E07000143","Breckland","E01026485","Breckland006E","Breckland 006E",0.76,-5.65,14.81,2.66,-5.26,4.36,-0.65,-14,21.43,4.52,-6.17,0.69,2.3,5.19,7.69,0.68,-4.35,8.46
"E07000143","Breckland","E01026455","Breckland007A","Breckland 007A",-1.51,-4.84,-8.2,4.77,-1.09,-3.11,1.81,-6.22,-4.67,14.08,-1.66,0.77,-4.26,-3.35,-10.95,-2.56,-0.54,-5.74
"E07000143","Breckland","E01026456","Breckland007B","Breckland 007B",3.75,2.63,12,1.67,3.2,3.61,2.07,13.56,-1.92,-0.83,4.39,0,5.26,-9.09,27.08,4.2,2.21,6.49
"E07000143","Breckland","E01026457","Breckland007C","Breckland 007C",0,2.04,4.35,0,3.5,-2.31,-0.32,-7.84,6.45,7.41,1.54,-3.36,0.28,12.77,2.63,-6.67,5.13,-1.43
"E07000143","Breckland","E01026458","Breckland007D","Breckland 007D",5.98,7.66,-1.42,15.82,6.06,-1.91,5.58,12.84,5.62,14.07,2.58,-6.67,6.34,3.17,-6.5,17.45,9.86,1.98
"E07000143","Breckland","E01026459","Breckland007E","Breckland 007E",3.09,-1.64,11.65,6.16,8.39,-1.1,3.19,-8.82,17.54,2.76,18.8,-0.87,3,7.41,4.35,9.66,0.64,-1.28
"E07000143","Breckland","E01026437","Breckland008A","Breckland 008A",2.63,-4.84,-1.87,9.56,-1.36,4.7,2.9,0,-5,10,-4.9,7.43,2.36,-9.52,2.13,9.16,1.99,1.98
"E07000143","Breckland","E01026438","Breckland008B","Breckland 008B",4.02,-2.26,25,10.42,5.12,-4.87,4.51,-19.23,43.24,18.52,11.11,-7.45,3.54,21.82,10.64,3.79,-0.78,-2.04
