"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"W06000003","Conwy","W01000132","Conwy001A","Conwy 001A",-3.93,-0.92,6.25,5.76,1.88,-19.96,3.67,4.42,3.75,9.92,6.67,-7.14,-10.67,-6.73,9.38,0.92,-2.35,-27.46
"W06000003","Conwy","W01000146","Conwy001B","Conwy 001B",3.41,5.85,-7.69,8.02,-2.35,7.11,1.57,3,-16.04,5.7,3.38,0,5.38,8.57,0,10.9,-8.57,14.16
"W06000003","Conwy","W01000147","Conwy001C","Conwy 001C",3.54,8.63,-10.83,11.86,5.21,0,2.85,-1.56,-8.2,24.67,2.4,-5.77,4.18,17.33,-13.56,0,8.57,4.55
"W06000003","Conwy","W01000169","Conwy001D","Conwy 001D",-2.05,-7.3,0.68,-0.9,0.69,-4.14,-0.55,-4.31,-10.53,4.61,3.23,-5.63,-3.49,-10.26,12.68,-6.64,-1.84,-2.96
"W06000003","Conwy","W01000186","Conwy001E","Conwy 001E",1.46,6.87,-11.56,2.98,-0.91,5.41,-1.43,5.44,-18.03,3.56,0.7,-4.55,4.26,8.7,-3.88,2.4,-2.13,13.68
"W06000003","Conwy","W01000133","Conwy002A","Conwy 002A",-2.46,11.3,-3.28,3.64,1.17,-9.06,-2.5,13.98,-6.17,0,-0.6,-8.08,-2.42,8.33,2.44,7.43,2.82,-9.75
"W06000003","Conwy","W01000168","Conwy002B","Conwy 002B",4.7,8.5,14.93,12.41,-3.86,-7.65,9.78,13.3,29.55,18.07,0.61,-8.7,0.31,3.03,3.54,7.69,-7.5,-6.83
"W06000003","Conwy","W01000187","Conwy002C","Conwy 002C",7.49,10.96,13,11.92,-0.69,-3.85,10.91,12.43,24.76,17.89,-2.7,-3.57,4.63,9.76,2.54,7.22,1.43,-4.03
"W06000003","Conwy","W01000188","Conwy002D","Conwy 002D",-0.95,-1.94,-2.23,7.84,-3.05,-5.63,0,2.22,-15.96,10.15,0.54,-3.67,-1.78,-5.17,12.94,5.69,-6.22,-7.17
"W06000003","Conwy","W01000154","Conwy003A","Conwy 003A",-2,-3.61,9.43,0,0.32,-6.36,-0.15,-6.32,21.15,-2.91,9.16,-5.94,-3.59,0,-1.85,3.27,-5.95,-6.65
"W06000003","Conwy","W01000173","Conwy003B","Conwy 003B",-4.23,-3.17,-20.38,0.23,-1.27,-3.28,-5.09,0.82,-32.86,0.98,6.25,-2.92,-3.39,-6.92,4.23,-0.44,-7.56,-3.57
"W06000003","Conwy","W01000174","Conwy003C","Conwy 003C",0.59,2.39,2.17,4.15,-1.28,-3.01,0.12,-4.08,0,9.01,-0.67,-5.29,1.04,11.54,4.6,-0.42,-1.84,-1.1
"W06000003","Conwy","W01000175","Conwy003D","Conwy 003D",-3.74,-8.81,0,2.08,-4.45,-5.17,-0.67,-3.95,6.45,2.67,4.79,-5.43,-6.4,-13.25,-8.89,1.45,-11.52,-4.98
"W06000003","Conwy","W01000155","Conwy004A","Conwy 004A",-4.9,-9.64,-5.07,-3.37,2.82,-8.06,-1.47,1.47,-11.11,1.41,4.96,-4.45,-7.86,-17.35,3.51,-7.74,0.7,-10.71
"W06000003","Conwy","W01000156","Conwy004B","Conwy 004B",-2.51,-0.7,9.76,4.56,-6.77,-5.64,0,6.85,28.95,6.33,-3.75,-7.35,-4.68,-8.57,-6.82,2.68,-9.7,-4.43
"W06000003","Conwy","W01000157","Conwy004C","Conwy 004C",0.95,5.88,1.82,-0.84,1.94,-2,-1.12,-2.34,-14.14,-2.4,11.43,2.24,2.92,13.19,25.76,0.89,-4.58,-5.42
"W06000003","Conwy","W01000158","Conwy004D","Conwy 004D",-0.38,1.26,-2.7,11.96,1.27,-6.58,-0.82,-3.49,-11.48,16.56,4.08,-9.44,0,6.85,8,7.33,-1.2,-4.52
"W06000003","Conwy","W01000149","Conwy005A","Conwy 005A",4.59,11.98,2.4,15.27,3.01,-4.25,4.98,9.43,-1.64,17.44,1.83,-2.73,4.24,14.41,6.25,12.96,4.17,-5.47
"W06000003","Conwy","W01000150","Conwy005B","Conwy 005B",-0.47,-4.95,5,7.65,-6.32,-2.34,-0.14,-4.35,-11.83,11.43,-2.86,0,-0.8,-5.61,38.3,4.41,-9.52,-4.37
"W06000003","Conwy","W01000151","Conwy005C","Conwy 005C",-0.49,-6.46,14.69,2.59,1.06,-9.96,0.75,-8.33,15.38,8.71,4.69,-13.71,-1.65,-4.09,13.95,-2.34,-1.95,-6.57
"W06000003","Conwy","W01000152","Conwy005D","Conwy 005D",1.16,9.72,7.51,0.52,0.32,-5.35,4.31,14.66,4.88,5.62,8.7,-7.14,-1.69,4,9.89,-3.81,-6.18,-3.65
"W06000003","Conwy","W01000184","Conwy005E","Conwy 005E",4.29,10.63,1.76,11.93,5.3,-3.66,7.31,17.39,11.71,17.56,7.54,-5.11,1.53,4.91,-7.76,6.87,3.26,-2.28
"W06000003","Conwy","W01000135","Conwy006A","Conwy 006A",-5.08,-17.78,-13.48,-6.86,1.54,-3.06,-4.26,-17.09,-16.42,-4.78,8.29,-4.63,-5.79,-18.52,-10.81,-8.88,-4.02,-1.82
"W06000003","Conwy","W01000136","Conwy006B","Conwy 006B",-33.73,-38.68,-33.47,-32.14,-33.5,-32.63,-35.22,-37.77,-41.79,-32.32,-34.1,-34.99,-32.15,-39.79,-23.93,-31.94,-32.9,-30.48
"W06000003","Conwy","W01000165","Conwy006C","Conwy 006C",-4.28,-6.27,-12.3,8.39,-6.12,-8.58,-7.07,-14.45,-22.64,11.82,-7.2,-10.9,-1.32,10.98,1.23,5.15,-5.04,-6.53
"W06000003","Conwy","W01000166","Conwy006D","Conwy 006D",-2.09,-0.62,-2.26,-1.28,-6.03,-1.26,0.08,8.09,-3.91,3.57,-8.77,-3.94,-3.96,-8.91,-0.73,-5.19,-3.39,0.73
"W06000003","Conwy","W01000139","Conwy007A","Conwy 007A",18.9,4.96,27.67,16.55,36.4,14.24,18.4,5.97,25,17.06,33.33,13.74,19.41,3.7,31.75,16.04,39.67,14.62
"W06000003","Conwy","W01000143","Conwy007B","Conwy 007B",2.16,-7.39,1.76,13.43,0.68,-4.76,5.82,-10.22,7.23,23.38,3.38,-1.85,-1.42,-4.22,-3.45,4.35,-2.07,-7.32
"W06000003","Conwy","W01000144","Conwy007C","Conwy 007C",23.09,5.71,31.52,30.13,31.49,13.82,22.68,11.41,14.58,33.96,29.84,5.81,23.56,0.6,50,25.24,33.33,24.24
"W06000003","Conwy","W01000182","Conwy007D","Conwy 007D",8.79,47.62,27.45,23.02,3.48,-10.44,14.15,37.61,22.08,31.22,13.11,-6.88,3.8,61.25,32.89,14.86,-6.63,-13.11
"W06000003","Conwy","W01000138","Conwy008A","Conwy 008A",8.53,8.52,32.89,19.86,4.29,-5.08,9.95,10.88,28.38,18.92,6.08,-2.73,7.18,5.69,37.18,20.87,2.6,-6.85
"W06000003","Conwy","W01000145","Conwy008B","Conwy 008B",7.38,12.83,9.09,14.52,4.94,-6.32,6.74,11.51,-1.47,12.43,7.55,-4.55,7.96,14.29,20.31,16.67,2.92,-7.55
"W06000003","Conwy","W01000180","Conwy008C","Conwy 008C",-5.74,-9.59,-17.07,-3.52,-3.69,-2.7,-4.19,-8.03,-13.95,-0.93,-4.43,0,-7.26,-11.19,-20.51,-6.13,-2.94,-5.03
"W06000003","Conwy","W01000181","Conwy008D","Conwy 008D",-0.81,-3.93,2.3,3.31,-0.95,-7.59,0.27,-2.9,8.14,5.11,-3.18,-7.08,-1.84,-4.93,-3.41,1.61,1.27,-8.06
"W06000003","Conwy","W01000183","Conwy008E","Conwy 008E",-8.84,-12.36,-35.16,-6.36,-3.22,-0.85,-12.45,-10.31,-35.25,-13.51,0.68,-6.19,-5.24,-14.81,-35,1.86,-6.75,2.87
"W06000003","Conwy","W01000126","Conwy009A","Conwy 009A",6.1,3.45,10.14,12.29,4.48,-0.65,5.43,0,14.08,7.31,6.59,2.67,6.79,7.05,6.49,18.4,2.63,-3.75
"W06000003","Conwy","W01000127","Conwy009B","Conwy 009B",16.58,2.63,22.5,16.48,29.08,19.27,17.47,2.92,14.06,17.49,39.13,19.61,15.69,2.33,32.14,15.43,20.19,18.97
"W06000003","Conwy","W01000128","Conwy009C","Conwy 009C",6.61,6.38,10.48,16.2,1.03,0,6.96,9.45,5.41,14.77,5.76,-2.76,6.27,2.78,18,17.58,-3.31,2.05
"W06000003","Conwy","W01000153","Conwy009D","Conwy 009D",2.74,8.72,9.22,9.27,-1.25,-3.93,1.09,0.81,1.3,8.08,0,-3.8,4.42,18.95,18.75,10.45,-2.42,-4.05
"W06000003","Conwy","W01000163","Conwy009E","Conwy 009E",5.1,8.96,1.85,6.28,3.67,0.58,8.72,12.74,0,10.56,6,14.71,1.94,5.62,4.44,2.99,1.69,-8.74
"W06000003","Conwy","W01000164","Conwy009F","Conwy 009F",-0.51,-1.79,2.38,2.59,-2.94,-5.05,1.19,4.48,9.76,4.39,-6.62,-7.37,-2.12,-7.53,-4.65,0.85,0.74,-2.91
