"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E09000032","Wandsworth","E01004560","Wandsworth001A","Wandsworth 001A",-5.27,3.1,4.46,-4.78,-11.3,-18.18,-2.31,6.35,8.57,-1.1,-9.38,-17.58,-8.22,0,1.15,-8.49,-13.48,-18.75
"E09000032","Wandsworth","E01004566","Wandsworth001B","Wandsworth 001B",-10.9,-17.48,3.28,-12.59,-7.23,-9.95,-11.86,-17.27,-18.87,-10.37,-3.57,-18.39,-10.04,-17.71,20.29,-14.61,-10.57,-3.51
"E09000032","Wandsworth","E01004582","Wandsworth001C","Wandsworth 001C",-17.22,-22.68,-21.5,-14.93,-17.82,-14.58,-20.66,-25.12,-30.19,-17.7,-18.86,-20.29,-13.35,-19.5,-11.7,-11.74,-16.67,-9.55
"E09000032","Wandsworth","E01004583","Wandsworth001D","Wandsworth 001D",-11.13,-13.06,-18.66,-6.82,-16.77,-11.51,-12.99,-20.66,-21.82,-7.87,-18.47,-11.23,-9.44,-3.96,-16.46,-5.81,-15.03,-11.72
"E09000032","Wandsworth","E01004562","Wandsworth002B","Wandsworth 002B",18.97,3.41,32.9,29.9,7.74,1.95,21.65,16.08,29.81,29.57,18.67,-4.55,16.21,-6.67,35.43,30.3,-2.5,8.87
"E09000032","Wandsworth","E01004563","Wandsworth002C","Wandsworth 002C",6.7,3.83,25.82,3.41,16.98,-6.92,8.05,5.49,15.31,5.1,25.4,-3.45,5.42,2.15,34.78,1.76,9.35,-9.72
"E09000032","Wandsworth","E01004564","Wandsworth002D","Wandsworth 002D",6.88,18.95,2.97,6.26,7.39,2.9,15.26,33.75,5,14.32,19.64,3.28,0,2.74,1.64,-0.18,-4.24,2.6
"E09000032","Wandsworth","E01004567","Wandsworth002E","Wandsworth 002E",4.67,-2.32,28.27,-1.72,21.51,16.95,8.28,-0.36,25.22,2.25,31.5,31.71,1.48,-4.18,31.15,-5.26,13.16,9.09
"E09000032","Wandsworth","E01033098","Wandsworth002F","Wandsworth 002F",-55.18,-38.73,-76.63,-50.32,-70.7,-52.17,-62.15,-42.67,-87.5,-55.69,-72.97,-73.47,-46.26,-34.33,-64.77,-44.14,-65.22,0
"E09000032","Wandsworth","E01033100","Wandsworth002G","Wandsworth 002G",7.73,-16.97,29.73,11.08,6.05,5.59,8.13,-5.48,33.93,7.45,11.86,-1.47,7.32,-26.09,25.45,14.84,-1.03,12
"E09000032","Wandsworth","E01033132","Wandsworth002H","Wandsworth 002H",-14.74,-12.21,-26.05,-10.84,-13.77,-34.67,-19.06,-18.03,-21.95,-20.06,-21.79,9.52,-10.52,-7.14,-28.21,0,-3.33,-51.85
"E09000032","Wandsworth","E01004539","Wandsworth003A","Wandsworth 003A",9.83,-1.78,23.32,18.38,0.32,-1.35,12.48,-5.94,15.38,29.46,3.07,14.75,7.25,3.64,31.71,9.41,-2.7,-12.64
"E09000032","Wandsworth","E01004540","Wandsworth003B","Wandsworth 003B",4.54,-2.09,19.08,6.94,-4.85,4.62,10.31,2.5,16.25,11.18,6.12,22.97,-0.54,-6.29,21.51,3.02,-14.81,-6.61
"E09000032","Wandsworth","E01004577","Wandsworth003C","Wandsworth 003C",-6.33,-5.84,-20.47,-2.4,-8.39,-6.67,-7.03,-1.57,-27.1,-6.05,-3.38,-2.13,-5.67,-10,-13.89,1.32,-13.33,-9.59
"E09000032","Wandsworth","E01004584","Wandsworth003D","Wandsworth 003D",2.54,-13.33,8.49,12.92,0,-2.88,4.12,-15.15,-12.28,31.73,1.44,-7.04,1.1,-11.27,32.65,0.49,-1.56,1.47
"E09000032","Wandsworth","E01004579","Wandsworth004B","Wandsworth 004B",6.38,1.69,3.38,14.13,1.1,-5,9.23,5.63,-10.11,18.91,1.6,6.67,3.76,-1.95,23.73,9.56,0.68,-12
"E09000032","Wandsworth","E01004580","Wandsworth004C","Wandsworth 004C",4.02,2.15,2.96,5.77,5.88,-3.92,8.99,1.45,-1.03,13.91,9.09,2.2,-0.47,2.84,6.6,-1.31,2.27,-8.85
"E09000032","Wandsworth","E01004581","Wandsworth004D","Wandsworth 004D",-2.52,-9.05,-13.9,4.62,6.88,-20.16,-3.18,2.56,-26.85,3.46,21.3,-31.4,-1.92,-16.53,-1.74,5.73,-7.27,-10.22
"E09000032","Wandsworth","E01033099","Wandsworth004E","Wandsworth 004E",4.53,8.51,8.28,4.04,6.29,-8.42,5.65,9.57,-9.2,7.93,25.86,-21.43,3.47,7.45,30,0.25,-4.95,1.89
"E09000032","Wandsworth","E01033101","Wandsworth004F","Wandsworth 004F",-14.76,-24.24,11.11,-10.25,-26.72,-30.46,-19.94,-30.86,2.56,-15.87,-12.61,-40.52,-8.89,-13.73,15.38,-3.91,-38.24,-10.34
"E09000032","Wandsworth","E01033133","Wandsworth004G","Wandsworth 004G",-17.94,-30.19,-14.44,-17.01,-20.59,3.17,-18.09,-33.73,-16,-15.35,-25.49,10.71,-17.77,-26.32,-12.5,-18.75,-13.24,-2.86
"E09000032","Wandsworth","E01004565","Wandsworth005A","Wandsworth 005A",-2.31,-15.31,-13.2,1.29,8.6,-8.15,3.01,-3.06,8.33,4.76,9.64,-16.13,-6.83,-26.13,-25.6,-1.9,7.77,-1.37
"E09000032","Wandsworth","E01004590","Wandsworth005B","Wandsworth 005B",5.14,-8.42,17,9.32,-3.37,7.98,8.59,-3.6,17.48,11.62,0.69,15.63,1.95,-12.66,16.49,7.08,-7.24,2.82
"E09000032","Wandsworth","E01004591","Wandsworth005C","Wandsworth 005C",4.71,15.76,5.38,2.48,12.79,-4.68,3.41,12.77,0,-0.35,19.83,-1.43,5.97,18.35,9.52,5.42,4.85,-6.93
