"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E09000004","Bexley","E01000466","Bexley001A","Bexley 001A",-3.33,-4.69,0,-2.72,-5.56,-2.6,-2.51,-10.04,-4.92,4.17,-2.67,1.49,-4.13,1.36,5.36,-8.58,-8.7,-5.75
"E09000004","Bexley","E01000467","Bexley001B","Bexley 001B",-9.4,1.99,-18.07,-11.28,4.33,-47.47,-7.9,2.86,-15.7,-12.14,2.88,-36.67,-10.77,1.16,-20.31,-10.5,5.8,-54.08
"E09000004","Bexley","E01000468","Bexley001C","Bexley 001C",0.77,7,-14.87,0.67,1.52,3.03,3.14,8.7,-14.14,3.49,0.47,31.43,-1.44,5.21,-15.53,-1.68,2.75,-12.5
"E09000004","Bexley","E01000469","Bexley001D","Bexley 001D",-3.04,7,-17.29,-7.16,0.32,0,0.82,18.23,-23.28,-0.65,-1.8,3.39,-6.5,-2.5,-10.2,-12.37,2.84,-2.3
"E09000004","Bexley","E01000416","Bexley002A","Bexley 002A",3.97,10.28,-3.38,3.45,2.54,3.61,4.77,5.26,-10.91,11.51,1.44,9.52,3.2,15.88,5.15,-3.34,3.65,-0.91
"E09000004","Bexley","E01000418","Bexley002B","Bexley 002B",-1.42,2.83,-4.76,-0.28,-3.85,-6.33,-0.42,3.06,1.85,-2.42,-2.22,-0.92,-2.36,2.61,-11.76,1.62,-5.43,-10.94
"E09000004","Bexley","E01000422","Bexley002C","Bexley 002C",-2.74,-2.4,-4.81,-2.59,3.58,-16.07,-0.33,3.41,-10.45,-1.94,10.96,-13.56,-4.97,-7.94,0.74,-3.11,-4.51,-18.87
"E09000004","Bexley","E01000464","Bexley002D","Bexley 002D",-2.98,1.36,-7.73,-5.78,-0.33,-1.69,-2.27,2.73,-16.67,-1.19,0,-1.16,-3.65,0,1.89,-9.4,-0.68,-2.2
"E09000004","Bexley","E01000465","Bexley002E","Bexley 002E",-4.25,-1.76,-3.52,-2.54,-6.05,-12.44,-8.75,-4.57,-15.31,-7.1,-6.17,-20.2,0.35,1,7.92,2.29,-5.92,-4.9
"E09000004","Bexley","E01000470","Bexley002F","Bexley 002F",5.89,8.95,1.73,7.86,4.78,-1.6,11.97,6.36,22.54,15.02,9.8,7.84,0.44,12.14,-12.75,1.94,0,-8.11
