"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000147","North Norfolk","E01026770","NorthNorfolk001A","North Norfolk 001A",-7.41,-6.77,-5.84,-5.94,-7.62,-8.57,-6.53,-0.97,7.69,-7.47,-5.03,-10.67,-8.17,-13.48,-14.12,-4.06,-9.65,-7.05
"E07000147","North Norfolk","E01026771","NorthNorfolk001B","North Norfolk 001B",-3.62,-10.73,-0.9,-4.64,0.57,-3.14,-0.41,-12.82,4.76,-0.57,3.21,2.22,-6.34,-8.62,-8.33,-8.33,-1.55,-6.94
"E07000147","North Norfolk","E01026772","NorthNorfolk001C","North Norfolk 001C",0.86,3.29,2.01,3.7,0,-0.96,2.42,-0.85,9.46,7.84,0,0.59,-0.54,8.33,-5.33,0,0,-2.34
"E07000147","North Norfolk","E01026773","NorthNorfolk001D","North Norfolk 001D",1.24,4.01,2.74,-2.03,0,2.54,1.71,1.43,4.05,-2.31,0.97,4.19,0.82,6.72,1.39,-1.75,-0.86,1.16
"E07000147","North Norfolk","E01026739","NorthNorfolk002A","North Norfolk 002A",-2.77,-9.84,34.86,3.02,-4.42,-7.72,-1.58,-9.77,31.91,14.92,-0.92,-11.29,-3.82,-9.91,37.1,-6.94,-7.14,-4.44
"E07000147","North Norfolk","E01026763","NorthNorfolk002B","North Norfolk 002B",0.81,-2.42,0,9.38,0,-3.73,5.85,0.97,38.78,12.28,5.08,-4.31,-3.79,-5.77,-22.89,6.47,-4.41,-3.18
"E07000147","North Norfolk","E01026764","NorthNorfolk002C","North Norfolk 002C",0.16,12.36,-2.2,11.35,-8.13,-1.9,3.93,11.76,-6.82,20.18,-0.81,-0.86,-3.04,13.16,2.13,3.33,-13.84,-2.73
"E07000147","North Norfolk","E01026765","NorthNorfolk002D","North Norfolk 002D",-0.37,14.67,7.48,0.35,-3.88,-5.02,0.3,18.18,12.96,0,-8.28,-1.33,-1.02,11.9,1.89,0.68,0.6,-8.58
"E07000147","North Norfolk","E01026734","NorthNorfolk003A","North Norfolk 003A",-6.03,17.78,-9.24,-5.32,-7.09,-11.82,-4.74,29.41,19.57,-10.6,-8,-12.16,-7.52,2.56,-27.4,2.86,-6.06,-11.49
"E07000147","North Norfolk","E01026735","NorthNorfolk003B","North Norfolk 003B",3.8,22.34,23.53,5.12,3.98,-3.98,4.36,1.75,36,11.41,3.94,-4.15,3.29,54.05,16.28,-1.39,4.03,-3.86
"E07000147","North Norfolk","E01026736","NorthNorfolk003C","North Norfolk 003C",1.15,2.58,9.18,-1.75,-1.42,2.3,-0.16,-6.59,4.65,-5.44,0,5.26,2.37,15.63,12.73,2.17,-2.72,0
"E07000147","North Norfolk","E01026777","NorthNorfolk003D","North Norfolk 003D",1.13,17.09,-4.05,-1.15,0.74,-0.7,0.72,20,-5.13,-5.93,7.56,-2.9,1.51,14.52,-2.86,3.97,-4.64,1.34
"E07000147","North Norfolk","E01026778","NorthNorfolk003E","North Norfolk 003E",-1.16,-7.63,9.59,8.57,-7.52,-1.64,2.68,-3.17,2.56,22.34,-10.57,3.16,-4.12,-12.73,17.65,-2.59,-4.9,-4.81
"E07000147","North Norfolk","E01026779","NorthNorfolk003F","North Norfolk 003F",-2.01,-6.46,0,1.08,-7.12,2.28,-1.54,-3.92,-8.51,3.83,-3.73,0,-2.45,-8.72,12.31,-1.19,-10.2,4.35
"E07000147","North Norfolk","E01026741","NorthNorfolk004A","North Norfolk 004A",-2.03,-6.54,0.85,3.64,0,-4.48,-2.13,-11.69,1.45,14.41,-3.92,-5.03,-1.94,-1.32,0,-4.46,4,-4.02
"E07000147","North Norfolk","E01026742","NorthNorfolk004B","North Norfolk 004B",-20.79,-32.43,-70.43,-5.21,-9.05,0,-20.36,-32.65,-72.22,2.91,-5.56,6.16,-21.16,-32.18,-68.39,-12.96,-11.67,-4.26
"E07000147","North Norfolk","E01026743","NorthNorfolk004C","North Norfolk 004C",-1.61,-0.96,3.5,0.96,-1.95,-4.47,-2.59,-3.55,-3.85,-3.05,7.65,-6.08,-0.74,2.07,11.46,5.06,-8.71,-3.17
"E07000147","North Norfolk","E01026762","NorthNorfolk005A","North Norfolk 005A",-0.83,2.03,-10.14,-2.81,-0.33,1.23,0.56,8.9,-9.48,0,-0.34,1.39,-2.15,-4.7,-10.99,-5.32,-0.31,1.08
"E07000147","North Norfolk","E01026766","NorthNorfolk005B","North Norfolk 005B",-0.35,1.42,8.29,0.53,-5.6,0.31,2.59,5.41,12,2.1,-0.73,1.6,-3.15,-3.01,4.76,-1.09,-9.64,-0.92
"E07000147","North Norfolk","E01026781","NorthNorfolk005C","North Norfolk 005C",-3.57,-8.53,-6.75,1.91,-5.17,-3.36,-3.15,2.94,-10.42,-1.26,-5.12,-2.8,-3.98,-19.27,-1.49,6.11,-5.21,-3.84
"E07000147","North Norfolk","E01026731","NorthNorfolk006A","North Norfolk 006A",-7.26,-11.11,-37.98,0.63,0.45,-4.33,-10.13,-19.05,-45.83,0,0,-4.46,-4.47,0,-28.07,1.37,0.81,-4.21
"E07000147","North Norfolk","E01026732","NorthNorfolk006B","North Norfolk 006B",0.16,7.69,11.76,7.94,-7.4,-4.27,3.22,5.62,13.73,7.58,0.57,-1.71,-2.77,10,8.82,8.28,-14.66,-6.5
"E07000147","North Norfolk","E01026733","NorthNorfolk006C","North Norfolk 006C",-1.33,-7.58,3.47,0.37,-3.21,1.39,-0.95,-13.86,6.52,6.07,-5.63,4.62,-1.69,-1.03,0.91,-4.51,-0.66,-1.46
"E07000147","North Norfolk","E01026737","NorthNorfolk006D","North Norfolk 006D",1.58,-3.35,16.04,8.91,-2.21,-2.82,3.77,1.2,14.58,15.47,-0.7,-3.8,-0.6,-8.07,17.58,2.47,-3.62,-1.81
