"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000176","Rushcliffe","E01028371","Rushcliffe001A","Rushcliffe 001A",-29.41,-6.06,-13.89,-48.38,-31.04,-16.91,-44.51,-5.13,-18.46,-65.07,-46.57,-29.27,-3.08,-7.09,-6.98,0,-3.44,-2.25
"E07000176","Rushcliffe","E01028403","Rushcliffe001B","Rushcliffe 001B",-1.66,-6.05,-10.96,3.93,-0.4,-1.61,4.21,9.15,-8.94,14.29,2.83,-0.37,-6.85,-19.67,-13.33,-4.39,-3.61,-2.58
"E07000176","Rushcliffe","E01028411","Rushcliffe001C","Rushcliffe 001C",-1.22,-1.16,1.68,-2.43,-3.41,2.04,-1.78,-5.95,2.11,-0.36,-3.41,0,-0.66,3.41,1.19,-4.29,-3.4,4.37
"E07000176","Rushcliffe","E01028357","Rushcliffe002A","Rushcliffe 002A",1.33,0,-10.83,5.26,-1.72,4.37,0.14,-8.57,-20,11.92,0.69,4.69,2.48,11.65,4.44,0,-4.14,4.12
"E07000176","Rushcliffe","E01028358","Rushcliffe002B","Rushcliffe 002B",-6.46,-17.9,-10.53,0,-2.37,-7.52,-5.39,-11.61,-8.77,-2.48,-4.72,-4.23,-7.45,-23.93,-12.28,2.65,0,-9.89
"E07000176","Rushcliffe","E01028359","Rushcliffe002C","Rushcliffe 002C",-2.06,-4.95,-2.13,-1.44,-1.54,0.32,-3.22,-3,-12.24,-0.9,-4.43,-1.42,-0.98,-6.9,8.89,-1.93,1.2,1.71
"E07000176","Rushcliffe","E01028360","Rushcliffe002D","Rushcliffe 002D",-2.03,1.95,-7.82,-4.07,-1.34,2.76,-2.9,-1.84,-4.07,-4.37,-2.72,1.61,-1.16,6.22,-11.67,-3.78,0,3.85
"E07000176","Rushcliffe","E01028361","Rushcliffe002E","Rushcliffe 002E",-1.11,-3.52,-1.6,-0.46,-3.22,2.77,1.87,-3.54,-2.94,4.29,1.35,6.73,-3.79,-3.51,0,-4.8,-7.36,0
"E07000176","Rushcliffe","E01028362","Rushcliffe002F","Rushcliffe 002F",0.85,-7.19,6.02,1.18,1.82,4.36,-0.88,-16.31,7.59,4.1,0.73,1.56,2.45,2.19,4.6,-1.32,2.9,6.8
"E07000176","Rushcliffe","E01028393","Rushcliffe003A","Rushcliffe 003A",-1.06,-1.37,-10,-1.92,6.32,-2.93,-4.13,-10.71,-21.43,0.79,2.5,-3.53,1.9,11.29,4.55,-4.48,9.77,-2.43
"E07000176","Rushcliffe","E01028394","Rushcliffe003B","Rushcliffe 003B",-3.66,-6.79,5.93,-2.14,-8.08,-3.18,-3.96,-11.38,9.62,0,-6.06,-5.56,-3.41,-1.02,3.03,-4.11,-9.7,-1.46
"E07000176","Rushcliffe","E01028395","Rushcliffe003C","Rushcliffe 003C",-1.94,-5.38,-9.49,-0.24,-0.61,1.2,-1.35,-8.57,-11.43,3.23,0,4.35,-2.49,-1.67,-7.46,-3.07,-1.16,-1.47
"E07000176","Rushcliffe","E01028413","Rushcliffe003D","Rushcliffe 003D",0.35,-8.45,10.34,0.94,0.77,3.04,1.13,-12.81,11.27,6.03,0,7.51,-0.33,-2.14,9.46,-3.02,1.43,0
"E07000176","Rushcliffe","E01028414","Rushcliffe003E","Rushcliffe 003E",-1.09,-7.39,13.1,-2.47,-1.92,0.7,-0.53,-4.84,17.65,2.25,-0.65,-2.7,-1.59,-10.38,10,-6.95,-3.18,3.48
"E07000176","Rushcliffe","E01028415","Rushcliffe003F","Rushcliffe 003F",-3.18,-2.34,-2.27,-1.46,-8.77,-1.74,-2.67,-5.99,10,0,-10.99,-0.53,-3.68,2.4,-12.5,-2.86,-6.73,-2.82
"E07000176","Rushcliffe","E01028354","Rushcliffe004A","Rushcliffe 004A",-2.32,-11.33,10.71,-2.34,4.65,-5.35,0.65,-9.66,14.08,2.77,7.95,-5.93,-5.26,-12.99,7.25,-7.34,1.33,-4.8
"E07000176","Rushcliffe","E01028355","Rushcliffe004B","Rushcliffe 004B",-0.2,-2.73,3.97,-2.25,1.52,3.52,1.62,-1.23,12.28,2.18,3.15,-2.48,-1.94,-4.58,-2.9,-6.29,0,8.89
"E07000176","Rushcliffe","E01028384","Rushcliffe004C","Rushcliffe 004C",-4.62,-2.56,-7.86,-7.84,0.76,1.8,-4.69,-5.45,-17.2,-5.12,0,20.31,-4.54,1.17,4.07,-10.57,1.72,-9.71
"E07000176","Rushcliffe","E01028385","Rushcliffe004D","Rushcliffe 004D",-2.97,-5.83,-5.88,-0.46,-0.29,-6.55,-1.95,-1.91,-9.32,0.31,1.21,-5.5,-4.03,-9.85,0,-1.23,-1.7,-7.5
"E07000176","Rushcliffe","E01028386","Rushcliffe004E","Rushcliffe 004E",-0.89,3.43,-13.49,3.98,-2.18,-7.1,1.89,-5.29,-16.96,16.08,0.54,-3.26,-3.68,13.25,-9.71,-6.94,-4.97,-10.99
