"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000173","Gedling","E01028189","Gedling001A","Gedling 001A",-2.04,-5.82,-1.92,-1.27,-2.01,0,-2.52,-10.19,-8.51,1.82,1.59,-2.34,-1.56,-0.56,5.83,-3.99,-5.69,2.16
"E07000173","Gedling","E01028198","Gedling001B","Gedling 001B",4.05,5.39,-8.85,14.52,1.59,1.53,3.37,-3.66,0,14.67,-0.65,1.88,4.69,14.12,-16.95,14.38,3.73,1.22
"E07000173","Gedling","E01028199","Gedling001C","Gedling 001C",1.47,-1.76,5.95,2.82,-0.67,2.17,3.58,0,-5.45,7.69,7.63,1.98,-0.4,-3.19,27.59,-1.84,-7.19,2.33
"E07000173","Gedling","E01028200","Gedling001D","Gedling 001D",1.55,3.96,-0.73,7.06,0,-4.73,3.62,6.38,5.88,11.2,0.53,-4.81,-0.33,1.46,-4.65,3.53,-0.51,-4.65
"E07000173","Gedling","E01028201","Gedling001E","Gedling 001E",3.25,1.18,-11.96,13.53,1.81,1.49,3.34,-1.01,0,15.5,1.48,-1.21,3.15,4.29,-21.57,11.68,2.11,4.09
"E07000173","Gedling","E01028150","Gedling002A","Gedling 002A",2.23,8.39,-14.29,8.06,-4.2,4.87,2.28,4.49,-10.71,8.54,-1.85,3.21,2.18,13.64,-17.86,7.6,-6.43,6.25
"E07000173","Gedling","E01028151","Gedling002B","Gedling 002B",-4.51,-0.63,-13.33,-7.57,3.59,-6.49,-1.48,7.14,-9.23,-1.94,5.17,-7.35,-7.19,-6.82,-18.18,-12.96,2.22,-5.81
"E07000173","Gedling","E01028152","Gedling002C","Gedling 002C",-0.86,-11.11,-7.96,0.79,6.8,2.82,1.24,-11.05,-7.29,5.46,10.9,2.34,-2.75,-11.18,-8.57,-3.22,3.3,3.28
"E07000173","Gedling","E01028153","Gedling002D","Gedling 002D",4.98,1.1,21.26,5.17,3.91,1.68,8.56,-5.66,18.64,12.71,16,8.42,1.84,10.62,23.53,-0.89,-5.77,-2.8
"E07000173","Gedling","E01028154","Gedling002E","Gedling 002E",-2.53,0.93,-11.89,-2.18,-7,8.44,-2.1,-0.63,-7.2,-0.66,-7.6,7,-2.94,2.45,-16.81,-3.55,-6.4,9.6
"E07000173","Gedling","E01028213","Gedling002F","Gedling 002F",-3.38,-1.26,-10.32,-5.91,-4.12,0,-4.4,-3.48,-17.78,-6.22,-5.24,1.32,-2.29,0.81,0,-5.56,-2.88,-1.31
"E07000173","Gedling","E01028143","Gedling004A","Gedling 004A",5.83,2.74,6.9,7.45,1.16,10.15,10.94,12.26,11.86,15.2,0.83,13.45,1.36,-6.19,1.75,0.98,1.45,7.48
"E07000173","Gedling","E01028205","Gedling004B","Gedling 004B",6.9,7.49,12.07,12.87,2.63,-3.66,10.26,2.08,25,22.73,1.2,1.56,3.73,14.79,1.06,4.97,4,-8.28
"E07000173","Gedling","E01028206","Gedling004C","Gedling 004C",-0.2,3.9,-6.11,3.76,-6.09,0.59,0.68,0.93,-8.51,2.63,2.03,1.95,-1.06,7.22,-3.49,4.91,-13.41,-0.55
"E07000173","Gedling","E01028207","Gedling004D","Gedling 004D",1.68,-6.98,-6.33,8.09,6.5,-0.27,6.52,7.91,-1.54,12.35,5.19,1.18,-2.57,-19.75,-9.68,4.17,7.75,-1.53
"E07000173","Gedling","E01028208","Gedling004E","Gedling 004E",0.18,-13.09,20.35,-1.37,3.47,0.86,1.31,-20.18,25.45,0.53,14.29,2.02,-0.88,-3.66,15.52,-3.35,-4.24,0
"E07000173","Gedling","E01028173","Gedling005A","Gedling 005A",4.08,7.5,-2.6,1.63,8.64,5.39,6.5,1.5,0,10.69,10.98,10.71,1.99,14.95,-5.06,-5.11,6.25,2.7
