"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E06000034","Thurrock","E01015943","Thurrock001A","Thurrock 001A",6.28,4.27,14.55,13.9,7.3,-5,8.17,4.69,7.87,19.39,11.84,-4.4,4.4,3.77,22.37,8.7,3.07,-5.56
"E06000034","Thurrock","E01015944","Thurrock001B","Thurrock 001B",6.34,7.47,16,13.49,0.78,1.1,9.36,7.69,12.5,22.96,3.23,2.5,3.64,7.23,20.45,5.92,-1.52,0
"E06000034","Thurrock","E01015946","Thurrock001C","Thurrock 001C",7.22,5.96,16.67,14.08,0.64,1.42,9.77,9.09,19.75,18.54,0,3.75,4.77,2.63,13.58,9.81,1.3,-0.52
"E06000034","Thurrock","E01015997","Thurrock001D","Thurrock 001D",1.54,4.06,-9.73,13.54,-3.57,-3.41,4.09,-3.74,1.22,28.49,-7.28,-5.41,-0.85,13.33,-18.45,1.42,0,-1.38
"E06000034","Thurrock","E01015999","Thurrock001E","Thurrock 001E",2.92,-12.27,12.68,9.65,3.75,1.75,5.34,-9.3,14.67,15.46,2.84,1.72,0.59,-15,10.45,4.29,4.61,1.77
"E06000034","Thurrock","E01015945","Thurrock002A","Thurrock 002A",6.17,8.43,9.02,12.96,6.74,-3.37,9.63,5.38,1.56,34.69,7.75,-6.41,2.86,12.33,15.94,-5.08,5.71,-0.59
"E06000034","Thurrock","E01015983","Thurrock002B","Thurrock 002B",2.66,-2.44,-0.66,6.6,-0.36,5.61,1.26,-4.38,-20.21,10.31,4.76,4.88,4.07,0,31.58,2.7,-4.64,6.19
"E06000034","Thurrock","E01015987","Thurrock002C","Thurrock 002C",3.71,7.17,3.95,1.45,1.62,6.18,4.75,13.87,3.39,0,0.78,9.8,2.74,0,4.55,2.77,2.52,3.82
"E06000034","Thurrock","E01015988","Thurrock002D","Thurrock 002D",2.63,-0.78,-2,12.56,-4.76,0.3,9.93,21.55,12.79,20,-5.32,-5.26,-3.02,-19.29,-13.16,6.55,-4.31,4.1
"E06000034","Thurrock","E01015998","Thurrock002E","Thurrock 002E",6.94,10.47,8.74,13.38,3.82,-2.92,8.47,8.33,3.96,18.14,6.77,-0.61,5.47,12.7,14.63,8.98,1.29,-5.06
"E06000034","Thurrock","E01015984","Thurrock003A","Thurrock 003A",7.44,9.19,6.63,9.12,5.81,5.97,8.24,10,6.17,18.75,-1.46,4.07,6.69,8.42,7.06,0.51,14.05,7.59
"E06000034","Thurrock","E01015985","Thurrock003B","Thurrock 003B",2.08,-3.77,13.93,4.65,0.84,0,5.68,2.6,27.87,9.76,3.39,-0.87,-1.08,-9.76,0,0,-1.67,0.67
"E06000034","Thurrock","E01015986","Thurrock003C","Thurrock 003C",5.79,3.83,17.44,12.26,-3.35,-5.81,11.81,6.18,33.33,22.78,-0.93,-8.82,0.61,1.24,4.63,3.51,-5.3,-3.6
"E06000034","Thurrock","E01015990","Thurrock003D","Thurrock 003D",4.94,4.72,13.78,5.91,6.07,-3.99,6.97,12.26,14.16,10.38,7.55,-10.24,2.97,-1.57,13.25,1.75,4.55,1.34
"E06000034","Thurrock","E01016001","Thurrock003E","Thurrock 003E",6.12,-1.77,9.15,12,1.71,6.12,8.52,-2.54,4.88,12.63,7.92,15.45,3.94,-0.93,14.08,11.39,-3.01,-0.58
"E06000034","Thurrock","E01015977","Thurrock004A","Thurrock 004A",2.44,-5.53,14.11,2.53,4.19,3.39,7.14,2.65,15.79,10.66,5.24,4.95,-1.76,-13.61,12.64,-4.38,3.14,2.16
"E06000034","Thurrock","E01015978","Thurrock004B","Thurrock 004B",4.4,14.48,11.11,-0.84,2.93,4.41,9.13,13.04,33.9,6.32,3.83,7.33,-0.31,15.79,-6.58,-7.61,1.9,1.38
"E06000034","Thurrock","E01015979","Thurrock004C","Thurrock 004C",4.32,7.17,4.76,4.2,5.52,-2.45,6.63,10.74,-1.2,13.4,7.27,-9.3,2.2,3.85,10.59,-2.41,3.5,5.19
"E06000034","Thurrock","E01015980","Thurrock004D","Thurrock 004D",2.01,-8.94,11.52,5.72,2.25,0.81,6.44,-5.93,3.33,17.74,6.02,4.71,-1.98,-11.72,21.33,-4.63,-1.05,-2.5
"E06000034","Thurrock","E01015989","Thurrock005A","Thurrock 005A",-7.67,-11.56,2.88,-8.77,-10.36,-5.35,-7.87,-12.27,9.62,-9.86,-12.16,-5.06,-7.47,-10.69,-3.85,-7.62,-8.33,-5.56
"E06000034","Thurrock","E01015991","Thurrock005B","Thurrock 005B",0.99,-17.47,1.85,10.52,0.68,4.05,4.9,-16.67,9.72,17.04,1.33,8.33,-2.52,-18.18,-4.44,4.53,0,0.61
"E06000034","Thurrock","E01015992","Thurrock005C","Thurrock 005C",1.22,-1.46,-4.76,4.42,2.89,0.39,1.77,-3.38,-0.97,5.93,0,3.28,0.7,0.49,-7.38,2.87,5.81,-2.24
"E06000034","Thurrock","E01016000","Thurrock005D","Thurrock 005D",1.64,1.57,-2.45,9.05,2.48,-8.28,1.71,-6.25,7.06,10.96,7.69,-12.1,1.59,9.52,-12.82,7.36,-1.45,-4.46
"E06000034","Thurrock","E01016002","Thurrock005E","Thurrock 005E",2.78,-1.4,10.57,8.52,-2.17,-0.65,4.52,2.78,10.71,11.59,-3.85,0.71,1.16,-5.66,10.45,5.39,-0.68,-1.8
"E06000034","Thurrock","E01015932","Thurrock006A","Thurrock 006A",22.21,23.36,7.92,27.16,26.56,16.26,27.08,24.74,18.1,33.01,27.53,22.61,17.23,21.66,0,21.45,25.35,10.69
"E06000034","Thurrock","E01015971","Thurrock006B","Thurrock 006B",-0.69,0.96,-1.25,0,-3.34,-0.78,-1.77,-9.76,4.17,4.38,-5.7,-3.31,0.37,12.93,-5.68,-3.95,-0.71,1.48
"E06000034","Thurrock","E01015972","Thurrock006C","Thurrock 006C",2.29,0.52,11.11,-2.19,7.19,2.26,-1.58,-7.76,-4.62,-2.22,9.32,0.89,6.43,12.82,32.63,-2.17,5.03,3.27
"E06000034","Thurrock","E01015973","Thurrock006D","Thurrock 006D",0.75,-0.13,-5.52,3.52,1.09,-0.91,0,4.01,-15.48,4.63,-6.29,-2.06,1.48,-4.3,5.93,2.6,11.3,0
"E06000034","Thurrock","E01015974","Thurrock006E","Thurrock 006E",0.21,3.04,-4.32,3.52,-6.21,2.7,6.49,5.04,8.57,9.18,-1.85,15.73,-5.06,1.39,-17.39,-1.21,-10.23,-6.02
"E06000034","Thurrock","E01015975","Thurrock006F","Thurrock 006F",-4.53,-5.54,17.83,-7.81,-6.08,-7.72,-4.38,-4.19,23.26,-8.59,-4.82,-14.41,-4.68,-6.96,11.27,-7.02,-7.36,-2.22
"E06000034","Thurrock","E01015927","Thurrock007A","Thurrock 007A",-1.04,-7.2,-2.33,2.89,1.44,-1.49,0.32,-7.32,-3.94,8.54,0,-2.27,-2.34,-7.08,-0.76,-2.19,2.96,-0.88
"E06000034","Thurrock","E01015928","Thurrock007B","Thurrock 007B",1.53,5.83,7.27,1.68,-3.16,-3.15,1.14,7.6,-1.54,0.34,1.75,-4.81,1.92,4.07,20,3.02,-7.91,-2
"E06000034","Thurrock","E01015929","Thurrock007C","Thurrock 007C",-3.92,-6.72,-6.01,-6.52,-1.5,6.36,-2.71,-5.75,-17.02,-1.42,-1.44,12.79,-5.04,-7.65,5.62,-11.3,-1.57,2.24
"E06000034","Thurrock","E01015930","Thurrock007D","Thurrock 007D",-3.15,-2.79,-4.62,-6.06,4.04,-1.58,-5.4,-3.62,-7.74,-9.62,7.58,-7.69,-0.68,-1.91,1.2,-2.32,0.71,4.04
"E06000034","Thurrock","E01015931","Thurrock007E","Thurrock 007E",-3.44,5.54,-2.75,-8.46,1.04,-10.75,-4.49,3.01,-2.6,-8.7,0.85,-16.98,-2.4,7.91,-2.86,-8.24,1.33,-2.5
"E06000034","Thurrock","E01015976","Thurrock007F","Thurrock 007F",-3.28,-8.19,18.09,-4.5,-6.15,-5.09,0.21,-4.98,27.06,1.1,-5.2,-5.32,-6.72,-11.86,11.4,-9.97,-7.24,-4.92
"E06000034","Thurrock","E01015922","Thurrock008A","Thurrock 008A",4.22,0,15.14,7.66,-0.33,0.43,7.39,0,21.11,11.2,6.72,0.94,1.33,0,9.47,4.48,-5.95,0
"E06000034","Thurrock","E01015923","Thurrock008B","Thurrock 008B",0.78,-6.58,3.32,5.12,-3.09,8.28,3.17,-5.23,4.1,12.5,-5.85,10.53,-1.52,-8.08,2.52,-0.93,0,6.45
"E06000034","Thurrock","E01015924","Thurrock008C","Thurrock 008C",0.25,-1.78,7.45,-0.18,-1.02,0,2.23,0.62,3.23,1.93,7.09,-1.82,-1.57,-3.98,11.58,-1.99,-8.55,1.92
"E06000034","Thurrock","E01015925","Thurrock008D","Thurrock 008D",-2.63,-10.4,14.37,-5.94,-2.41,1.03,-0.86,-6.21,9.52,-3.07,2.29,-0.77,-4.37,-15.33,18.89,-8.63,-7.64,2.48
"E06000034","Thurrock","E01015926","Thurrock008E","Thurrock 008E",-2.16,-8.44,-3.35,-1.54,2.92,-0.64,-1.84,-8.33,0,-3.02,8.15,-2.88,-2.46,-8.54,-6.59,0,-2.16,1.15
"E06000034","Thurrock","E01015957","Thurrock009A","Thurrock 009A",0.06,-10,6.29,2.92,2.09,0.36,-1.15,-17.51,4.6,9.91,3.36,-7.14,1.27,-0.7,7.95,-2.85,0.72,8.03
"E06000034","Thurrock","E01015958","Thurrock009B","Thurrock 009B",10.36,21.24,26.99,7.95,0.39,2.58,11.25,16.39,32.97,7.39,2.61,4,9.45,26.92,19.44,8.52,-1.41,1.06
"E06000034","Thurrock","E01015993","Thurrock009C","Thurrock 009C",6.71,0.99,16.41,7.27,6.85,5.25,11.29,18.75,14.95,12.3,5.11,5.84,2.68,-11.93,18.18,2.39,8.39,4.81
"E06000034","Thurrock","E01015994","Thurrock009D","Thurrock 009D",-4.98,-10.84,-11.37,4.22,-5,-7.74,-3.76,-11.58,-3.33,4.62,-1.49,-8.08,-6.02,-10.06,-17.36,3.89,-8.22,-7.49
"E06000034","Thurrock","E01015995","Thurrock009E","Thurrock 009E",7.79,21.46,-1.03,14.14,2.54,1.04,10.27,19.05,-3.88,23.64,1.65,4.81,5.33,24.3,2.17,5.91,3.47,-2.51
"E06000034","Thurrock","E01015996","Thurrock009F","Thurrock 009F",7.04,-6.02,10,12.3,7.28,11.63,7.01,-4.92,7.69,17.2,0,11.93,7.08,-7.23,13.75,7.63,15.83,11.41
"E06000034","Thurrock","E01015963","Thurrock010A","Thurrock 010A",-0.48,2.71,15.04,-1.91,-1.55,-13.26,-0.32,4.05,2.63,3.28,-7.77,-11.11,-0.62,1.26,31.58,-5.96,5.56,-15
"E06000034","Thurrock","E01015964","Thurrock010B","Thurrock 010B",4.83,9.59,12.04,6.17,-3.98,4.92,7.72,7.21,1.89,14.83,0,10.29,2.1,12.04,24.71,-2,-7.91,1.06
"E06000034","Thurrock","E01015965","Thurrock010C","Thurrock 010C",6.01,-3.06,-4.64,20.21,-0.85,5.14,5.81,-4.62,-1.92,18.55,3.7,3.98,6.2,-1.22,-7.78,21.77,-4.66,6.19
"E06000034","Thurrock","E01015966","Thurrock010D","Thurrock 010D",2.72,-2.02,4.05,7.46,6.31,-2.27,2.48,-2.29,-1.16,8.56,8.33,-3.77,2.96,-1.71,11.29,6.28,4.35,-0.87
"E06000034","Thurrock","E01015933","Thurrock012A","Thurrock 012A",1.73,1.93,4.27,-0.38,10.03,-3.17,6.36,9.68,12.82,3.73,14.89,-3.87,-2.2,-5.77,-3.49,-3.85,5.7,-2.69
"E06000034","Thurrock","E01015934","Thurrock012B","Thurrock 012B",5.14,3.37,-2.92,9.52,6.32,6.16,7.76,3.55,-0.81,12.5,10,17.24,2.65,3.14,-5.13,6.95,3.01,-1.14
"E06000034","Thurrock","E01015935","Thurrock012C","Thurrock 012C",3.41,2.61,5.88,6.59,1,-1.57,3.7,1.68,5.61,8.6,2.56,-4.46,3.12,3.8,6.19,4.7,-0.69,0.7
"E06000034","Thurrock","E01015936","Thurrock012D","Thurrock 012D",-0.51,-6.2,6.19,3.31,-1.93,-2.55,-0.24,-1.1,12.36,3.59,-5.56,-6.83,-0.76,-11.56,0.95,3.04,2.01,0.43
"E06000034","Thurrock","E01015937","Thurrock012E","Thurrock 012E",4.97,0.44,9.58,15.31,0.27,0,7.01,2.52,8.51,22.39,0,0,2.96,-1.85,10.96,8.33,0.52,0
"E06000034","Thurrock","E01015938","Thurrock012F","Thurrock 012F",0.05,-6.92,10.82,1.63,-1.06,1.72,1.58,-2.05,2.73,1.8,1.42,8.11,-1.23,-11.23,18.18,1.49,-3.5,-2.23
"E06000034","Thurrock","E01015947","Thurrock013A","Thurrock 013A",1.35,6.88,10.43,-1.55,-3.75,-1.57,3.72,6.82,30.26,-0.72,0.8,-10,-0.92,6.94,-6.9,-2.33,-7.75,8.77
"E06000034","Thurrock","E01015948","Thurrock013B","Thurrock 013B",3.89,4.62,12.21,8.85,0.6,-12.44,5.71,4.94,16.19,7.95,8.59,-12.61,2.09,4.29,8.33,9.74,-7.06,-12.26
"E06000034","Thurrock","E01015949","Thurrock013C","Thurrock 013C",2.42,-3.62,11.5,3.16,1.47,2.56,4.41,-8.82,9.09,11.2,4.27,5.1,0.67,1.06,14.29,-2.74,-1.13,0
"E06000034","Thurrock","E01015950","Thurrock013D","Thurrock 013D",5.8,11.66,10.34,7.26,-1.87,5.14,7.09,12.12,16,6.81,2.25,4.76,4.55,11.26,4.29,7.75,-5.61,5.49
"E06000034","Thurrock","E01015960","Thurrock014A","Thurrock 014A",6,9.48,2.82,7.99,5.11,3.86,6.14,5.17,7.53,7.11,6,4.86,5.86,14.74,-2.38,8.9,4.29,2.99
"E06000034","Thurrock","E01015967","Thurrock014B","Thurrock 014B",3.39,5.86,0,2.23,2.78,6.7,4.84,2,5.49,5.81,-0.71,13.33,1.98,10.57,-5.62,-1.07,6.08,0.84
"E06000034","Thurrock","E01015968","Thurrock014C","Thurrock 014C",-1,-4.76,-1.46,1.71,-1,-2.29,0.59,-1.87,-2.5,5.75,-2.53,-0.98,-2.48,-7.26,0,-2.07,0.7,-3.13
"E06000034","Thurrock","E01015969","Thurrock014D","Thurrock 014D",0,-3.69,3.87,2.5,-2.19,-1.1,-0.75,4.4,-5.38,6.85,-12.71,-4.55,0.78,-11.45,13.64,-1.88,11.59,2.14
"E06000034","Thurrock","E01015970","Thurrock014E","Thurrock 014E",4.02,-2.95,4.96,10.93,6.67,-6.09,9.1,-2.94,22.22,18.35,8.45,-3.37,-0.9,-2.96,-8.97,3.62,4.69,-8.33
"E06000034","Thurrock","E01015921","Thurrock015A","Thurrock 015A",-4.09,0.8,22.22,-14.8,14.36,-12.82,-4.18,-3.94,20,-12.81,17.76,-19.67,-3.99,5.69,24.53,-17.01,9.88,-5.36
