"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"W06000013","Bridgend","W01000991","Bridgend001A","Bridgend 001A",1.96,1.09,12.5,8.55,-4.82,-8.6,10,3.47,21.52,21.71,-0.86,3.8,-5.66,-1.54,1.54,-2.14,-8.93,-17.76
"W06000013","Bridgend","W01000992","Bridgend001B","Bridgend 001B",1.95,11.93,-8.47,4.88,-3.54,1.65,4.7,27.36,-16.49,8.81,-1.88,2.68,-0.68,0,0,0.89,-5.3,0.76
"W06000013","Bridgend","W01000993","Bridgend001C","Bridgend 001C",1.02,1.7,-10.77,3.04,0.78,5.98,1.51,-3.05,-10.31,5.63,2.5,8.47,0.54,7.69,-11.22,0.76,-0.72,3.45
"W06000013","Bridgend","W01000994","Bridgend001D","Bridgend 001D",3.94,1.35,2.22,6.59,9.62,-2.07,2.56,-8.38,9.64,2.22,15.38,0.91,5.32,13.95,-4.12,11.16,4.1,-4.55
"W06000013","Bridgend","W01000995","Bridgend001E","Bridgend 001E",-2.89,1.23,-3.01,-5.91,-3.05,-1.54,-1.01,11.71,-6.06,-5.88,0.69,-2.68,-4.59,-7.58,0,-5.93,-6.62,-0.57
"W06000013","Bridgend","W01001014","Bridgend002A","Bridgend 002A",0.79,2.69,2.26,-3.39,3.01,2.85,3.59,-0.72,4.44,-3.08,8.13,15.38,-1.72,6.61,0,-3.69,-1.74,-4.52
"W06000013","Bridgend","W01001015","Bridgend002B","Bridgend 002B",8.39,11.49,12.29,11.37,3.22,4.8,13.91,30.77,8.57,22.22,0.64,9.82,3.63,-3.82,17.57,3.56,5.84,1.26
"W06000013","Bridgend","W01001017","Bridgend002C","Bridgend 002C",-1.8,-3.92,-13.37,4.39,-3.1,0.35,-2.96,-3.13,-22.64,0.44,3.25,0,-0.66,-4.72,-3.13,8.74,-8.88,0.62
"W06000013","Bridgend","W01001018","Bridgend002D","Bridgend 002D",0.9,-2.21,-12.5,5.38,-0.35,6.05,4.88,-4.76,4.82,11.89,1.44,4.1,-3.16,1.32,-27.96,-1.37,-2,7.94
"W06000013","Bridgend","W01001020","Bridgend002E","Bridgend 002E",-0.34,-4.03,-6.67,3.35,-2.24,4.11,1.78,0,-7.45,8.55,1.97,-2.65,-2.46,-8.09,-5.81,-1.65,-6.25,11.32
"W06000013","Bridgend","W01000976","Bridgend003A","Bridgend 003A",2.27,-3.11,0,0.85,8.59,6.25,2.24,-3.7,-9.09,5.33,13.48,2.17,2.29,-2.56,12.5,-3.24,4.59,10
"W06000013","Bridgend","W01000977","Bridgend003B","Bridgend 003B",1.2,-7.55,14.18,-6.49,-5.96,23.62,-0.99,-6.8,25.42,-6.25,-4.96,6.47,3.37,-8.4,6.1,-6.73,-6.94,41.67
"W06000013","Bridgend","W01001024","Bridgend003C","Bridgend 003C",2.16,1.1,9.77,-1.29,4.42,1.96,5.94,16.25,9.68,-4.74,13.39,9.89,-1.34,-10.89,9.86,2.82,-2.92,-4.42
"W06000013","Bridgend","W01001025","Bridgend003D","Bridgend 003D",3.02,5.42,10.08,1.13,0,3.45,3.28,-9.52,10.77,7.69,3.48,5.26,2.75,21.93,9.26,-4.7,-3.7,1.85
"W06000013","Bridgend","W01001033","Bridgend003E","Bridgend 003E",3.11,-6.42,-3.26,11.15,5.96,0.89,7.89,-3.59,-1.92,15.15,9.68,13.01,-1.33,-9.38,-4.5,7.3,2.44,-8.42
"W06000013","Bridgend","W01001034","Bridgend003F","Bridgend 003F",0.72,10.95,9.76,0,-6.01,-3.87,0.59,-0.88,28.17,-6.38,-4.86,5.88,0.86,26.14,-4.3,6.98,-7.19,-10.91
"W06000013","Bridgend","W01000975","Bridgend004A","Bridgend 004A",1.71,-1.87,2.29,5.06,1.46,0,2.7,-7.31,1.35,11.88,6.01,-2.86,0.82,3.26,3.16,-1.04,-2.2,2.82
"W06000013","Bridgend","W01000978","Bridgend004B","Bridgend 004B",-0.06,-2.99,6.8,3.41,-2.67,-4.45,3.24,1.85,1.67,9.36,0.56,-2.19,-3.19,-7.51,13.95,-2.07,-6.29,-6
"W06000013","Bridgend","W01001009","Bridgend004C","Bridgend 004C",-2.58,-10.25,-0.77,1.76,-7.2,2.27,-1.58,-13.38,-4.35,9.38,-6.72,1.82,-3.61,-5.88,3.28,-5.34,-7.63,2.73
"W06000013","Bridgend","W01001042","Bridgend004D","Bridgend 004D",0.45,7.8,-6.18,1.07,-3.16,1.46,1.78,18.75,-5.21,0.82,-3.57,2.02,-0.93,-0.82,-7.32,1.35,-2.65,0.94
"W06000013","Bridgend","W01001043","Bridgend004E","Bridgend 004E",2.54,0.44,15.04,2.15,0.87,0.53,3.92,10.19,24,-1.33,-0.82,4.88,1.18,-8.26,7.94,6.22,2.8,-2.78
