"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000026","Allerdale","E01019126","Allerdale001A","Allerdale 001A",-2.1,3.21,-0.5,-6.98,5.17,-5.83,-2.28,3.94,0,-6.56,9.55,-11.06,-1.94,2.46,-0.98,-7.41,1.16,-1.26
"E07000026","Allerdale","E01019127","Allerdale001B","Allerdale 001B",-2.56,-4.67,-3.36,2.01,-4.96,-2.49,-0.13,7.94,2.78,1.37,-5.42,0.37,-4.7,-13.79,-9.09,2.63,-4.5,-4.78
"E07000026","Allerdale","E01019132","Allerdale001C","Allerdale 001C",0.87,2.03,-1.41,0.43,2.76,-0.23,0.32,-2.38,0.85,-0.87,2.04,0.95,1.44,6.67,-4.17,1.69,3.54,-1.34
"E07000026","Allerdale","E01019134","Allerdale001D","Allerdale 001D",0.89,1.67,-9.09,4.97,5.11,-1.76,0.14,10.84,-18.39,5.2,6.04,-4.67,1.6,-6.19,1.28,4.73,4.27,0.83
"E07000026","Allerdale","E01019135","Allerdale001E","Allerdale 001E",1.22,-5.09,11.23,4.83,-2.16,-0.6,1.74,-9.09,16.49,4.88,0,0,0.74,-0.76,5.56,4.78,-4.19,-1.04
"E07000026","Allerdale","E01019136","Allerdale001F","Allerdale 001F",1.86,0.81,0,8.89,-2.34,-4.64,1.79,1.99,-6.67,9.93,-1.65,-3.27,1.93,-0.6,7.41,7.95,-3.13,-5.88
"E07000026","Allerdale","E01019137","Allerdale001G","Allerdale 001G",-6.4,-5.88,-16.94,-1.6,-9.05,-5.25,-7.4,-8.45,-15.25,-1.9,-9.57,-8.06,-5.5,-3.08,-18.46,-1.3,-8.55,-3.31
"E07000026","Allerdale","E01019083","Allerdale002A","Allerdale 002A",-4.63,-7.04,-10.49,-5.73,-3.31,-1.96,-4.61,-5.32,-11.46,-5.29,-2.91,-2.45,-4.66,-8.57,-9.09,-6.17,-3.69,-1.51
"E07000026","Allerdale","E01019107","Allerdale002B","Allerdale 002B",2.31,3.95,19.23,1.03,-0.44,0.25,3.12,14.02,12.35,-2.54,0.91,1.52,1.5,-4.96,30.61,4.66,-1.72,-0.98
"E07000026","Allerdale","E01019130","Allerdale002C","Allerdale 002C",-1.63,1.6,-1.27,-3.79,-0.24,-2.67,-1.96,4.62,-7.87,-4.07,0,-3.29,-1.3,-1.67,7.25,-3.51,-0.51,-2.12
"E07000026","Allerdale","E01019131","Allerdale002D","Allerdale 002D",0.21,6.28,-5.24,-2.04,3.13,-0.96,0.11,0,-11.02,-0.45,6.17,0,0.32,13.33,2.17,-3.62,0,-1.81
"E07000026","Allerdale","E01019081","Allerdale003A","Allerdale 003A",-1.86,-7.35,-7.21,0.34,1.67,-0.25,-1.39,-5.41,-9.57,2.23,1.06,0,-2.31,-9.18,-4.3,-1.25,2.34,-0.47
"E07000026","Allerdale","E01019082","Allerdale003B","Allerdale 003B",0.65,9.87,-10.69,2.93,-2.73,0.26,0.26,6.78,-6.1,-2.52,4.79,-1.12,1.03,13.33,-15.58,9.22,-8.7,1.48
"E07000026","Allerdale","E01019102","Allerdale003C","Allerdale 003C",-2.94,2.97,-11.64,-2.68,-5.3,-0.24,-1.73,-0.81,-10.89,5.22,-6.06,-1.41,-4.18,7.08,-12.5,-11.06,-4.61,0.99
