"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E06000046","Isle of Wight","E01017300","IsleofWight001A","Isle of Wight 001A",-8.44,-22.96,-16.2,-15.59,-4.33,2.12,-7.75,-11.71,-19.8,-11.36,-2.05,-3.56,-9.11,-31.51,-11.54,-20,-6.44,7.28
"E06000046","Isle of Wight","E01017303","IsleofWight001B","Isle of Wight 001B",-0.85,3.31,-3.45,-3.3,6.49,-6.06,-4.72,-4.35,-30.26,-2.2,6.36,-3.41,3.07,11.24,47.5,-4.41,6.61,-8.18
"E06000046","Isle of Wight","E01017305","IsleofWight001C","Isle of Wight 001C",3.07,4.82,-4.91,9.54,-10.32,8.82,8.25,5.34,14.93,21.89,-10.53,1.74,-1.59,4.24,-18.75,-1.11,-10.14,15.45
"E06000046","Isle of Wight","E01017306","IsleofWight001D","Isle of Wight 001D",10.31,7.45,5.66,17.07,4.68,8.98,12.88,3.9,-1.33,29.27,8.93,6.67,7.95,11.72,11.9,7.14,0.81,10.87
"E06000046","Isle of Wight","E01017309","IsleofWight001E","Isle of Wight 001E",-1.09,1.21,-8.1,4.98,-6.79,-4.17,-2.98,-1.27,-9.8,2.57,-9.04,-3.74,0.71,3.47,-6.48,7.41,-4.43,-4.51
"E06000046","Isle of Wight","E01017301","IsleofWight002A","Isle of Wight 002A",-4.92,6.2,-3.37,7.86,-0.88,-16.63,1.71,9.09,-9.43,8.18,4.95,-3.76,-10.64,1.92,5.56,7.56,-5.51,-25.27
"E06000046","Isle of Wight","E01017302","IsleofWight002B","Isle of Wight 002B",-3.03,-11,-2.76,8.46,-5.94,-8.2,-2.51,-12.67,2,13.98,-5.84,-11.98,-3.51,-9.14,-8.64,4.05,-6.02,-5.03
"E06000046","Isle of Wight","E01017304","IsleofWight002C","Isle of Wight 002C",7.67,1.45,6.52,13.45,4.35,8.33,8.37,1.4,7.89,13.64,11.5,3.81,6.99,1.5,4.84,13.27,-1.43,12.61
"E06000046","Isle of Wight","E01017316","IsleofWight002D","Isle of Wight 002D",3.88,0.84,18.79,9.83,-0.46,0,5.25,1.83,8.75,15.61,0,1.56,2.61,0,30.43,4.25,-0.87,-1.42
"E06000046","Isle of Wight","E01017329","IsleofWight002E","Isle of Wight 002E",1.86,-0.95,-3.28,3.89,-0.39,5.09,2.14,-6.9,-3.08,8.52,2.48,3.59,1.59,6.29,-3.51,0,-2.95,6.43
"E06000046","Isle of Wight","E01017307","IsleofWight003A","Isle of Wight 003A",0.93,-3.13,-12.32,6.41,2.19,1.5,1.2,-3.85,-19.59,7.82,4.29,2.32,0.69,-2.37,-5.66,4.95,0.41,0.83
"E06000046","Isle of Wight","E01017308","IsleofWight003B","Isle of Wight 003B",2.38,-0.31,6.25,5.37,-2.36,2.79,4.07,1.09,6,8.98,0.62,2.38,0.77,-2.17,6.52,2.17,-5.08,3.1
"E06000046","Isle of Wight","E01033229","IsleofWight003D","Isle of Wight 003D",1.14,4.37,0.87,10.31,-6.18,-1.15,2.82,3.54,5.17,15.64,-4.22,-2.28,-0.5,5.38,-3.51,5,-7.77,0
"E06000046","Isle of Wight","E01033237","IsleofWight003E","Isle of Wight 003E",6.3,21.03,16.67,-1.54,-0.86,5.16,6.7,15.72,15.12,-1.63,0,12.5,5.94,27.48,18.29,-1.47,-1.6,0
"E06000046","Isle of Wight","E01017335","IsleofWight004A","Isle of Wight 004A",3.15,7.98,2.47,0.68,7.78,-0.99,1.9,19.74,3.57,0,3.61,-7.48,4.48,-2.3,1.28,1.46,12.65,5.16
"E06000046","Isle of Wight","E01017336","IsleofWight004B","Isle of Wight 004B",-2.42,-5.56,-22.57,4.58,6.27,-2.19,-4.33,-15.75,-31.41,4.12,13.07,-0.67,-0.37,6.54,-12.12,5.1,-0.67,-3.53
"E06000046","Isle of Wight","E01017337","IsleofWight004C","Isle of Wight 004C",0.69,-4.52,-19.59,5.3,5.8,2.99,2.72,-6.03,-23.47,13.04,9.25,0,-1.39,-2.41,-15.63,-3.17,2.33,5.35
"E06000046","Isle of Wight","E01017346","IsleofWight004D","Isle of Wight 004D",-2.69,0,-4.58,-6.44,-0.29,0,-1.02,3.8,-2.94,-6.01,1.83,2.1,-4.2,-3.09,-5.88,-6.85,-2.25,-1.95
"E06000046","Isle of Wight","E01017286","IsleofWight005A","Isle of Wight 005A",0.95,0.52,10.62,4.36,0,-1.78,2.82,4.08,12.7,8.89,-1.1,0,-0.87,-3.23,8,0.61,1.09,-3.46
"E06000046","Isle of Wight","E01017287","IsleofWight005B","Isle of Wight 005B",-1.29,-9.46,-11.19,-0.24,4.77,-0.41,0,-16.81,-7.81,6.74,8.74,-2.38,-2.43,-1.83,-14.29,-6.42,1.03,1.09
"E06000046","Isle of Wight","E01017367","IsleofWight005C","Isle of Wight 005C",-0.16,4.44,-24.3,13.08,-1.36,0.28,0.23,4.26,-36.21,24.34,-2.99,2.8,-0.49,4.65,-10.2,4.17,0,-1.75
"E06000046","Isle of Wight","E01017368","IsleofWight005D","Isle of Wight 005D",-4.27,2.23,0,-8.59,-8.61,-1.35,-4.2,-3.57,-6.33,-5.03,-7.87,0.52,-4.33,8.04,7.25,-11.82,-9.34,-2.81
"E06000046","Isle of Wight","E01017282","IsleofWight006A","Isle of Wight 006A",-1.89,-6.97,7.25,1.29,-3.42,-4.75,1.42,-5.1,-3.7,12.15,-1.5,-2.5,-4.92,-9.23,22.81,-7.94,-5.03,-6.29
"E06000046","Isle of Wight","E01017283","IsleofWight006B","Isle of Wight 006B",1.73,-8.12,9.8,3.45,1.2,3.17,6.96,13.19,14.47,9.48,-1.49,7.1,-2.92,-21.68,5.19,-3.08,3.74,0
"E06000046","Isle of Wight","E01017338","IsleofWight006C","Isle of Wight 006C",1.21,-12.29,-3.25,7.31,1.27,3.94,0.29,-19.59,-5.81,9.29,3.95,3.38,2.07,-3.66,0,5.59,-1.23,4.4
"E06000046","Isle of Wight","E01017341","IsleofWight006D","Isle of Wight 006D",0.99,0.91,-5.26,6.37,0.68,-2.62,1.16,0.59,-3.57,2.24,6.15,-1.2,0.83,1.24,-7.35,10.34,-3.61,-3.72
"E06000046","Isle of Wight","E01017342","IsleofWight006E","Isle of Wight 006E",-3.46,-3.76,8,-0.57,-3.75,-12.37,-4.24,-8.38,14.77,0.4,-7.06,-13.45,-2.69,1.94,1.15,-1.47,-0.56,-11.44
"E06000046","Isle of Wight","E01017339","IsleofWight007A","Isle of Wight 007A",2.74,-5.19,5.16,10.69,0.53,-1.05,8.61,7.55,24.75,11.81,4.37,-2.26,-2.35,-15.96,-12.5,9.76,-3.05,0
"E06000046","Isle of Wight","E01017340","IsleofWight007B","Isle of Wight 007B",3.47,-2.58,-2.38,13.54,-5.17,5.25,8.27,4.52,4.17,20.97,-4.57,6.98,-0.62,-8.25,-7.89,7.12,-5.78,3.98
"E06000046","Isle of Wight","E01017343","IsleofWight007C","Isle of Wight 007C",-3.96,-4.81,-11.63,0.43,-6.94,-3.03,-5.24,-10.92,-14.61,-0.44,-3.25,-1.52,-2.63,4.27,-8.43,1.28,-10.66,-4.24
"E06000046","Isle of Wight","E01017344","IsleofWight007D","Isle of Wight 007D",-2.55,-12.44,0.74,-2.38,0.26,-1.68,-1.56,-20.16,-1.27,0.47,5.79,0.44,-3.54,-1.18,3.57,-5.34,-5.18,-3.26
"E06000046","Isle of Wight","E01017345","IsleofWight007E","Isle of Wight 007E",-3.44,-9.2,-4.25,-0.96,-5.23,8.6,-0.79,-6.9,-5.03,6.23,-7.79,14.29,-5.91,-11.64,-3.4,-6.65,-2.63,3.92
"E06000046","Isle of Wight","E01017310","IsleofWight008A","Isle of Wight 008A",-5.68,-11.96,-12.95,-5.19,0.65,-5.57,-6.41,-12.77,-17.11,1.2,-1.99,-8.88,-5.02,-11.11,-7.94,-11.11,3.23,-3.11
