"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E09000006","Bromley","E01000779","Bromley001A","Bromley 001A",-0.15,-5.91,3.23,2.16,-3.44,1.94,3.23,-4.67,1.59,7.89,-0.81,6.15,-3.16,-7.08,4.92,-3.4,-5.76,-1.12
"E09000006","Bromley","E01000780","Bromley001B","Bromley 001B",3.99,6.69,-3.48,7.63,4.55,-2.89,5.71,1.02,-13.27,24.26,5.22,-5.45,2.38,14.19,9.09,-3.8,3.85,-0.76
"E09000006","Bromley","E01000781","Bromley001C","Bromley 001C",0.83,-5.91,14.53,4.98,0.43,-10.11,6.16,-3.03,28.57,7.09,13.04,-6.94,-3.65,-8.9,1.14,3.18,-7.8,-12.07
"E09000006","Bromley","E01000782","Bromley001D","Bromley 001D",-2.19,-8.67,7.23,0.17,-3.07,-3.43,2.32,2.81,3.53,1.76,0,6.56,-6,-18.22,11.11,-1.25,-5.88,-8.77
"E09000006","Bromley","E01000783","Bromley001E","Bromley 001E",-0.65,0.24,-3.57,1.21,-4.89,-0.61,6.38,4.35,-6.03,12.9,6.19,7.25,-6.46,-3.72,-0.93,-7.33,-13.28,-6.25
"E09000006","Bromley","E01000785","Bromley001F","Bromley 001F",4.59,2.25,12.8,9.27,-6.42,3.37,2.66,-4.69,6.85,14.83,-6.82,-3.7,6.3,10.37,17.58,5.23,-6.02,9.28
"E09000006","Bromley","E01000689","Bromley002A","Bromley 002A",0.71,-4.55,-14.93,7.17,-2.16,10.57,-1.94,-10.23,-16.67,10.04,-4.73,11.88,3.73,6.09,-11.59,4.49,0.77,9.76
"E09000006","Bromley","E01000690","Bromley002B","Bromley 002B",1.42,3.31,-1.52,2.2,-1.06,2.21,5.9,9.63,16.36,8.29,-2.74,3.2,-2.72,-2.92,-14.29,-3.38,0.72,1.37
"E09000006","Bromley","E01000691","Bromley002C","Bromley 002C",-0.06,2.45,-1.91,1.76,-4.48,-1.04,4.14,8.82,-2.6,1.85,8.73,3.48,-3.68,-3.33,-1.25,1.68,-16.2,-4.02
"E09000006","Bromley","E01000692","Bromley002D","Bromley 002D",3,6.91,-4.52,-0.48,6.62,6.57,5.85,2.31,-5.48,10.28,4.9,8.33,0.35,11.88,-3.66,-9.5,8.53,5.1
"E09000006","Bromley","E01000784","Bromley002E","Bromley 002E",1.54,-3.81,9.59,-1.32,9.74,2.5,1.17,-13,19.7,1.41,15.08,-1.06,1.9,9.22,1.25,-3.72,4.96,5.66
"E09000006","Bromley","E01000799","Bromley004A","Bromley 004A",1.43,0.79,-14.8,7.12,-0.91,1.2,4.68,4.85,-12.37,12,1.84,-1.22,-1.74,-4,-17.17,2.79,-3.61,3.57
"E09000006","Bromley","E01000802","Bromley004B","Bromley 004B",-4.54,-5.52,3.57,-8.29,2.17,-5.21,-1.3,-8.92,10.81,-3.49,7.1,-3.37,-7.35,-2.37,-2.13,-12.3,-2.4,-6.8
"E09000006","Bromley","E01000803","Bromley004C","Bromley 004C",0.44,5.9,-2.74,-1.15,2.49,-2.03,10.24,16.94,-15,13.67,12,9.52,-7.5,-3.4,12.12,-12.31,-5.13,-10.62
"E09000006","Bromley","E01000804","Bromley004D","Bromley 004D",3.44,7.6,-23.03,16.63,-2.5,0.7,5.48,10.77,-31.52,21.26,-0.62,9.02,1.55,4.51,-12.33,12.7,-4.4,-5.52
