"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000117","Burnley","E01024859","Burnley001A","Burnley 001A",2.19,5.26,-14.06,5.61,4.61,1.44,1.95,7.32,-19.81,6.84,6.85,-2.47,2.42,3.23,-6.98,4.41,2.21,3.94
"E07000117","Burnley","E01024861","Burnley001B","Burnley 001B",5.06,12.28,2.63,4.8,4.47,2.73,10.34,28.21,12.82,5.68,10.14,4.17,0.31,-1.08,-8.11,4.02,-0.65,1.47
"E07000117","Burnley","E01024862","Burnley001C","Burnley 001C",2.45,-1.96,-1.28,8.61,5.33,-4.01,2.96,-11.88,-1.23,13.97,9.49,-2.19,1.96,14.74,-1.33,3.64,1.84,-5.35
"E07000117","Burnley","E01024891","Burnley001D","Burnley 001D",2.86,-4.34,6.67,8.92,9.44,-4.83,7.14,3.59,6.31,18.8,10,-4.55,-0.91,-12.18,7.02,1.32,8.97,-5.09
"E07000117","Burnley","E01024892","Burnley001E","Burnley 001E",6.8,-1.12,11.97,13.14,8.24,2.07,10.4,2.7,12.33,17.16,8.73,7.14,3.75,-3.8,11.59,9.18,7.8,-1.52
"E07000117","Burnley","E01024894","Burnley001F","Burnley 001F",1.79,0.69,-4.22,4.43,12.13,-7.44,3.74,2.9,-4.3,3.7,12.93,1.9,0,-1.32,-4.11,5.07,11.38,-14.6
"E07000117","Burnley","E01024893","Burnley002A","Burnley 002A",7.67,10.13,16.22,5.94,5.94,4.48,7.02,6.67,10.71,7.55,9,2.4,8.3,14.05,23.44,4.38,3.36,6.06
"E07000117","Burnley","E01024896","Burnley002B","Burnley 002B",4.08,7.93,9.9,6.33,7.14,-6.54,3.71,14.78,6.12,2.83,11.59,-10.69,4.45,0.89,13.46,10.05,2.82,-2.04
"E07000117","Burnley","E01024897","Burnley002C","Burnley 002C",10.45,0,17.91,14.97,7.89,11.3,9.24,-6.04,1.47,18.37,14.15,12.27,11.64,10.47,34.85,11.24,2.46,10.66
"E07000117","Burnley","E01024898","Burnley002D","Burnley 002D",0.63,1.37,-5.67,2.17,4.46,-5.66,3.14,-3.59,-19.23,12.41,9.59,4.29,-1.9,7.1,10,-6.94,-1.63,-13.48
"E07000117","Burnley","E01024856","Burnley003A","Burnley 003A",5.09,6.98,6.54,8.62,2.96,-11.05,9.29,0.38,9.65,20,9.18,-2.78,0.94,14.6,3,-2.27,-2.86,-16.51
"E07000117","Burnley","E01024875","Burnley003B","Burnley 003B",7.32,2.03,12.44,10.45,10.42,1.11,11.49,4.83,15.79,14.38,18.99,8.51,3.06,-0.73,9.01,6.51,0,-6.98
"E07000117","Burnley","E01024876","Burnley003C","Burnley 003C",8.34,5.68,14.05,14.12,1.03,-5.5,12.89,12.38,14.56,17.11,8.65,0,3.3,-1.54,13.41,10.93,-7.78,-11.54
"E07000117","Burnley","E01024877","Burnley003D","Burnley 003D",7.81,6.64,11.27,10.75,5.46,-3.42,6.21,-0.41,12.65,9.55,11.7,-8.82,9.75,14.9,9.17,12.3,-1.12,1.28
"E07000117","Burnley","E01024878","Burnley003E","Burnley 003E",5.53,1.69,-6.44,11.26,20.63,3.7,7.52,0.36,4.92,7.1,39.34,21.62,3.47,3.15,-16.2,16.36,3.08,-5.63
"E07000117","Burnley","E01024895","Burnley003F","Burnley 003F",9.39,6.33,20.59,6.61,5.37,26.21,11.02,9.6,21.52,7.37,7.76,28.07,7.58,3.05,19.78,5.7,2.25,23.91
"E07000117","Burnley","E01024883","Burnley004A","Burnley 004A",8.56,16.3,2.21,12.24,5.4,2.88,10.5,19.44,-3.23,18.69,4.85,4.39,6.76,12.88,7.95,6.81,6,1.83
"E07000117","Burnley","E01024884","Burnley004B","Burnley 004B",1.47,4.44,-10.06,1.34,1.95,3.96,0.53,3.45,-12.36,2.27,-3.14,6.29,2.35,5.3,-7.14,0.44,7.38,2.18
"E07000117","Burnley","E01024885","Burnley004C","Burnley 004C",2.74,0.93,9.18,1.99,1.76,3.43,3.37,-1.21,5.05,0.28,11.8,5.26,2.05,3.16,13.4,3.99,-9.2,1.83
"E07000117","Burnley","E01024886","Burnley004D","Burnley 004D",2.5,-1.27,14.29,6.25,0.72,-7.3,6.62,2.38,18.57,13.69,3.57,-8.79,-1.74,-5.41,9.52,-0.78,-2.17,-5.75
"E07000117","Burnley","E01024889","Burnley004E","Burnley 004E",3.27,24.49,5.26,1.56,5.45,-6.65,1.41,12.82,21.57,-4.5,5.56,-6.63,5.22,37.68,-7.94,8.11,5.34,-6.67
"E07000117","Burnley","E01024890","Burnley004F","Burnley 004F",11.07,6.5,18.13,14.56,18.72,-2.71,11.39,2.23,30.68,14.66,16.95,-4.26,10.75,10.86,4.82,14.46,20.51,-1.57
"E07000117","Burnley","E01024879","Burnley005A","Burnley 005A",2.97,-1.87,8.11,11.21,2.28,-9.09,8.06,3.6,17.39,21,2.68,-9.73,-1.76,-7.75,0,2.95,1.87,-8.53
"E07000117","Burnley","E01024880","Burnley005B","Burnley 005B",3.19,0,8.72,4.34,6.41,-0.99,8.55,5.88,15.73,10.82,14.09,-1.19,-1.68,-6.59,-1.67,-1.36,-0.61,-0.84
"E07000117","Burnley","E01024912","Burnley005C","Burnley 005C",3.31,-5.45,-2.52,13.68,0.91,2.7,5.62,-12.79,-3.08,21.53,4.55,5.75,1.28,2.53,-1.85,6.75,-2.27,0.43
