"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E08000015","Wirral","E01007229","Wirral001A","Wirral 001A",0.58,-4.03,-7.02,2.56,9.12,-1.35,3.34,-3.98,-7.89,10.39,14.84,-4.5,-1.87,-4.09,-6.14,-3.77,4.76,1.79
"E08000015","Wirral","E01007230","Wirral001B","Wirral 001B",3.21,1.04,4.1,13.37,-0.3,-4.78,7.9,5.38,1.45,22.01,6.79,-4.46,-1.07,-3,7.55,5.95,-6.86,-5.04
"E08000015","Wirral","E01007231","Wirral001C","Wirral 001C",-4.44,-3.78,-7.32,-4.56,-5.6,-1.38,-4.8,5.56,-10.75,-8.74,-2.83,-2.27,-4.05,-12.63,-2.82,0.92,-8.54,-0.64
"E08000015","Wirral","E01007237","Wirral001D","Wirral 001D",-3.7,-6.75,-0.98,-5.92,1.43,-4.68,-1.12,5.48,-7.41,-2.05,4.57,-4.63,-6.25,-16.67,6.25,-10.04,-1.72,-4.73
"E08000015","Wirral","E01007238","Wirral001E","Wirral 001E",-0.25,-4.05,0,3.33,1.69,-4.99,-1.09,-10.53,3.7,5.05,3.3,-11.49,0.64,2.78,-3.85,1.28,0,1.07
"E08000015","Wirral","E01007218","Wirral002A","Wirral 002A",9.78,12.87,13.07,8.49,0,23.23,9.3,9.77,17.86,6.39,3.97,17.72,10.26,15.83,7.25,10.71,-3.21,28.95
"E08000015","Wirral","E01007232","Wirral002B","Wirral 002B",0.33,-0.95,-5.52,-1.75,4.75,2.12,-0.66,0.95,-15.66,-5.98,9.2,4.29,1.3,-2.83,5,3.38,0.54,0.53
"E08000015","Wirral","E01007233","Wirral002C","Wirral 002C",-1.16,0.9,-16.41,2.81,6.69,-7,-0.78,-1.8,-23.4,5.38,12.5,-5.8,-1.55,3.59,-7.83,0.34,0.6,-8.02
"E08000015","Wirral","E01007234","Wirral002D","Wirral 002D",5.14,7.23,-1.7,9.15,2.69,3.24,5.34,0,-4.49,9.87,6.63,7.96,4.95,15.13,1.15,8.49,-1.19,-0.75
"E08000015","Wirral","E01007236","Wirral002E","Wirral 002E",2.39,-1.15,4.52,4.5,0.33,3.73,6.8,3.85,6.17,10.73,5.11,5.5,-1.67,-6.11,2.7,-1.38,-3.68,2.27
"E08000015","Wirral","E01007307","Wirral003A","Wirral 003A",-0.64,-0.39,-5.91,4.48,2.49,-8.2,-2.89,0,-7.48,-0.41,0,-9.47,1.64,-0.91,-4.17,9.2,4.98,-7.11
"E08000015","Wirral","E01007308","Wirral003B","Wirral 003B",-3.19,7.63,-22.08,-1.4,-2.61,-1.79,-1.95,11.76,-26.26,3.87,-1.72,0,-4.36,3.17,-14.55,-6.78,-3.35,-3.16
"E08000015","Wirral","E01007312","Wirral003C","Wirral 003C",5.37,6.69,11.29,8.49,4.67,-0.87,6.03,12.39,9.52,5.83,6.9,-0.65,4.79,1.59,13.11,11.01,2.84,-1.05
"E08000015","Wirral","E01007313","Wirral003D","Wirral 003D",2.06,-5.84,-2.52,7.91,4.79,0.47,7.63,5.38,-10.34,19.05,9.64,4,-2.8,-17.32,6.94,-0.83,0,-2.02
"E08000015","Wirral","E01007315","Wirral003E","Wirral 003E",3.84,3.99,-9.83,13.32,2.44,-1.04,3.71,0.75,-18.81,18.05,5.16,0,3.96,6.99,2.78,9.24,0,-1.92
"E08000015","Wirral","E01007211","Wirral004A","Wirral 004A",0.52,2.41,2.46,0.63,-2.5,1.49,2.45,4.55,5.88,1.23,3.08,0,-1.37,0,-1.85,0,-7.33,2.78
"E08000015","Wirral","E01007235","Wirral004B","Wirral 004B",3.93,4.59,-4.12,11.65,5.8,-6.6,9.31,4.58,2.17,16.44,19.38,-3.31,-0.87,4.61,-11.54,7.29,-4.88,-8.98
"E08000015","Wirral","E01007310","Wirral004C","Wirral 004C",0.65,-1.8,3.75,2.98,4.37,-6.76,5.55,11.22,-1.43,11.76,6.13,-3.85,-3.49,-12.1,7.78,-4.52,2.78,-9.27
"E08000015","Wirral","E01007311","Wirral004D","Wirral 004D",0.27,-2.59,5.1,1.48,2.59,-4.48,2.42,5.21,7.06,4.19,7.51,-8.52,-1.92,-10.31,2.78,-1.58,-1.41,0
"E08000015","Wirral","E01007314","Wirral004E","Wirral 004E",2.06,-3.86,4.17,7.23,1.2,-0.88,7.78,0.67,17.57,16.75,3.77,-0.98,-2.83,-8.07,-6.38,-0.38,-1.15,-0.81
"E08000015","Wirral","E01007316","Wirral004F","Wirral 004F",-1.89,-3.6,-4.94,5.16,-6.52,-3.07,-3.19,-7.75,-8.33,6.44,-2.22,-10.19,-0.64,0.83,-1.28,4.02,-10.64,3.55
"E08000015","Wirral","E01007215","Wirral005A","Wirral 005A",-1.19,-4.76,-0.48,6.07,-3.2,-7.67,1.34,-10.69,8.33,18.85,-1.37,-13.48,-3.88,3.51,-7.89,-6.4,-5.19,-1.24
"E08000015","Wirral","E01007216","Wirral005B","Wirral 005B",-4.19,-8.06,-5.91,-3.26,4.85,-9.92,-3.35,-9.88,-8.04,-4.8,18.49,-8.93,-5.01,-6.08,-3.3,-1.78,-6.04,-10.77
"E08000015","Wirral","E01007219","Wirral005C","Wirral 005C",0.19,-1.18,-6.63,4.44,-3.19,2.45,0.74,-4.09,-5.56,8.27,-3.01,2.11,-0.37,1.78,-7.95,1.01,-3.4,2.75
"E08000015","Wirral","E01007220","Wirral005D","Wirral 005D",6.21,11.59,16.55,11.79,-2.63,-12.82,3.96,6.04,11.84,10.48,-3.97,-11.49,8.54,18.49,21.74,12.99,-0.98,-13.89
"E08000015","Wirral","E01007275","Wirral005E","Wirral 005E",0.98,-3.31,2.27,2.58,6.13,-2.75,2.9,-5.29,-17.02,10.74,18.85,-2,-0.84,-1.08,24.39,-4.49,-5.04,-3.39
"E08000015","Wirral","E01007203","Wirral006A","Wirral 006A",-0.25,0.6,-9.13,1.9,1.48,-2.5,1.87,0.6,-12.5,10.65,2.18,-5.63,-2.18,0.61,-6.25,-5.32,0.82,0.63
"E08000015","Wirral","E01007205","Wirral006B","Wirral 006B",8.81,3.34,10.64,15.31,2.5,9.9,15.57,7.27,11.21,25.74,11.35,15.85,2.63,-0.61,9.88,6.02,-4.47,5.45
"E08000015","Wirral","E01007210","Wirral006C","Wirral 006C",4.39,5.28,3.42,5.39,8.19,-2.61,8.09,6.22,3.23,10.45,17.95,-0.74,1.14,4.27,3.64,1.38,0.51,-4.07
"E08000015","Wirral","E01007309","Wirral006D","Wirral 006D",4.49,1.74,8.67,9.04,2.55,1.43,4.29,2.42,12.5,8.47,2.76,-1.28,4.68,0.94,5.13,9.6,2.33,3.61
"E08000015","Wirral","E01007212","Wirral007A","Wirral 007A",2.72,7.24,-12.77,4.93,6.58,1.94,4.38,6.42,-16.85,9.63,9.62,2.22,1.18,8.04,-9.09,0.44,3.38,1.71
