"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000039","South Derbyshire","E01019839","SouthDerbyshire001A","South Derbyshire 001A",-5.36,-2.86,-11.39,-7.77,-1.87,-2.55,-6.31,0.68,-13.89,-8.77,-3.93,-3.33,-4.36,-5.99,-7.53,-6.73,0.5,-1.95
"E07000039","South Derbyshire","E01019845","SouthDerbyshire001B","South Derbyshire 001B",-1.23,8.49,-16.98,-0.22,0.4,-3.27,-1.54,20.95,-16.05,-2.98,-3.91,-6.93,-0.93,-3.74,-17.95,2.61,5,0
"E07000039","South Derbyshire","E01019846","SouthDerbyshire001C","South Derbyshire 001C",0.81,3.78,0.69,3.72,-3.57,-2.66,3.27,1.53,16.13,6.81,-2.5,-2.4,-1.62,6.54,-10.98,0.45,-4.55,-2.9
"E07000039","South Derbyshire","E01019866","SouthDerbyshire001D","South Derbyshire 001D",-12.07,-14.86,0.83,-26.25,-6.14,-1.71,-3.97,-18.23,25.69,-11.36,5.77,-6.12,-18.84,-11.34,-19.7,-36.03,-15.16,3.24
"E07000039","South Derbyshire","E01019840","SouthDerbyshire002A","South Derbyshire 002A",-0.06,-4.12,0.67,1.93,-4.42,4.14,0.74,-7.78,8.86,3.76,-3.38,5.21,-0.8,0,-8.45,0.39,-5.33,3.2
"E07000039","South Derbyshire","E01019841","SouthDerbyshire002B","South Derbyshire 002B",3.75,1.82,26,2.38,0.93,2.95,3.13,8.49,7.27,6.9,-1.78,0.43,4.35,-4.39,48.89,-1.47,3.92,5.35
"E07000039","South Derbyshire","E01019847","SouthDerbyshire002C","South Derbyshire 002C",2.36,2.99,4.08,-2.11,9.52,1.48,3.81,-0.81,-7.5,3.03,15.57,5.03,0.98,7.21,17.91,-6.58,3.85,-1.69
"E07000039","South Derbyshire","E01019848","SouthDerbyshire002D","South Derbyshire 002D",-6.15,1.48,-16.03,-7.83,-4.39,-3.88,-5.39,6.27,-13.89,-7.39,-7.77,-7.46,-6.94,-3.35,-18.4,-8.25,-0.55,0
"E07000039","South Derbyshire","E01033532","SouthDerbyshire002F","South Derbyshire 002F",-6.35,6.12,1.69,-14.81,-1.64,-13.99,-5.28,2.59,2.97,-14.47,-0.83,-4.69,-7.43,10.67,0,-15.11,-2.42,-21.52
"E07000039","South Derbyshire","E01033533","SouthDerbyshire002G","South Derbyshire 002G",0.6,4.26,-1.5,1.49,-2.95,-5.67,4.76,4.78,15.63,9.46,-2.44,-16.22,-3.21,3.74,-17.31,-4.81,-3.51,5.97
"E07000039","South Derbyshire","E01033534","SouthDerbyshire002H","South Derbyshire 002H",-10.69,0,-9.21,-15.89,8.05,-40.91,-14.17,-2.33,-22.5,-19.44,11.32,-38.1,-6.67,2.59,5.56,-11.79,2.94,-43.48
"E07000039","South Derbyshire","E01019873","SouthDerbyshire003A","South Derbyshire 003A",5.7,-5.62,7.76,10.66,1.4,20.57,9.04,-7.05,1.89,19.54,2.34,34.85,2.64,-4.05,13.27,3.23,0.53,8
"E07000039","South Derbyshire","E01019874","SouthDerbyshire003B","South Derbyshire 003B",-4.32,-1.46,-14.94,-2.35,-5.35,-2.68,-4.08,0,-16.49,2.19,-4.71,-7.89,-4.58,-3.26,-12.28,-6.67,-5.95,2.74
"E07000039","South Derbyshire","E01019875","SouthDerbyshire003C","South Derbyshire 003C",-1.47,-0.8,1.84,-0.96,-0.31,-9.09,-1.91,-5.97,-1.08,1.94,1.95,-13.83,-1,5.17,5.71,-3.82,-2.35,-3.66
"E07000039","South Derbyshire","E01019881","SouthDerbyshire003D","South Derbyshire 003D",1.79,7.39,-1.48,1.12,2.64,0.27,1.59,2.33,-3.33,5.95,2.78,-2.35,1.97,12.22,0,-3.19,2.52,2.5
