"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"W06000023","Powys","W01000461","Powys001A","Powys 001A",2.37,5.02,-7.89,8.6,1.31,-1.28,-1.48,5.26,-10.98,4.2,-5.39,-5.79,6.79,4.72,-4.29,14.06,9.35,3
"W06000023","Powys","W01000470","Powys001D","Powys 001D",-0.55,-1.37,-6.42,6.47,-2.03,-3.42,-1.03,2.01,-8.79,7.06,-1.45,-7.41,-0.1,-4.86,-4.17,5.88,-2.53,0.35
"W06000023","Powys","W01000475","Powys001E","Powys 001E",-0.87,3.78,-3.36,2.88,0.83,-6.75,-1.51,0.76,-14.07,2.3,0.34,-2.41,-0.25,6.25,10.68,3.48,1.28,-10.89
"W06000023","Powys","W01001906","Powys001F","Powys 001F",-0.61,1.1,3.8,4.96,-4.68,-3.93,0.4,-2.16,-6,10.83,-3.08,-2.07,-1.65,4.48,20.69,-0.82,-6.06,-5.93
"W06000023","Powys","W01001907","Powys001G","Powys 001G",5.59,9.84,-9.68,4.62,11.41,5.17,4.29,9.57,-7.25,2.48,12.14,1.2,6.95,10.1,-12.73,6.71,10.57,9.2
"W06000023","Powys","W01000444","Powys002A","Powys 002A",-3.07,-7.17,-4.58,3.23,-2.31,-6.2,-3.91,-6.63,-12.24,4.38,-1.9,-7.38,-2.22,-7.74,7.53,2.12,-2.72,-5.19
"W06000023","Powys","W01000457","Powys002B","Powys 002B",1.43,-1.55,-2.63,0.69,6.24,1.6,1.73,2.65,3.7,0.71,2.11,0.84,1.14,-5.23,-11.83,0.68,10.53,2.27
"W06000023","Powys","W01000458","Powys002C","Powys 002C",3.14,-1.39,10.67,6.28,-0.74,3.62,4.56,-2.58,-2.44,12.18,0.51,8.11,1.78,0,26.47,0.78,-1.89,0
"W06000023","Powys","W01000498","Powys003A","Powys 003A",2.1,8.27,-0.53,6.37,-7.99,2.94,4.37,23.14,17.5,0.79,-7.78,1.49,0,-4.14,-13.76,12.84,-8.19,4.07
"W06000023","Powys","W01000499","Powys003B","Powys 003B",2.02,-1.52,-1.3,-5.03,5.56,14.59,2.04,-2.83,-3.95,-6.87,11.82,19.82,2,0,1.28,-2.94,-0.94,11.18
"W06000023","Powys","W01000500","Powys003C","Powys 003C",0.06,-9.58,11.24,-0.22,-2.17,4.89,0.13,-12.12,9.68,3.18,-6.38,8.84,0,-6.98,12.94,-3.43,2.22,1.25
"W06000023","Powys","W01000501","Powys003D","Powys 003D",-6.88,-6.15,-8.95,3.25,-1.64,-18.94,-5.98,-6.38,-9.4,5.5,-0.93,-18.97,-7.77,-5.91,-8.33,0.98,-2.35,-18.92
"W06000023","Powys","W01000442","Powys004A","Powys 004A",-2.31,-3.45,4.22,-0.53,-8.25,0.2,-2.72,1.55,5.06,-3.07,-10.89,1.71,-1.91,-7.45,3.45,2.19,-5.56,-1.1
"W06000023","Powys","W01000452","Powys004B","Powys 004B",2.44,9.77,4.29,4.28,-2.16,1.31,2.04,6.06,7.61,11.59,-2.65,-4.23,2.87,13.71,0,-2.8,-1.63,7.6
"W06000023","Powys","W01000473","Powys004C","Powys 004C",-1.9,-8.16,-8.09,2.56,-0.45,-2.03,0.09,-6.43,-1.98,2.69,5.56,-2.93,-3.73,-10,-12.69,2.42,-6.25,-1.32
"W06000023","Powys","W01000428","Powys005A","Powys 005A",0.82,4.35,6.67,6.73,-2.69,-4.68,-1.99,-5.38,1.23,7.45,-3.49,-8.08,3.92,17.65,14.81,6.02,-1.84,-1.07
"W06000023","Powys","W01000441","Powys005B","Powys 005B",0.07,11.45,-10.8,-2.14,-1.33,1.91,-0.94,13.56,-15.85,-3.86,-8.81,6.86,1.07,9.17,-6.38,-0.47,7.09,-2.6
"W06000023","Powys","W01000476","Powys005C","Powys 005C",-1.18,-7.84,-11.38,-1.25,3.36,2.79,0.66,-7.22,-21.43,6.37,5.74,5.52,-2.86,-8.41,1.89,-8.59,1.37,0.51
"W06000023","Powys","W01000497","Powys005D","Powys 005D",3.51,5.53,18.11,10.43,-3.73,-4.37,4.9,12,12.68,16.09,-4,-5.62,2.11,-1.01,25,5.5,-3.45,-3.03
"W06000023","Powys","W01000433","Powys006A","Powys 006A",-0.95,5.83,-5.19,1.64,-5.63,-1.91,0.35,8.47,5.15,2.9,-5.22,-3.83,-2.23,3.01,-13.91,0.33,-6.02,0
"W06000023","Powys","W01000460","Powys006B","Powys 006B",-1.1,-9,-7.08,3.99,-3.37,4.93,2.14,-3.23,-2.75,9.73,-1.96,6.32,-4.2,-15.67,-11.65,-0.93,-4.72,3.7
"W06000023","Powys","W01000488","Powys006C","Powys 006C",-1.62,3.92,-11.76,-1.37,-1.59,-1.15,-2.2,1.13,-12.5,-3.28,2.15,-2.63,-1.03,7.1,-11.01,0.72,-4.8,0.39
"W06000023","Powys","W01000434","Powys007A","Powys 007A",-1.77,-5.61,-0.68,0.26,2.11,-4.85,-1.12,-10.58,0,1.42,3.8,-3.51,-2.39,-0.91,-1.39,-1.15,0.51,-5.92
"W06000023","Powys","W01000439","Powys007B","Powys 007B",1.21,0,6.67,3.92,-4.01,2.24,1.01,2.84,4.72,7.52,-8.78,1.82,1.42,-2.45,8.99,0.37,1.27,2.65
"W06000023","Powys","W01000447","Powys007C","Powys 007C",-3.35,-12.8,12.57,-0.21,-6.05,-3.02,-3.86,-12.94,7.87,1.23,-5.24,-5.24,-2.82,-12.66,17.44,-1.66,-6.94,-0.76
"W06000023","Powys","W01000480","Powys008A","Powys 008A",1.55,-3.08,2.57,3.58,6.04,-2.83,4.47,-2.08,1.37,12.43,9.52,-6.74,-1.47,-4.24,3.97,-5.86,2.6,0.47
"W06000023","Powys","W01000481","Powys008B","Powys 008B",-2.42,8.21,-10.5,0.34,-5.02,-4.77,0.09,12.93,-2.75,1.07,-5.6,-1.5,-4.74,3.01,-17.05,-0.32,-4.44,-7.48
"W06000023","Powys","W01000482","Powys008C","Powys 008C",-3.48,-1.88,-21.4,-2.09,5.23,-3.36,-3.38,-5.76,-21.09,-1.64,9.15,-3.32,-3.58,2.36,-21.78,-2.61,1.24,-3.4
"W06000023","Powys","W01000478","Powys009A","Powys 009A",-1.04,-14.37,-6.27,6.27,7.61,4.47,2.23,-12.6,-0.78,7.69,22.22,3.49,-4.16,-16.31,-11.27,4.84,-3.14,5.38
"W06000023","Powys","W01000479","Powys009B","Powys 009B",3.07,-3.79,-3.7,14.09,3.63,-1.99,5.85,-4.79,-10.89,26.57,2.5,1.12,0.64,-2.84,4.55,2.65,4.69,-3.7
"W06000023","Powys","W01000483","Powys009C","Powys 009C",4.67,4.06,2.61,11.91,1.44,-2.14,9.41,5.85,14.73,16.06,5.45,1.54,0.42,2.43,-8.63,8.21,-2.19,-5.3
"W06000023","Powys","W01000429","Powys010A","Powys 010A",-3.03,-2.15,-15.45,5.13,-2.5,-6.26,-3.7,-1.23,-30,7.2,-2.95,-3.14,-2.33,-3.09,6.45,3.05,-2.03,-9.51
"W06000023","Powys","W01000453","Powys010B","Powys 010B",-0.35,-6.16,1.42,2.01,-3.98,3.55,1.7,-6.8,-7.41,11.05,0,3.28,-2.38,-5.56,13.33,-6.78,-7.53,3.83
"W06000023","Powys","W01000466","Powys010C","Powys 010C",1.07,0,-7.32,9.73,-3.25,-0.27,2.24,-1.53,-11.27,12.99,3.57,0,0,1.9,-1.92,6.86,-8.96,-0.45
"W06000023","Powys","W01000467","Powys010D","Powys 010D",-2.79,-4.76,-19.63,0.77,-0.85,-0.48,-6.72,-20,-22.35,-3.46,-2.22,-2.07,1.59,16.13,-16.67,6.83,0.58,0.91
"W06000023","Powys","W01000427","Powys011A","Powys 011A",-2.56,-7.41,-4.93,1.18,-1.19,-3.74,0,0,-1.19,0.58,-1.76,1.53,-5.21,-14.74,-10.34,1.8,-0.6,-8.78
"W06000023","Powys","W01000448","Powys011B","Powys 011B",3.85,9.55,1.85,10.4,-1.02,-0.53,7,7.69,7.23,14.12,3.1,1.83,0.97,11.58,-3.8,6.51,-4.27,-2.35
"W06000023","Powys","W01000449","Powys011C","Powys 011C",-2.27,-9.48,4.7,-3.34,-0.29,-1.36,-3.14,-8.18,3.7,-3.62,0.58,-5.63,-1.4,-10.66,5.88,-3.03,-1.17,2.64
"W06000023","Powys","W01000464","Powys011D","Powys 011D",8.38,-1.32,13.64,9.2,10.53,8.91,10.56,0,16.33,8.46,11.43,14.04,6.19,-2.5,10.26,9.92,9.66,3.53
"W06000023","Powys","W01000484","Powys011E","Powys 011E",0.31,8.5,2.5,3.7,-4.27,-1.88,0,5.88,1.45,6.1,-5.31,-1.74,0.64,11.22,3.92,1.6,-3,-2
"W06000023","Powys","W01000485","Powys011F","Powys 011F",0.99,-4.4,2.7,-2.43,-1.69,5.83,2.97,-10.2,7.02,-1.3,4.09,8.81,-0.9,4.92,-1.85,-3.43,-7.03,3.28
"W06000023","Powys","W01000486","Powys011G","Powys 011G",0.63,-7.14,2.75,5.92,-3.02,2.3,-0.53,-10.89,-4.92,9.03,-5.36,2.76,1.81,-2.47,12.5,2.8,-0.83,1.88
"W06000023","Powys","W01000438","Powys012A","Powys 012A",-2.51,2.52,-4.9,3.29,-5.7,-4.03,-2.91,0,-6.9,6.72,-2.82,-6.96,-2.09,5.17,-2.27,0,-8.05,-0.45
"W06000023","Powys","W01000451","Powys012B","Powys 012B",4.07,3.37,23.15,5.24,-5.57,5.88,7.61,22.09,26.79,0.75,-4.26,9.56,0.69,-14.13,19.23,9.7,-6.85,2.61
"W06000023","Powys","W01000472","Powys012C","Powys 012C",-0.65,-3.37,1.02,8.33,-2.19,-4.94,0.99,-5.38,9.8,20.61,-5.8,-6.74,-2.24,-1.18,-8.51,-2.76,1.47,-3.3
"W06000023","Powys","W01000477","Powys012D","Powys 012D",-1.13,6.03,-0.73,8.33,-0.75,-10.53,0,7.14,1.22,14.29,0.5,-10.81,-2.31,4.95,-3.64,3.59,-2.04,-10.19
"W06000023","Powys","W01000487","Powys012E","Powys 012E",-2.65,1.49,-6.61,5.01,-6.43,-5.84,0.7,0,-5.26,4.94,3.98,-2.35,-5.68,3.25,-7.96,5.08,-14.8,-8.53
"W06000023","Powys","W01000454","Powys013A","Powys 013A",-2.26,-9.52,-8.09,7.89,-3.29,-5.79,-0.93,8.11,-6.33,4.46,-3.2,-7.27,-3.61,-23.4,-10.53,12.42,-3.39,-4.65
