"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E08000012","Liverpool","E01006651","Liverpool001A","Liverpool 001A",-2.32,-6.73,4.39,-4.4,2.2,-4.9,-2.77,-11.18,9.28,-5.03,1.65,-3.13,-1.89,-2.5,0,-3.8,2.75,-6.33
"E08000012","Liverpool","E01006653","Liverpool001B","Liverpool 001B",8.98,4.2,15.24,7.77,11.11,11.45,12.1,3.61,26.92,8.64,20.61,11.83,6.23,4.79,4.65,6.95,3.18,11.19
"E08000012","Liverpool","E01006655","Liverpool001C","Liverpool 001C",7.92,4.93,10.14,7.41,11.94,5.98,9.19,2.33,17.31,6.27,22.92,2.61,6.76,7.51,3.54,8.55,3.66,8.82
"E08000012","Liverpool","E01006658","Liverpool001D","Liverpool 001D",7.43,-3.13,19.46,8.26,11.3,5.69,13.26,-1.68,26.47,21.61,18.35,0,2.54,-4.38,13.58,-1.92,4.96,10.91
"E08000012","Liverpool","E01006660","Liverpool001E","Liverpool 001E",5.65,-1.59,20.53,9.5,3.19,0,9.12,8.65,23.75,10.81,6,0,2.47,-8.84,16.9,8.18,0.61,0
"E08000012","Liverpool","E01006652","Liverpool002A","Liverpool 002A",4.6,-0.37,1.88,5.08,11.89,2.18,5.44,-6.71,0,7.69,24.62,-2.8,3.79,7.5,3.37,2.38,1.28,6.56
"E08000012","Liverpool","E01006656","Liverpool002B","Liverpool 002B",4.82,-5.08,2.7,7.29,10.96,3.03,5.61,-5.83,-5.88,10.28,16.03,3.41,4.05,-4.31,14.29,4.15,6.83,2.73
"E08000012","Liverpool","E01006657","Liverpool002C","Liverpool 002C",3.68,13.57,-0.71,2.34,4.52,-1.05,6.87,20.62,5.63,8.02,0,-2.38,0.64,6.86,-7.14,-3.43,8.85,0
"E08000012","Liverpool","E01006780","Liverpool002D","Liverpool 002D",1.94,1.33,12.34,-3.48,6.14,2.03,3.82,7.08,2.6,0,8.03,4.2,0.14,-4.42,22.08,-6.69,4.29,0
"E08000012","Liverpool","E01006783","Liverpool002E","Liverpool 002E",8,0.59,2.17,8.87,5.3,27.36,10.09,0,6.45,19.26,6.43,14,5.99,1.22,-2.2,0,4.2,40.59
"E08000012","Liverpool","E01006781","Liverpool003A","Liverpool 003A",1.76,-3.41,22.7,-2.54,3.79,-0.86,4.08,-8.04,21.25,6.64,5.85,-3.54,-0.41,2.15,24.59,-9.92,2.02,1.67
"E08000012","Liverpool","E01006782","Liverpool003B","Liverpool 003B",7.58,6.95,25.16,6.46,9.4,-4.11,9.2,3.7,31.25,9.39,14.1,-8.82,5.91,10.48,18.99,3.4,4.23,0
"E08000012","Liverpool","E01006784","Liverpool003C","Liverpool 003C",2.72,-3.44,7.5,-0.19,13.78,1.58,0.58,-10.08,4.23,-5.84,18.85,10,4.95,3.01,12.24,6.61,9.09,-4.55
"E08000012","Liverpool","E01006785","Liverpool003D","Liverpool 003D",2.52,1.16,13.68,-5.56,10.15,7.36,1.9,-7.45,29.89,-7.14,12.57,6.72,3.16,11.54,0,-3.94,7.59,7.91
"E08000012","Liverpool","E01006786","Liverpool003E","Liverpool 003E",14.29,-6.33,14.22,26.89,17.56,5.45,23.31,-6.37,16.67,44.85,28.21,3.1,4.69,-6.29,10.99,5.71,7.07,7.53
"E08000012","Liverpool","E01006661","Liverpool004A","Liverpool 004A",10.79,9.9,19.32,14.42,12.02,-0.65,19.97,25.69,25.3,29.26,18.95,-4.55,3.3,-4.4,13.98,2.75,6.38,2.26
"E08000012","Liverpool","E01006662","Liverpool004B","Liverpool 004B",8.27,0,21.71,3.39,13.65,13.7,9.32,-1.06,26.87,6,19.29,10.56,7.4,0.97,17.65,1.29,8.5,15.89
"E08000012","Liverpool","E01006663","Liverpool004C","Liverpool 004C",5.62,12.88,4.41,0,6.38,11.11,9.65,7.41,14.06,7.37,10.26,18.6,1.86,20.41,-4.17,-6.14,2.54,6.76
"E08000012","Liverpool","E01006664","Liverpool004D","Liverpool 004D",3.75,-6.07,16.13,8.53,9.23,-8.24,7.03,0.91,2.75,13.4,17.33,-4.96,0.62,-13.4,29.63,3.98,2.69,-11.59
"E08000012","Liverpool","E01006669","Liverpool004E","Liverpool 004E",2.38,13.59,0,3.45,-5.22,-2.04,2.72,12.68,-5.08,7.33,-5.11,0,2.06,14.48,6.38,0.35,-5.33,-3.8
"E08000012","Liverpool","E01006654","Liverpool005A","Liverpool 005A",3.54,-1.24,5.56,6.77,5.28,-1.85,8.05,7.27,9.41,8.74,7.6,6.98,-0.55,-8.33,1.3,5.06,2.65,-7.69
"E08000012","Liverpool","E01006659","Liverpool005B","Liverpool 005B",-19.36,4.26,-41.42,-31.44,-5.58,15.76,-34.22,5.6,-61.54,-44.94,-14.88,14.86,10.48,2.73,53.19,2.8,9.9,16.48
"E08000012","Liverpool","E01006734","Liverpool005C","Liverpool 005C",7.28,8.17,13.94,7.36,7.93,-0.5,5.27,9.68,3.41,7.49,7.77,-8.79,9.09,6.62,25.97,7.25,8.06,6.42
"E08000012","Liverpool","E01006735","Liverpool005D","Liverpool 005D",17.52,8.77,28.77,21.27,19.92,9.6,25.38,7.53,33.33,37.84,33.03,12.35,11.06,10.07,25,9.34,9.86,7.29
"E08000012","Liverpool","E01006736","Liverpool005E","Liverpool 005E",11.64,15.25,29.14,6.36,13.36,2.11,11.22,0,34.15,9.75,19.26,1.28,12.03,36.44,24.73,3.53,7.75,2.68
"E08000012","Liverpool","E01006737","Liverpool005F","Liverpool 005F",11.04,5.08,3.57,23.48,10.13,2.93,17.06,12.21,-1.85,52.67,10,0,5.79,-2.4,10.23,5.69,10.26,5.41
"E08000012","Liverpool","E01006787","Liverpool006A","Liverpool 006A",-32.78,-1.75,-28.83,-50.13,-17.77,-3.57,-48.39,1.44,-46.05,-65.03,-29.39,-17.48,1.82,-4.79,4.5,-0.74,4.13,18.46
"E08000012","Liverpool","E01006788","Liverpool006B","Liverpool 006B",1.77,-4.97,21.29,-3.76,6.69,3.66,1.04,-7.73,10.74,-1.75,15.65,-5.93,2.47,-2.13,37.04,-5.52,-1.2,12.5
"E08000012","Liverpool","E01006790","Liverpool006C","Liverpool 006C",1.63,0.64,9.23,-0.82,4.59,-1,2.97,7.59,7.22,-6.21,12.98,10.13,0.36,-5.42,11.22,5.21,-2.63,-8.2
"E08000012","Liverpool","E01006791","Liverpool006D","Liverpool 006D",2.68,-6.35,10.65,-0.84,16.07,-0.62,4.56,-19.26,19.74,7.79,16.89,-0.65,0.74,8.55,3.23,-11.03,15.29,-0.6
"E08000012","Liverpool","E01006665","Liverpool007A","Liverpool 007A",4.04,-0.4,14.92,-0.57,8.97,2.56,8.92,1.46,14.77,4.88,15.66,14.49,-0.39,-2.59,15.05,-5.36,3.47,-6.9
"E08000012","Liverpool","E01006666","Liverpool007B","Liverpool 007B",-0.62,-1.93,2.74,-3.29,5.97,-10,-2.58,-11.43,0.95,-4.91,11.46,-13.7,1.2,9.24,4.39,-1.72,1.54,-6.9
"E08000012","Liverpool","E01006667","Liverpool007C","Liverpool 007C",6.37,1.41,24.41,4.58,8.21,4,11.84,4.9,36.67,10,12.2,10.53,1.61,-2.13,13.43,0,4.52,-0.62
"E08000012","Liverpool","E01006668","Liverpool007D","Liverpool 007D",0.47,5.23,-5.29,-3.9,9.77,-5.11,4.01,7.04,-7.29,-2.38,19.48,1.82,-2.61,3.66,-3.23,-5.13,0,-9.76
"E08000012","Liverpool","E01006670","Liverpool007E","Liverpool 007E",2.8,0,9.66,-1.75,7.61,3.27,3.54,-0.63,2.22,2.98,4.97,10.2,2.07,0.94,17.44,-5.76,10.16,-2.59
"E08000012","Liverpool","E01006607","Liverpool008A","Liverpool 008A",13.31,7.92,12.92,22.94,15.65,0.38,21.01,8.61,17.39,44.94,25.4,0,7,7.24,7.45,9.15,8.33,0.69
"E08000012","Liverpool","E01006612","Liverpool008B","Liverpool 008B",7.61,24.41,19.34,1.92,4.64,0.39,7.66,14.4,11.24,2.7,9.27,6.54,7.57,38.64,27.17,1.15,0,-4.05
"E08000012","Liverpool","E01006729","Liverpool008C","Liverpool 008C",8.25,4.76,12.64,11.57,16.08,-6.04,16.56,8.89,15.63,30.64,25,-6.49,1.34,0.56,8.97,0,7.77,-5.71
"E08000012","Liverpool","E01032510","Liverpool008F","Liverpool 008F",5.91,7.54,7.52,6.24,5.47,1.37,7.1,-3.66,17.48,8.56,10.9,6.25,4.76,21.43,-0.81,3.94,0.58,-2.44
"E08000012","Liverpool","E01032511","Liverpool008G","Liverpool 008G",8.37,10.48,8.82,12.5,4,5.02,10.34,10.48,9.52,15.5,7.33,5.83,6.54,10.48,8.22,9.72,1.14,4.2
"E08000012","Liverpool","E01006608","Liverpool009A","Liverpool 009A",5.28,5.42,14.63,1.22,9.52,2.14,5.38,0,6.15,1.54,17.36,3.75,5.18,12.5,24.14,0.93,2.29,0.93
"E08000012","Liverpool","E01006609","Liverpool009B","Liverpool 009B",11.71,21.33,29.66,6.98,9.31,3.43,13.88,37.37,10.29,7.05,15.52,6.17,9.64,8.73,56,6.9,3.82,1.06
"E08000012","Liverpool","E01006610","Liverpool009C","Liverpool 009C",8.07,-5.97,30.85,7.68,13.28,3.95,13.79,-8.33,41.18,21.5,21.74,4.21,3.28,-2.9,22.33,-1.95,6.38,3.76
"E08000012","Liverpool","E01006613","Liverpool009D","Liverpool 009D",4.35,-7.04,13.48,6.33,5.97,3.9,8.13,-9.82,11.54,14.97,11.52,8.57,0.99,-3.96,15.87,-0.47,0,1.13
"E08000012","Liverpool","E01006705","Liverpool009E","Liverpool 009E",10.18,20.46,22.99,4.86,11.7,-4.32,8.4,14.29,12.36,2.41,18.4,0,11.92,26.32,34.12,7.58,5.71,-7.69
"E08000012","Liverpool","E01006598","Liverpool010A","Liverpool 010A",13.03,10.9,17.51,24.45,6.33,-3.51,16.8,17.61,7.87,42.78,0.89,-6.86,9.98,5.77,27.27,11.81,11.93,-0.79
"E08000012","Liverpool","E01006599","Liverpool010B","Liverpool 010B",8.72,0.73,9.87,11.2,17.02,10.83,17.61,5.67,7.25,28.78,30.86,11.32,2.01,-3.67,12.05,0,6.54,10.45
"E08000012","Liverpool","E01006672","Liverpool010E","Liverpool 010E",4.3,1.69,7.02,6.24,8.09,-3.78,9.33,3.94,32.14,11.04,14.6,-7.41,0,-0.91,-7.64,2.32,2.91,-0.77
"E08000012","Liverpool","E01033759","Liverpool010F","Liverpool 010F",16.51,16.61,31.08,19.53,6.36,2.04,20.58,12.09,26.13,33.22,14.41,4.65,13.47,20.74,36.04,11.33,0.61,0
"E08000012","Liverpool","E01006600","Liverpool011A","Liverpool 011A",7.73,-6.9,19.75,7.16,11.04,12.11,11.81,-10,31.75,20.9,19.01,4.42,4.39,-3.31,11.7,-2.89,4.57,18.18
"E08000012","Liverpool","E01006603","Liverpool011B","Liverpool 011B",12.84,15.02,27.03,20.05,4.65,1.45,16.74,6.25,31.94,32.11,10.14,0.9,9.43,25.71,22.37,9.82,0,1.83
"E08000012","Liverpool","E01006730","Liverpool011C","Liverpool 011C",9.79,-9.47,27.95,20.18,9.69,0.48,16.25,-5.44,25.88,31,21.05,3.41,4.06,-13.77,30.26,11.02,0.69,-1.65
"E08000012","Liverpool","E01006731","Liverpool011D","Liverpool 011D",9.36,-6.62,18.71,17.88,15.21,0.58,13.8,-6.9,9.59,29.71,21.57,9.52,5.41,-6.3,28.79,8.06,9.57,-4.59
"E08000012","Liverpool","E01006732","Liverpool011E","Liverpool 011E",2.32,3.64,-1.76,1.94,12.95,-6.86,11.4,8.02,6.31,17.11,19.78,1.43,-4.17,-0.39,-9.48,-6.94,8.27,-11.19
"E08000012","Liverpool","E01006611","Liverpool012A","Liverpool 012A",3.58,-2.51,18.05,6.06,-2.15,1.28,3.06,0.9,-8.33,10.4,-4.65,4.29,4.09,-5.47,39.73,1.63,0.96,-1.16
"E08000012","Liverpool","E01006614","Liverpool012B","Liverpool 012B",-1.67,-10.27,10.27,-0.63,2.99,-9.22,-1.87,-8.41,13.33,-3.56,6.98,-11.83,-1.47,-11.97,8.14,2.68,-0.72,-7.08
"E08000012","Liverpool","E01006615","Liverpool012C","Liverpool 012C",14.44,10.84,31.29,15.16,17.35,1.05,20.68,7.44,50,27.96,19.27,3.49,9.04,14.06,19.1,4.1,15.45,-0.96
"E08000012","Liverpool","E01006698","Liverpool012D","Liverpool 012D",5.62,2.35,18.64,5.53,7.65,-4.63,11.8,4.3,29.63,18.25,14.09,-13.33,0.11,0.51,8.04,-5.26,2.25,3.6
"E08000012","Liverpool","E01006700","Liverpool012E","Liverpool 012E",14.66,15.52,26.92,16.83,12.9,2.56,18.01,12.88,24.69,22.81,15.57,10.28,11.44,17.72,29.33,10.48,10.32,-3.94
"E08000012","Liverpool","E01006623","Liverpool013A","Liverpool 013A",6.13,9.3,10.06,11.65,1.12,1.56,9.49,19.44,13.04,13.51,3.66,3.97,3.04,2,6.49,9.78,-1.04,-0.59
"E08000012","Liverpool","E01006624","Liverpool013B","Liverpool 013B",4.86,12.7,4.35,3.74,6.74,-2.21,10.33,21.21,1.41,18.78,5.88,-2.34,0.12,6.9,7.46,-8.6,7.6,-2.08
"E08000012","Liverpool","E01006627","Liverpool013C","Liverpool 013C",2.52,6.25,1.38,1.82,3.91,-0.78,4.65,2.31,0,3.26,13.29,1.98,0.55,10.91,2.94,0.45,-4.27,-2.56
"E08000012","Liverpool","E01006671","Liverpool013D","Liverpool 013D",7.98,-8.9,23.81,13.58,10.84,-1.03,13.95,0,20,22.35,15.72,3.03,3.07,-16.41,27.71,6.57,6.1,-3.13
"E08000012","Liverpool","E01006699","Liverpool014A","Liverpool 014A",-1.69,-4.57,13.09,-8.13,6.01,0,-1.02,-5.59,12.9,-8.45,7.33,9.38,-2.39,-3.36,13.27,-7.76,4.51,-6.72
"E08000012","Liverpool","E01006701","Liverpool014B","Liverpool 014B",18.79,24.41,27.78,23.55,10.72,10,20.63,24.58,31.25,22.18,17.22,11.11,16.99,24.21,25,25.11,5.67,9.02
"E08000012","Liverpool","E01006702","Liverpool014C","Liverpool 014C",9.94,4.27,13.9,13.65,12.27,2.78,19.97,6.62,35.71,24.42,26.09,9.73,1.1,1.54,-3.88,3.87,2.47,-2.88
"E08000012","Liverpool","E01006703","Liverpool014D","Liverpool 014D",4.95,4.38,21.51,4.78,9.18,-7.1,5.61,0,17.14,9.75,10.9,-9.2,4.21,9.82,27.16,-0.69,7.25,-4.88
"E08000012","Liverpool","E01006778","Liverpool014E","Liverpool 014E",5.94,5.57,11.07,6.65,5.96,0.32,10.74,4.92,20.45,10,18.47,3.8,1.12,6.33,0.83,2.81,-2.03,-3.18
"E08000012","Liverpool","E01006541","Liverpool015A","Liverpool 015A",2.15,3.83,6.45,-2.72,13.25,-3.95,4.16,2.78,9.59,-1.6,19.33,-3.55,0.26,4.95,3.66,-3.77,7.24,-4.29
"E08000012","Liverpool","E01006543","Liverpool015B","Liverpool 015B",5.07,-7.73,15.52,8.38,7.49,1.67,7.99,-7.22,28.33,11.56,12.84,-1.82,2.28,-8.33,1.79,5.41,2.52,4.62
"E08000012","Liverpool","E01006544","Liverpool015C","Liverpool 015C",8.18,4.69,13.41,8.18,13.44,0.44,15.87,1.32,14.17,28.64,17.16,9.2,2.27,7.69,12.7,-5.97,10.53,-4.93
"E08000012","Liverpool","E01006616","Liverpool015D","Liverpool 015D",6.69,-1.51,3.87,14.11,4.89,5.14,8.43,3,4.82,17.37,1.96,7.83,4.99,-6.06,2.78,10.61,7.47,2.9
"E08000012","Liverpool","E01006762","Liverpool015E","Liverpool 015E",7.42,12.58,12.12,7.72,3.13,2.62,7.22,7.78,7.96,8,4.38,7.76,7.61,17.61,17.65,7.47,2.09,-1.32
"E08000012","Liverpool","E01006604","Liverpool016A","Liverpool 016A",11.12,6.97,24.18,17.05,5.17,0.47,14.75,10.43,20.93,21.1,9.52,7.06,8.16,3.88,27.08,13.69,1.65,-3.94
"E08000012","Liverpool","E01006605","Liverpool016B","Liverpool 016B",6.75,6.9,18.23,2.14,15.63,-2.51,8.33,-2.14,12.26,5.53,25.93,3.28,5.25,17.36,26.67,-1.15,8.11,-7.01
"E08000012","Liverpool","E01006618","Liverpool016C","Liverpool 016C",10.96,19.71,19.35,19.53,5.26,-2.81,14.09,30.11,17.92,18.57,13.33,-4,8.25,11.3,21.25,20.45,-0.93,-1.94
"E08000012","Liverpool","E01006625","Liverpool016D","Liverpool 016D",5.87,-3.5,12,17.68,2.85,0,10.43,-5.71,10.81,27.61,13.57,0,2.01,-1.05,13.16,8.79,-5.68,0
"E08000012","Liverpool","E01006626","Liverpool016E","Liverpool 016E",9.64,14.95,2.55,25.67,3.31,-1.92,14.22,13.4,2.47,35.33,9.58,-1.52,5.54,16.49,2.63,16.32,-2.04,-2.21
"E08000012","Liverpool","E01006637","Liverpool017A","Liverpool 017A",8.21,4.09,14.95,10.95,19.23,-12.78,16.5,3.81,21.25,30.23,34.23,-16.05,1.41,4.42,10.53,-1.5,5.69,-10.1
"E08000012","Liverpool","E01006638","Liverpool017B","Liverpool 017B",9.93,15.49,12.95,19.46,-0.79,-9.04,13.75,16.18,20.69,23.53,10.19,-16.9,6.82,14.86,7.41,15.98,-8.9,-3.16
"E08000012","Liverpool","E01006639","Liverpool017C","Liverpool 017C",6.11,2.1,23.57,5.59,5.5,0.9,14.33,8.27,40.85,14.41,10.69,7.61,-0.62,-3.27,9.3,-1.77,1.25,-3.88
"E08000012","Liverpool","E01006644","Liverpool017D","Liverpool 017D",-0.7,-5.37,1.68,-6.31,9.06,7.98,-2.72,-11.22,3.31,-10.59,10.98,12.1,1.43,1.08,0,-1.62,7.1,4.32
"E08000012","Liverpool","E01006645","Liverpool017E","Liverpool 017E",8.4,7.14,25.81,10.82,7.48,-2.44,11.65,11.84,45.31,12.68,9.15,-6.09,5.5,1.56,12.09,9.09,5.92,0
"E08000012","Liverpool","E01006542","Liverpool018A","Liverpool 018A",6.45,11.74,14.43,-3.88,14.29,10.05,5.54,9.9,24.14,-6.67,16.67,5.75,7.37,13.39,7.02,-0.43,11.76,13.73
"E08000012","Liverpool","E01006558","Liverpool018B","Liverpool 018B",0.51,-3.3,6.98,2.39,6.28,-11.7,-2.82,-13.59,0,0,7.02,-12.5,4.4,10.13,12.5,5.7,5.5,-10.87
"E08000012","Liverpool","E01006562","Liverpool018E","Liverpool 018E",-3.53,-10,-9.95,1.59,1,-6.22,-1.98,-22.44,-22.55,21.96,1.33,-5.21,-5.02,5.45,3.03,-15.11,0.67,-7.08
"E08000012","Liverpool","E01033747","Liverpool018F","Liverpool 018F",4.45,-11.75,13.45,16.45,7.96,-7.02,17.85,-7.33,35.29,37.24,36.36,-7.77,-5.79,-15.76,-0.97,0.77,-9.68,-6.4
"E08000012","Liverpool","E01006545","Liverpool019A","Liverpool 019A",3.92,-6.19,19.25,7.24,4.18,-1.42,8.48,-2.03,34.85,12.24,10.48,-4.95,-0.13,-10.06,8.42,2.63,-1.44,1.82
"E08000012","Liverpool","E01006546","Liverpool019B","Liverpool 019B",13.16,11.63,22.94,13.06,15.42,1.32,14.55,8.47,32.18,13.33,27.45,-9.09,11.66,15.46,13.25,12.74,5.6,12
"E08000012","Liverpool","E01006547","Liverpool019C","Liverpool 019C",1.91,2.3,-7.73,0.89,18.8,-7.25,4.39,-5.92,-3.7,3.69,28.68,-3.3,-0.67,12.5,-10.32,-2.28,7.02,-10.78
"E08000012","Liverpool","E01006548","Liverpool019D","Liverpool 019D",3.37,7.57,-4.13,-1.74,16.44,5.73,3.61,2.44,-3.67,-2.03,23.14,8.33,3.12,13.57,-4.59,-1.38,8.65,3.77
"E08000012","Liverpool","E01006766","Liverpool019E","Liverpool 019E",2.84,4.2,28.87,-2.28,0.95,-4.69,0.9,3.57,23.19,-7.28,11.11,-7.41,4.96,4.92,34.25,4.46,-8.04,-2.7
"E08000012","Liverpool","E01006767","Liverpool019F","Liverpool 019F",5.1,14.14,4.72,-2.44,16.55,1.16,4.59,15.23,-4.62,-6.97,26.09,16.88,5.64,12.97,16.5,2.75,7.14,-11.58
"E08000012","Liverpool","E01006606","Liverpool020A","Liverpool 020A",5.67,14.04,20.15,4.07,2.61,-1.98,9.23,17.54,36.07,6.77,4.55,-0.92,2.33,10.53,6.85,1.46,0.59,-2.8
"E08000012","Liverpool","E01006761","Liverpool020B","Liverpool 020B",-5.16,0.83,-17.12,-2.32,3.42,-16.61,-5.43,-0.78,-20.33,-5.87,5.46,-10.16,-4.85,2.68,-13.13,2.85,1.19,-21.23
"E08000012","Liverpool","E01006763","Liverpool020C","Liverpool 020C",-2.01,-8.51,18.99,-7.05,-0.39,3.98,2.16,-5.75,32.89,-3.93,1.64,11.24,-6.09,-11.61,6.1,-10.26,-2.26,-1.79
"E08000012","Liverpool","E01006764","Liverpool020D","Liverpool 020D",0.39,-2.8,4.17,-6.24,17.96,0.56,2.58,0,29.11,-9.65,33.05,-9.78,-1.87,-5.67,-13.27,-2.12,3.94,11.63
"E08000012","Liverpool","E01006765","Liverpool020E","Liverpool 020E",7.6,13.65,17.47,4.66,5.17,3.13,12.59,10,26.92,9.16,23.26,-1.15,2.75,18.35,9.09,0,-9.32,6.67
"E08000012","Liverpool","E01006768","Liverpool020F","Liverpool 020F",8.92,44.62,20.65,2.23,8.19,-4.59,5.2,26.39,22.5,-0.92,8.22,-7.55,13.71,67.24,18.67,7.11,8.15,-1.11
"E08000012","Liverpool","E01006617","Liverpool021A","Liverpool 021A",3.01,0,0.82,-0.43,4.04,10.9,7.3,5.49,8.47,5.94,11.49,5.51,-0.84,-5.32,-6.35,-6.07,-2.3,15.83
"E08000012","Liverpool","E01006619","Liverpool021B","Liverpool 021B",2.93,7.49,8.93,1.19,9.17,-7.16,9.94,4.23,24.05,14.23,17.05,-7.24,-3.18,11.2,-4.49,-8.21,1.16,-7.1
"E08000012","Liverpool","E01006620","Liverpool021C","Liverpool 021C",4.21,11.98,2.61,-2.31,6.41,6.32,1.91,9.88,2.41,-6.67,8.39,3.05,6.39,13.95,2.86,2.79,4.73,8.8
"E08000012","Liverpool","E01006621","Liverpool021D","Liverpool 021D",2.32,-1.62,1.28,4.52,5.71,-0.57,3.23,-4.2,2.9,2.58,13.92,-0.61,1.49,0.78,0,6.47,-1.71,-0.54
"E08000012","Liverpool","E01006622","Liverpool021E","Liverpool 021E",6.86,8.52,6.08,10,6.44,2.17,8.19,12.73,1.06,9.01,11.19,5,5.59,4.42,11.49,11.06,1.97,0
"E08000012","Liverpool","E01006640","Liverpool021F","Liverpool 021F",-0.3,-3.66,12.5,1.38,0.51,-7.25,2.26,-3.38,10.2,5.9,6.78,-6.33,-2.78,-4.05,15.12,-2.59,-4.69,-8.02
"E08000012","Liverpool","E01006776","Liverpool022B","Liverpool 022B",5.13,7.28,14.14,9.39,6.74,-9.97,7.21,15.45,12.77,13.22,6.25,-9.78,3.17,0,15.38,5.88,7.22,-10.16
"E08000012","Liverpool","E01006779","Liverpool022D","Liverpool 022D",8.41,-1.87,24.43,11.04,20.17,-5.64,14.84,0,28.21,21.01,41.04,-5.97,2.93,-3.52,20.19,3.15,7.34,-5.29
"E08000012","Liverpool","E01033764","Liverpool022E","Liverpool 022E",9.51,5.25,32.86,12.59,0.77,3.26,11.21,-1.3,31.11,21.77,1.85,4.02,7.8,12.93,34.48,3.89,-0.41,2.61
"E08000012","Liverpool","E01006560","Liverpool023A","Liverpool 023A",0.84,-8.36,8.6,-0.61,10.57,-2.94,1.53,-4.49,10.89,-0.85,11.7,-4.42,0.11,-12.59,6.67,-0.33,9.26,-1.55
"E08000012","Liverpool","E01006564","Liverpool023B","Liverpool 023B",11.81,19.9,12.77,22.05,7.2,0.7,14.34,15.69,16.46,33.18,9.94,-1.33,9.3,24.47,8.06,12.55,4.74,2.96
"E08000012","Liverpool","E01006646","Liverpool023C","Liverpool 023C",0.57,16.1,14.88,-9.5,6.06,0,-0.7,14.39,12,-11.49,9.14,1.69,2.05,17.97,17.99,-6.94,2.58,-1.63
"E08000012","Liverpool","E01006648","Liverpool023D","Liverpool 023D",2.42,7.69,19.29,-5.38,-1.03,1.82,3.26,11.39,19.03,-6.85,10.69,-0.69,1.47,3.55,19.6,-3.33,-9.13,4.65
"E08000012","Liverpool","E01006540","Liverpool024A","Liverpool 024A",-1.2,-3.92,-5.1,-0.94,5.14,-0.6,0.88,0,2.4,2.59,3.47,-10.99,-3.44,-7.69,-12.31,-4.75,7.34,11.84
"E08000012","Liverpool","E01006563","Liverpool024B","Liverpool 024B",3.87,3.67,3.6,11.15,3.75,-4.95,5.37,3.59,0,26.36,3.39,-12.04,2.3,3.76,7.41,-2.21,4.12,3.19
"E08000012","Liverpool","E01006647","Liverpool024C","Liverpool 024C",12.96,-1.58,26.16,22.75,10.73,3.27,24.3,4.12,25.81,52.78,18.02,7,3.8,-7.57,26.55,3.04,5.33,0.69
"E08000012","Liverpool","E01006693","Liverpool024D","Liverpool 024D",0.38,1.68,10,2.2,2.58,-7.33,-2.15,-1.11,3.66,-3.68,-1.05,-3.94,3.19,4.49,18.97,9.25,6.96,-10.45
