"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000035","Derbyshire Dales","E01019602","DerbyshireDales001A","Derbyshire Dales 001A",3.67,11.87,0.65,8.94,1.11,-1.21,6.99,18.25,11.84,7.66,8.53,-2.54,0.45,3.23,-10.39,10.19,-5.44,0
"E07000035","Derbyshire Dales","E01019614","DerbyshireDales001B","Derbyshire Dales 001B",-1.65,-2.93,-2.1,-1.86,1.17,-3.3,-2.37,-5.67,-6.17,-1.1,2.82,-4.87,-0.88,1.02,3.23,-2.58,-0.47,-1.75
"E07000035","Derbyshire Dales","E01019615","DerbyshireDales001C","Derbyshire Dales 001C",-0.14,8,1.6,4.95,-3.69,-5.72,0.5,4.9,8.05,5.35,-2.06,-6.12,-0.68,10.83,-3.96,4.61,-5.15,-5.42
"E07000035","Derbyshire Dales","E01019631","DerbyshireDales001D","Derbyshire Dales 001D",0.89,3.28,0,3.87,-2.05,-0.72,-0.55,-5.03,-2.04,8.05,-6.52,0.55,2.35,14.78,2.44,0,2.88,-1.72
"E07000035","Derbyshire Dales","E01019600","DerbyshireDales002A","Derbyshire Dales 002A",-5.23,-19.91,-9.16,0.85,-3.79,-2.8,-3.39,-21.62,-3.33,-0.56,1.65,-0.49,-6.86,-18.26,-14.08,2.34,-8.41,-4.62
"E07000035","Derbyshire Dales","E01019604","DerbyshireDales002B","Derbyshire Dales 002B",-1.41,-2.03,-14.84,3.66,0.21,-1.65,-2.09,-3.23,-22.77,7.26,-2.61,0.39,-0.76,-0.96,-4.94,0.49,2.92,-3.46
"E07000035","Derbyshire Dales","E01019606","DerbyshireDales002C","Derbyshire Dales 002C",3.53,11.26,14.29,1.78,2.39,0.19,4.52,15.89,28.57,2.63,-0.52,0.83,2.65,7.26,4.76,0.99,5.49,-0.34
"E07000035","Derbyshire Dales","E01019618","DerbyshireDales002D","Derbyshire Dales 002D",3.51,0,29.13,-1.36,4.63,2.55,3.63,9.91,37.78,-6.81,9.15,-0.77,3.39,-10,22.41,4.52,0.99,6.05
"E07000035","Derbyshire Dales","E01019599","DerbyshireDales003A","Derbyshire Dales 003A",2.29,-1.07,-7.84,16.49,0.89,-1.32,7.49,5.68,-2.08,33.33,2.65,-0.41,-2.03,-7.07,-12.96,3.14,-0.53,-2.08
"E07000035","Derbyshire Dales","E01019601","DerbyshireDales003B","Derbyshire Dales 003B",2.7,-3.16,1.57,10.06,0,2.19,4.05,-8.7,0,21.62,3.38,-0.42,1.62,2.04,3.28,0.56,-2.99,3.93
