"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000168","Scarborough","E01027837","Scarborough001A","Scarborough 001A",3.75,0,10.49,11.04,1.33,-1.04,4.56,2.78,10.26,14.47,1.45,-3.43,3.02,-2.61,10.77,7.95,1.23,0.96
"E07000168","Scarborough","E01027839","Scarborough001B","Scarborough 001B",3.26,7.28,3.66,-1.08,11.34,-1.53,3.38,2.24,10.39,-4.24,15.19,0.61,3.16,12.6,-2.3,2.2,8.06,-3.07
"E07000168","Scarborough","E01027869","Scarborough001C","Scarborough 001C",2.78,-11.54,16.46,14.56,-5.31,-3.32,4.36,-15.63,4,19.34,-1.8,-4.13,0.88,-5,37.93,8.15,-9.15,-2.5
"E07000168","Scarborough","E01027870","Scarborough001D","Scarborough 001D",0.23,-17.57,-2.94,10.74,1.88,-1.35,3.8,-24.05,11.76,13.38,6.41,3.19,-3.08,-10.14,-17.65,7.8,-2.45,-4.67
"E07000168","Scarborough","E01027871","Scarborough001E","Scarborough 001E",4.88,9.13,4.48,13.62,-2.31,1.6,7.9,11.11,9.86,16.47,-1.73,6.19,2.25,6.73,-1.59,11.17,-2.87,-1.31
"E07000168","Scarborough","E01027813","Scarborough002A","Scarborough 002A",-0.05,-10.44,-6.86,5.73,3.18,-0.9,1.87,-4.8,0,4.95,5.51,-0.37,-1.92,-16.13,-14.63,6.54,1.07,-1.39
"E07000168","Scarborough","E01027822","Scarborough002B","Scarborough 002B",0,-8.88,11.2,3.65,-1.09,-1.18,0.84,-3.88,11.59,-3.06,-1.13,5.78,-0.88,-13.51,10.71,11.88,-1.05,-8.43
"E07000168","Scarborough","E01027840","Scarborough002C","Scarborough 002C",0.77,1.48,0.49,6.81,-0.41,-3.61,3.97,6.62,1.83,13.44,3.02,-3.64,-2.38,-3.73,-1.06,0.38,-3.54,-3.58
"E07000168","Scarborough","E01027841","Scarborough002D","Scarborough 002D",0.31,15.44,-7.5,12.41,3.18,-12.93,2.13,16.25,-12.12,11.28,8.47,-10.5,-1.53,14.29,-1.85,13.53,-1.5,-15.24
"E07000168","Scarborough","E01027838","Scarborough003A","Scarborough 003A",0.72,-9.18,-2.13,6.1,1.32,1.66,0.67,-12.12,-8.14,11.33,-1.6,4.57,0.75,-6.48,7.27,1.69,4.15,-0.76
"E07000168","Scarborough","E01027864","Scarborough003B","Scarborough 003B",4.94,0.75,18.01,9.76,-1.89,0.94,9.28,-1.37,32.88,18.72,-0.63,5.83,0.85,3.36,5.68,2.58,-3.14,-3.64
"E07000168","Scarborough","E01027865","Scarborough003C","Scarborough 003C",-2.86,-1.51,-9.94,4.68,-7.73,-3.81,-4.81,-2.13,-14.89,-1.83,-9.14,1.37,-0.84,-0.95,-3.9,12.23,-6.18,-8.28
"E07000168","Scarborough","E01027866","Scarborough003D","Scarborough 003D",2.91,7.07,3.68,6.78,-0.8,-1.6,6.23,14.96,7.06,12.44,3.85,-4.92,-0.12,0.64,0,2.02,-5.24,1.57
"E07000168","Scarborough","E01027821","Scarborough004A","Scarborough 004A",1.79,-2.24,6.45,15.36,-3.38,-1.16,1.47,-5.41,-5.88,18.4,-1.65,-1.22,2.09,1.67,21.43,12.68,-4.93,-1.1
"E07000168","Scarborough","E01027823","Scarborough004B","Scarborough 004B",1.59,-0.6,15,14.5,-3.35,-3.6,2.78,-3.49,17.02,15.57,0.62,-3.03,0.54,2.44,13.21,13.57,-6.6,-4.09
"E07000168","Scarborough","E01027831","Scarborough004C","Scarborough 004C",0.09,4.2,-4.5,-1.15,7.46,-3.86,2.55,1.75,3.57,1.61,12.73,-3.7,-2.2,6.45,-12.73,-3.68,2.54,-4
"E07000168","Scarborough","E01027832","Scarborough004D","Scarborough 004D",-3.38,5.69,-24.04,6.76,-2.82,-7.37,-1.2,0,-29.03,13.89,0.89,-2.58,-5.43,12.07,-16.67,0,-5.88,-11.41
"E07000168","Scarborough","E01027836","Scarborough004E","Scarborough 004E",2.91,6.38,5.99,8.02,0.38,-1.23,4.13,7.43,7.06,14.85,0,-2.46,1.74,5.22,4.88,2.22,0.72,0
"E07000168","Scarborough","E01027857","Scarborough004F","Scarborough 004F",-2.8,2.03,-3.06,-0.31,-2.74,-7.04,-2.69,0.95,-10.53,1.3,-1.25,-6.74,-2.9,3.26,7.32,-1.79,-4.14,-7.31
"E07000168","Scarborough","E01027842","Scarborough005A","Scarborough 005A",6.18,-0.38,21.95,13.45,0.31,1.96,8.67,7.03,36.23,18.48,2.01,-2.16,3.97,-7.52,11.58,9.33,-1.15,6.11
"E07000168","Scarborough","E01027843","Scarborough005B","Scarborough 005B",2.94,1.79,13.89,7.02,-1.48,-1.96,7.65,10.61,18.52,15.05,2.21,-4.43,-1.3,-6.08,7.94,0.44,-5.22,0
"E07000168","Scarborough","E01027844","Scarborough005C","Scarborough 005C",0.87,3.21,4.07,8.43,-0.26,-5.69,3.31,0.9,4.76,11.11,3.47,-2.43,-1.43,6.58,3.33,5.78,-3.37,-8.37
"E07000168","Scarborough","E01027845","Scarborough005D","Scarborough 005D",2.59,-2.26,-3.29,9.44,1.71,2.26,4.61,-1.5,-4.88,17.49,2.93,2.5,0.7,-3.03,-1.43,2.39,0.49,2.07
"E07000168","Scarborough","E01027855","Scarborough005E","Scarborough 005E",0.53,-12.68,-14.29,3.54,5.7,4.02,-1.36,-10.09,-20.83,5.84,1.12,2.24,2.3,-15.63,-5.56,1.62,10.47,5.45
"E07000168","Scarborough","E01027856","Scarborough005F","Scarborough 005F",0.34,-2.75,-1.52,0.51,3.67,-0.17,2.06,0,8.82,-2.91,5.15,2.5,-1.09,-6.12,-12.5,4.35,2.48,-1.99
"E07000168","Scarborough","E01027805","Scarborough006A","Scarborough 006A",-4.84,-19.72,-12.98,4.66,-7.63,-0.6,-2.59,-25.22,-19.05,3.11,-1.58,12.77,-7.08,-13.27,-7.35,6.56,-13.68,-10.26
"E07000168","Scarborough","E01027806","Scarborough006B","Scarborough 006B",4.01,7.23,-6.81,8.13,9.65,-5.34,5.66,-8.51,-5.45,10.73,19.23,0,2.1,30.85,-8,4.42,0,-10.07
"E07000168","Scarborough","E01027846","Scarborough006C","Scarborough 006C",4.79,-5.06,1.28,12.25,10.6,-3.27,6.6,-3.74,5.31,15.44,9.19,-0.71,2.91,-6.51,-2.48,9.15,12.2,-5.97
"E07000168","Scarborough","E01027847","Scarborough006D","Scarborough 006D",1.08,2.25,-21.38,6.05,9.46,0.34,0.58,-9.45,-29.14,12.04,9.85,1.96,1.71,17.89,-9.57,-1.69,8.98,-1.38
"E07000168","Scarborough","E01027848","Scarborough006E","Scarborough 006E",-0.87,-2.5,11.96,-1.86,3.57,-7.63,3.92,-2.41,24.49,2.29,15.53,-8.4,-5.09,-2.6,-2.33,-5.8,-4.7,-6.99
"E07000168","Scarborough","E01027849","Scarborough007A","Scarborough 007A",2.42,-1.63,8.74,5.88,4.62,-1.44,4.36,0,13.33,11.11,8,-4.42,0.66,-3.13,2.33,0.78,1.48,0.84
"E07000168","Scarborough","E01027850","Scarborough007B","Scarborough 007B",3.18,2.56,8.7,7.98,-1.16,-1.77,5.95,10.87,-2.63,8.29,-2.92,12.61,0.57,-5.93,22.58,7.69,0.82,-11.11
"E07000168","Scarborough","E01027872","Scarborough007C","Scarborough 007C",6.39,5,12.22,18.13,-1.94,-1.05,6.04,-4.93,15.63,22.01,-0.72,-1.57,6.7,16.95,8.33,14.75,-2.91,-0.63
"E07000168","Scarborough","E01027874","Scarborough007D","Scarborough 007D",8.88,7.06,22.77,12.7,8.12,-11.17,13.1,2.57,25.21,26.4,20.75,-8.7,5.16,12.18,20,4.13,-2.34,-13.33
"E07000168","Scarborough","E01027810","Scarborough008A","Scarborough 008A",-0.3,-5.62,-5.26,5.31,1.2,0,1.66,-9.01,-13.58,13.28,10.26,11.27,-2.29,-1.6,5.69,-2.04,-6.72,-8.7
"E07000168","Scarborough","E01027811","Scarborough008B","Scarborough 008B",-2.87,-10.55,-10.08,5.48,-2.82,-2.69,1.02,2.11,-16.42,13.13,-7.03,1.3,-6.33,-21.15,-1.92,-0.62,1.67,-5.5
"E07000168","Scarborough","E01027812","Scarborough008C","Scarborough 008C",8.43,8.83,20.17,14.46,3.89,-11.54,12.67,2.66,17.43,23.76,16.43,-9.8,4.56,15.95,22.48,5.88,-8.39,-12.66
"E07000168","Scarborough","E01027851","Scarborough008D","Scarborough 008D",1.44,1.57,-4.32,4.17,4.59,-3.94,-0.29,-3.68,-5.88,6.28,3.77,-9.45,3.04,7.56,-3.19,2.41,5.36,1.57
"E07000168","Scarborough","E01027862","Scarborough008E","Scarborough 008E",-2.72,-13.18,-4.71,2.02,1.81,-5.01,-2.4,-17.27,-5.38,3.09,4.61,-3.38,-3.03,-8.4,-4.08,0.85,-0.56,-6.28
"E07000168","Scarborough","E01027824","Scarborough009A","Scarborough 009A",8.53,4.38,3.01,8.49,9.78,10.38,9.3,5.13,5.63,18.92,10.71,4.7,7.85,3.66,0,-0.59,8.95,15.03
"E07000168","Scarborough","E01027825","Scarborough009B","Scarborough 009B",1.52,2.67,12.8,7.84,-1.17,-20.63,4.65,-0.84,11.43,13.62,2.98,-13.27,-1.36,6.57,14.15,2.73,-5.2,-25.43
"E07000168","Scarborough","E01027826","Scarborough009C","Scarborough 009C",-3.6,-19.47,-10.84,3.92,1.05,0,-1.47,-17.2,-2.38,1.12,4.29,9.09,-5.7,-21.92,-19.51,7.02,-2.04,-6.57
