"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E06000008","Blackburn with Darwen","E01012607","BlackburnwithDarwen001A","Blackburn with Darwen 001A",8.26,18.8,2.4,15.91,4.15,-1.89,13.93,17.88,9.59,24.75,10.61,1.83,2.81,20,-3.19,7.07,-2.26,-4.83
"E06000008","Blackburn with Darwen","E01012608","BlackburnwithDarwen001B","Blackburn with Darwen 001B",0.51,-1.87,-16.19,10.9,-3.17,-1.33,2.49,-0.95,-17.01,17.05,-2.14,-3.3,-1.34,-2.75,-15.27,5.24,-4.17,0
"E06000008","Blackburn with Darwen","E01012633","BlackburnwithDarwen001C","Blackburn with Darwen 001C",-0.18,-8.77,-4.17,6.44,3.81,-3.08,0.84,-10.42,-7.32,11.98,7.84,-5,-1.22,-6.67,-1.16,1.18,0,-1.21
"E06000008","Blackburn with Darwen","E01012634","BlackburnwithDarwen001D","Blackburn with Darwen 001D",4.55,3.49,-2.9,13.26,0.39,-2.79,4.36,1.84,4.23,11.59,0,-1.77,4.75,5.26,-10.45,14.98,0.79,-3.92
"E06000008","Blackburn with Darwen","E01012635","BlackburnwithDarwen001E","Blackburn with Darwen 001E",5.51,4.5,4.95,7.3,17.89,-6.12,6.68,5.7,0.85,8.75,28.16,-7.04,4.33,3.38,9.62,5.82,8.7,-5.15
"E06000008","Blackburn with Darwen","E01012636","BlackburnwithDarwen001F","Blackburn with Darwen 001F",-0.67,-14.71,-2.1,-1.24,4.15,3.6,-4.58,-13.46,-5.41,-10.18,5.07,0,3.25,-16,1.45,10.23,3.31,6.58
"E06000008","Blackburn with Darwen","E01012581","BlackburnwithDarwen002A","Blackburn with Darwen 002A",-0.32,-2.83,-16.51,8.22,-3.31,0.37,1.13,-6.99,-24.14,17.37,-0.86,2.24,-1.72,1.43,-7.84,0,-5.56,-1.45
"E06000008","Blackburn with Darwen","E01012582","BlackburnwithDarwen002B","Blackburn with Darwen 002B",1.73,2.91,-8.17,7.77,2.17,-4.58,1.24,-1.73,-8.85,6.85,5.16,-1.67,2.23,7.6,-7.37,8.66,-0.6,-7.5
"E06000008","Blackburn with Darwen","E01012583","BlackburnwithDarwen002C","Blackburn with Darwen 002C",-0.23,-3.15,0.54,6.19,-3.34,-3.96,-0.24,-2.2,-4.85,9.62,-3.31,-6.25,-0.23,-4.19,7.41,3.05,-3.38,-1.97
"E06000008","Blackburn with Darwen","E01012587","BlackburnwithDarwen002D","Blackburn with Darwen 002D",6.21,1.36,9.7,13.81,2.85,-4.47,10.76,3.97,17.46,18.99,10.79,-5.61,1.86,-1.39,2.82,8.74,-4.93,-3.6
"E06000008","Blackburn with Darwen","E01012588","BlackburnwithDarwen002E","Blackburn with Darwen 002E",5.89,3.77,1.63,12.37,0.44,-0.6,11.26,5.69,7.48,18.7,1.72,20.31,0.93,1.93,-3.75,6.39,-0.88,-13.73
"E06000008","Blackburn with Darwen","E01012574","BlackburnwithDarwen003A","Blackburn with Darwen 003A",7.79,8.57,4.81,9.29,12.77,1.69,9.31,6.18,0,11.58,22.58,5.45,6.27,11.05,11.11,7.31,1.8,-1.59
"E06000008","Blackburn with Darwen","E01012577","BlackburnwithDarwen003B","Blackburn with Darwen 003B",10.88,11.28,10.26,13.08,13.27,-4.92,12.04,12.8,6.35,20,18.95,-19.18,9.73,9.89,15.13,6.86,7.92,16.33
"E06000008","Blackburn with Darwen","E01012578","BlackburnwithDarwen003C","Blackburn with Darwen 003C",11.61,9.6,8.57,14.2,17.01,2.36,16.58,14.72,10.65,18.6,27.35,8.82,6.78,5.2,6.16,10,7.26,-5.08
"E06000008","Blackburn with Darwen","E01012605","BlackburnwithDarwen003D","Blackburn with Darwen 003D",3.3,2.14,-0.85,5.53,-0.39,11.46,1.75,0.58,-10.81,7.43,2.14,6.76,4.88,3.86,10.12,3.81,-3.39,15.66
"E06000008","Blackburn with Darwen","E01012606","BlackburnwithDarwen003E","Blackburn with Darwen 003E",3.87,1.21,9.88,8.75,2.48,-17.04,5.98,5.45,9.92,5.81,7.77,-1.47,1.6,-3.38,9.82,11.82,-3.03,-32.84
"E06000008","Blackburn with Darwen","E01012579","BlackburnwithDarwen004A","Blackburn with Darwen 004A",6.56,-1.73,18.45,11.96,0.4,-3.08,12.07,0,23.85,19.93,6.67,3.51,1.34,-3.46,13.48,4.36,-5.47,-8.22
"E06000008","Blackburn with Darwen","E01012580","BlackburnwithDarwen004B","Blackburn with Darwen 004B",9.75,10.4,7.23,13.94,6.08,-0.61,10.72,9.89,1.03,18.43,12.21,-2.27,8.78,10.88,15.23,9.41,1.21,1.3
"E06000008","Blackburn with Darwen","E01012642","BlackburnwithDarwen004C","Blackburn with Darwen 004C",3.58,3.71,-7.12,9.62,1.78,5.7,1.08,4,-21.4,11.91,1.79,13.21,6.17,3.43,15.44,7.21,1.77,1.9
"E06000008","Blackburn with Darwen","E01012645","BlackburnwithDarwen004D","Blackburn with Darwen 004D",6.17,5.59,12.02,9.15,6,-10.24,10.44,9.65,21.37,13.1,13.79,-16.3,2.22,1.8,4.26,5.15,-0.75,-5.31
"E06000008","Blackburn with Darwen","E01012585","BlackburnwithDarwen005A","Blackburn with Darwen 005A",6.89,4.59,10.36,15.57,1.63,-5.04,9.1,13.92,10.17,15.19,3.08,-9.09,4.71,-4.55,10.58,15.97,0,-2.38
"E06000008","Blackburn with Darwen","E01012586","BlackburnwithDarwen005B","Blackburn with Darwen 005B",11.91,2.88,22.63,15.96,14.35,3.87,14.35,2.96,29.63,18.1,18.8,-1.32,9.04,2.82,13.41,13.1,8.65,8.86
"E06000008","Blackburn with Darwen","E01012656","BlackburnwithDarwen005C","Blackburn with Darwen 005C",10.8,11.48,14.88,16.11,-2.85,2.04,15.12,10.78,18.6,24.62,0.81,2.78,6.41,12.11,10.62,7.14,-6.5,1.33
"E06000008","Blackburn with Darwen","E01012657","BlackburnwithDarwen005D","Blackburn with Darwen 005D",7.54,11.31,7.77,6.85,1.57,6.57,7.33,9.9,3.31,6.27,6.47,13.64,7.78,12.82,12.88,7.52,-4.31,0
"E06000008","Blackburn with Darwen","E01012658","BlackburnwithDarwen005E","Blackburn with Darwen 005E",4.3,1.88,-4.89,7.36,12.06,0.79,5.17,1.86,-5,8.5,14.89,0,3.35,1.9,-4.76,6.02,8.62,1.48
"E06000008","Blackburn with Darwen","E01012629","BlackburnwithDarwen006A","Blackburn with Darwen 006A",6.57,1.57,-10.96,12.68,15.12,0,11,0,-10.53,19.39,17.71,15.15,1.68,3.05,-11.43,4.29,11.84,-10.42
"E06000008","Blackburn with Darwen","E01012631","BlackburnwithDarwen006B","Blackburn with Darwen 006B",2.48,8.72,-2.6,0.21,0.86,4.62,1.91,6.29,-13.68,3.85,-3.01,16,3.08,10.97,15.25,-3.35,6.06,-4.08
"E06000008","Blackburn with Darwen","E01012643","BlackburnwithDarwen006C","Blackburn with Darwen 006C",8.97,14.96,22.92,5.77,4.4,-1.2,8.49,16.76,19.19,4.31,0.75,7.04,9.49,13.1,26.88,7.58,8.55,-7.29
"E06000008","Blackburn with Darwen","E01012644","BlackburnwithDarwen006D","Blackburn with Darwen 006D",10.3,9.37,-7.84,16.04,16.57,14.72,11.33,11.31,-10.67,20.48,15.93,10.58,9.19,7.47,-4.59,11.11,17.22,19.35
"E06000008","Blackburn with Darwen","E01012655","BlackburnwithDarwen006E","Blackburn with Darwen 006E",15.2,11.14,13.01,20.2,16.15,9.49,16.88,2.71,16.34,24.4,20.9,11.76,13.05,21.84,8.62,14.08,8.77,7.74
"E06000008","Blackburn with Darwen","E01012571","BlackburnwithDarwen007A","Blackburn with Darwen 007A",7.23,4.23,13.88,7.99,7.96,-1.04,8.31,9.5,4.76,9.8,3.51,21.43,6.11,-0.4,27.55,6.07,13.79,-10.29
"E06000008","Blackburn with Darwen","E01012572","BlackburnwithDarwen007B","Blackburn with Darwen 007B",7.09,6.67,8.61,7.88,8.08,1.9,4.62,2.53,7.76,0.35,16.13,7.46,9.54,10.94,9.38,16.47,0.95,-2.2
"E06000008","Blackburn with Darwen","E01012573","BlackburnwithDarwen007C","Blackburn with Darwen 007C",8.53,6.28,6.91,7.06,14,22.45,9.37,2.34,5.56,8.46,28.74,36.11,7.67,10.81,8.4,5.56,2.65,14.52
"E06000008","Blackburn with Darwen","E01012575","BlackburnwithDarwen007D","Blackburn with Darwen 007D",10.32,5.51,10.53,12.28,10.28,12.72,10.47,6.25,2.6,16,6.31,17.11,10.17,4.76,18.67,8.54,14.56,9.28
"E06000008","Blackburn with Darwen","E01012630","BlackburnwithDarwen007E","Blackburn with Darwen 007E",8.63,12.03,7.13,12.2,0.77,-9.85,11.73,23.03,0.43,14.83,3.82,-8.2,5.36,0.95,16,9.51,-2.31,-11.27
"E06000008","Blackburn with Darwen","E01012576","BlackburnwithDarwen008A","Blackburn with Darwen 008A",1.78,0.81,-23.71,18.16,6.1,-0.91,-4.29,-11.63,-36.27,23.21,12.03,-9.09,9.59,17.83,1.02,13.06,-0.88,9.18
"E06000008","Blackburn with Darwen","E01012637","BlackburnwithDarwen008B","Blackburn with Darwen 008B",9.48,4.06,10.28,17.61,10.33,-4.73,14.34,10.84,8.93,25.63,14.88,-5.56,5.08,-2.31,11.76,11.03,5.79,-4.12
"E06000008","Blackburn with Darwen","E01012638","BlackburnwithDarwen008C","Blackburn with Darwen 008C",10.93,3.37,38.55,17.55,2.48,-6.7,13.14,0.96,36.47,28.57,6.08,-13.13,8.7,5.83,40.43,7.22,-1.49,1.25
"E06000008","Blackburn with Darwen","E01012639","BlackburnwithDarwen008D","Blackburn with Darwen 008D",11,11.84,18.14,11.62,5.45,5.08,11.03,12.03,7.08,14.16,7.5,6.38,10.97,11.65,29.2,9.01,3.65,3.61
"E06000008","Blackburn with Darwen","E01012640","BlackburnwithDarwen008E","Blackburn with Darwen 008E",12.84,11.57,22.81,14.63,11.62,4.07,17.78,12.96,34.62,20.35,18.75,5.66,7.73,10.19,12.9,7.93,4.29,2.61
"E06000008","Blackburn with Darwen","E01012641","BlackburnwithDarwen008F","Blackburn with Darwen 008F",7.68,9.65,7.6,9.11,3.86,0,12.37,16.78,15.65,10.32,2.97,10.29,3.57,2.91,1.35,8.05,4.72,-7.45
"E06000008","Blackburn with Darwen","E01012595","BlackburnwithDarwen009A","Blackburn with Darwen 009A",1.59,0.83,0.32,6.2,5.74,-12.97,2.55,0.81,-1.94,7.06,12.5,-14.39,0.63,0.85,2.52,5.34,-1.39,-11.8
"E06000008","Blackburn with Darwen","E01012596","BlackburnwithDarwen009B","Blackburn with Darwen 009B",5.01,8.44,-1.8,6.67,4.73,1.57,10.62,12.63,7.35,8.42,15.11,13.95,-0.52,4.39,-10.56,4.75,-4.46,-8.57
