"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E06000041","Wokingham","E01016675","Wokingham001A","Wokingham 001A",-5.72,-19.72,-4.55,-6.97,3.23,-4.7,-8.88,-19.7,-20.37,-10.07,-3.23,-2.96,-2.53,-19.74,20.59,-4.05,11.83,-6.13
"E06000041","Wokingham","E01016676","Wokingham001B","Wokingham 001B",4.16,-3.16,17.29,12.02,-3.7,4.12,4.57,-10.29,12.12,19.11,-0.57,5.32,3.78,5.13,22.39,6.7,-6.82,3.11
"E06000041","Wokingham","E01016677","Wokingham001C","Wokingham 001C",3.53,5.24,17.89,14.41,-3.75,-9.7,3.91,5.71,5.41,17.7,-2.48,-10.84,3.16,4.79,36.73,11.21,-5.03,-8.78
"E06000041","Wokingham","E01016678","Wokingham001D","Wokingham 001D",4.65,0,26.67,3.92,6.64,-0.63,5.58,7.96,5.19,4.67,14.4,-2.07,3.7,-6.92,65.12,3.07,-0.76,0.58
"E06000041","Wokingham","E01016619","Wokingham002A","Wokingham 002A",-1.26,-3.83,0.64,-2.58,7.48,-6.27,2.07,-1.57,9.41,-4.4,16.33,0,-4.47,-6.29,-9.72,-0.74,0,-11.25
"E06000041","Wokingham","E01016620","Wokingham002B","Wokingham 002B",2.68,-0.59,2.01,11.04,-1.46,-2.87,2.97,3.87,-3.95,10.7,0.58,-6.32,2.39,-5.7,8.22,11.34,-3.55,0
"E06000041","Wokingham","E01016692","Wokingham002C","Wokingham 002C",2.45,-1.12,34.83,3.94,-1.49,-1.93,3.35,0.75,29.31,3.61,0,-2.03,1.59,-2.96,45.16,4.29,-2.86,-1.87
"E06000041","Wokingham","E01016693","Wokingham002D","Wokingham 002D",2.85,6.88,-1.16,5.19,-1.64,-1.63,2.59,0.69,-6.38,7.92,1.77,-4.6,3.11,15.69,5.13,2.55,-4.58,1.03
"E06000041","Wokingham","E01016694","Wokingham002E","Wokingham 002E",-0.39,-8.46,-3.03,7.23,-0.48,-4.1,1.94,-9.32,8.16,8.37,1.77,0.73,-2.43,-7.59,-14,6.21,-3.16,-6.99
"E06000041","Wokingham","E01016695","Wokingham002F","Wokingham 002F",-0.12,-4.4,0.76,-1.94,2.56,4.93,0.24,-2.02,-2.9,3.32,1.94,-1.94,-0.49,-7.23,4.84,-6.57,3.16,12.08
"E06000041","Wokingham","E01016621","Wokingham003A","Wokingham 003A",3.62,8.28,-9.32,10.24,-3.64,1.63,2.38,1.58,-14.12,15.72,-4.26,-2.68,4.85,18.55,-3.95,5.58,-3.11,5.26
"E06000041","Wokingham","E01016623","Wokingham003B","Wokingham 003B",4.08,2.71,12.12,15.48,1.65,-8.36,9.91,20.66,31.15,14.95,8.28,-10.3,-1.02,-13.14,-4.23,15.96,-4.43,-6.8
"E06000041","Wokingham","E01016624","Wokingham003C","Wokingham 003C",2.03,-2.78,7.48,10,-4.35,0.59,1.69,-10.53,3.85,21.14,-7.98,-0.62,2.35,5.88,11.59,0,-0.63,1.67
"E06000041","Wokingham","E01016684","Wokingham003D","Wokingham 003D",-1.49,-6.55,-2.22,0.81,0,-1.76,-2.03,-8.39,-6.48,1.29,2.06,-3.11,-0.95,-4.76,4.17,0.38,-2.25,-0.56
"E06000041","Wokingham","E01016685","Wokingham003E","Wokingham 003E",-0.41,-3.37,-1.43,5.57,-0.79,-4.11,2.87,-5.41,1.22,13.91,-1.55,1.09,-3.51,-1.34,-5.17,-2.53,0,-7.84
"E06000041","Wokingham","E01016622","Wokingham004A","Wokingham 004A",-2.84,-10.65,-9.87,2.58,-3.02,0.35,0.5,-1.08,-13.25,10.76,-4.51,2.96,-5.85,-17.89,-5.8,-4.19,-1.52,-1.97
"E06000041","Wokingham","E01016657","Wokingham004B","Wokingham 004B",0.76,-10.93,9.24,5.61,1.4,4.81,2.88,-15.43,21.43,14.48,6.06,-3.09,-1.21,-6.18,-1.59,-1.92,-2.61,13.33
"E06000041","Wokingham","E01016658","Wokingham004C","Wokingham 004C",6.02,-1.67,19.39,9.84,1.65,3.67,4.83,-5.06,22.62,11.67,-1.04,0,7.29,3.28,16.05,8.21,4.68,6.9
"E06000041","Wokingham","E01016659","Wokingham004D","Wokingham 004D",1.41,0.77,3.21,4.4,-2.56,-1.17,0.29,-2.31,-12.05,2.72,5.84,-1.49,2.46,3.85,20.55,6.02,-10.69,-0.96
"E06000041","Wokingham","E01016660","Wokingham004E","Wokingham 004E",0.55,-5.19,7.43,-0.52,4.2,1.41,0.36,-0.56,-3.16,-1.04,3.39,3.85,0.74,-10,20,0,5.13,-0.92
"E06000041","Wokingham","E01016615","Wokingham005A","Wokingham 005A",2.13,-0.96,18.25,3.72,2.69,-3.94,2.89,-5.75,5.19,11.86,5.47,-4.79,1.4,5.07,35,-4.03,0,-3.35
