"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"W06000006","Wrexham","W01000374","Wrexham003A","Wrexham 003A",-0.34,-9.19,8.81,4.19,3.72,-6.75,-1.76,-16.67,0,7.05,11.82,-10,1.12,1.82,20,1.33,-3.03,-3.98
"W06000006","Wrexham","W01000375","Wrexham003B","Wrexham 003B",-4.66,-0.42,-11.65,-6.33,-5.38,3.52,-7.3,-1.34,-11.11,-12.03,-3.52,-1.12,-2.16,0.39,-12.21,-0.67,-7.14,7.27
"W06000006","Wrexham","W01000376","Wrexham003C","Wrexham 003C",-0.07,-3.85,1.61,0.46,5.56,-3.28,-0.14,-0.69,0,-0.89,6.3,-4.05,0,-7.76,3.51,1.92,4.9,-2.55
"W06000006","Wrexham","W01000391","Wrexham003D","Wrexham 003D",-0.7,-4.82,2.46,8.78,-4.36,-6.88,1.56,9,-4,16.84,-5.88,-10.61,-2.9,-14.09,12.77,1.4,-2.76,-2.94
"W06000006","Wrexham","W01000392","Wrexham003E","Wrexham 003E",3.39,5.37,4.76,3.21,4.32,-1.65,5.48,10.63,7.69,4.41,7.1,-5.26,1.3,-0.54,2.04,2.08,1.37,1.56
"W06000006","Wrexham","W01000377","Wrexham004A","Wrexham 004A",-1.17,-1.48,1.95,-0.37,-0.95,-4.51,-1.55,-2.07,17.46,-4.09,-1.84,-4.55,-0.78,-0.79,-8.79,3.37,0,-4.48
"W06000006","Wrexham","W01000378","Wrexham004B","Wrexham 004B",-3.07,-8.47,-0.56,5.7,-6.67,-12.3,-1.2,-6.21,-5.56,15.15,-6.96,-15.73,-4.77,-10.73,4.44,-1.55,-6.36,-9.18
"W06000006","Wrexham","W01000379","Wrexham004C","Wrexham 004C",-5.11,-8.72,0.99,-4.38,-5,-6.77,-5.75,-9.2,1.01,-7.53,-2.74,-5.23,-4.41,-8.16,0.96,-0.38,-7.14,-8.14
"W06000006","Wrexham","W01000380","Wrexham004D","Wrexham 004D",-2.66,7.94,2.59,-1.72,-5.18,-9.15,-2.86,14.74,-1.56,-4.76,2.41,-15.17,-2.47,1.06,7.69,1.29,-11.44,-2
"W06000006","Wrexham","W01000351","Wrexham005A","Wrexham 005A",-5.21,-4.53,-1.54,-5.31,-3.14,-10.62,-2.65,-5.78,9.92,-5.47,0.47,-4.86,-7.72,-3.09,-11.51,-5.15,-6.49,-15.92
"W06000006","Wrexham","W01000373","Wrexham005B","Wrexham 005B",0.06,-10.12,5.26,6.04,3.91,-6.05,-0.23,-13.85,0.81,11.15,2.14,-8.21,0.32,-6.82,10.48,1.53,5.67,-4.08
"W06000006","Wrexham","W01000400","Wrexham005C","Wrexham 005C",-2.74,-3.42,-10.31,-6.83,3.26,7.53,-6.31,-7.69,-15.69,-7.63,3.95,-5.07,0.58,1,-5.79,-6.05,2.7,18.83
"W06000006","Wrexham","W01000401","Wrexham005D","Wrexham 005D",4.23,-0.54,-7.94,13.03,3.31,1.48,4.66,3.43,-15.04,15.88,7.41,-4.55,3.82,-5.39,0,10.38,0,7.25
"W06000006","Wrexham","W01000347","Wrexham006A","Wrexham 006A",-6.73,0.48,-12.37,-12.68,0.5,1.91,-9.6,1.2,-19.46,-17.47,0,1.67,-3.6,-0.35,-4.93,-7.38,1.1,2.11
"W06000006","Wrexham","W01000348","Wrexham006B","Wrexham 006B",7.66,5.78,11.54,14.25,3.4,-1.88,8.02,3.35,-1.35,21.66,9.65,-7.84,7.32,8.67,23.17,7.72,-2.48,3.6
"W06000006","Wrexham","W01000362","Wrexham006C","Wrexham 006C",1.32,2.48,-0.91,4.13,0,-3.41,3.13,2.12,-2.61,10.13,3.57,-5.15,-0.36,2.87,0.96,-0.71,-3.14,-1.85
"W06000006","Wrexham","W01000363","Wrexham006D","Wrexham 006D",-3.72,-9.8,-16.97,1.26,-0.31,-3.01,-3.73,-13.48,-18.82,8.09,-5.59,-2.58,-3.71,-5.26,-15,-5.39,4.91,-3.32
"W06000006","Wrexham","W01000364","Wrexham006E","Wrexham 006E",-1.26,-5.9,-1.06,6.35,-4.27,-5.17,-1.63,-5.11,-10.62,12.16,-4.05,-10.38,-0.86,-6.72,13.16,0,-4.46,0.61
"W06000006","Wrexham","W01000343","Wrexham007A","Wrexham 007A",0.57,-5.84,3.61,1.59,3.85,-0.27,0.58,-13.75,2.33,5.38,0.99,3.07,0.56,5.26,5,-2.46,6.54,-2.86
"W06000006","Wrexham","W01000344","Wrexham007B","Wrexham 007B",7.16,0.64,6.45,11.36,12.16,3.92,10.75,8.97,10.71,15.69,9.23,8.63,3.81,-7.69,0,7.1,15.2,0.38
"W06000006","Wrexham","W01000415","Wrexham007C","Wrexham 007C",0.41,16.86,-12.16,11.39,-9.73,-3.02,1.27,13.95,-16.84,14.69,-5.56,-2.12,-0.4,19.77,-3.77,8.2,-13.56,-3.72
"W06000006","Wrexham","W01000416","Wrexham007D","Wrexham 007D",-0.32,-11.62,-5.88,1.61,1.48,7.73,-0.64,-7.37,-3.8,4.4,-0.61,-0.92,0,-15.53,-8.77,-1.05,3.45,17.35
"W06000006","Wrexham","W01000368","Wrexham008A","Wrexham 008A",-1.53,-0.61,-4.89,0.57,2.11,-5.22,-0.49,4.73,-3.77,4.26,1.36,-7.53,-2.52,-6.29,-6.41,-2.42,2.91,-3.24
