"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000004","Aylesbury Vale","E01017648","AylesburyVale001A","Aylesbury Vale 001A",5.29,10.19,11.29,7.78,0.22,1,5.4,-0.69,10.78,9.87,0.92,7.25,5.19,23.14,11.9,5.65,-0.43,-4.32
"E07000004","Aylesbury Vale","E01017649","AylesburyVale001B","Aylesbury Vale 001B",-8.42,-2.44,-41.35,-2.34,4.58,1.65,-8.06,-3.89,-40.72,-0.35,3.74,3.31,-8.76,-0.68,-41.96,-4.18,5.47,0.47
"E07000004","Aylesbury Vale","E01017650","AylesburyVale001C","Aylesbury Vale 001C",2.02,-1.18,3.65,5.5,-1.54,2.27,5.16,-1.3,-9.26,15.69,6.56,0.8,-0.85,-1.07,18.71,-2.69,-8.7,3.6
"E07000004","Aylesbury Vale","E01032960","AylesburyVale001F","Aylesbury Vale 001F",-27.7,-33.67,-69.29,-6.13,-4,-2.14,-25.04,-29.32,-68.1,-2.75,2.93,-0.43,-30.26,-38.77,-70.46,-9.3,-10.2,-3.56
"E07000004","Aylesbury Vale","E01017644","AylesburyVale002A","Aylesbury Vale 002A",2.73,-6.64,4.85,9.11,-1.15,4.76,5.97,-5.71,2.13,15.25,2.91,10.26,-0.4,-7.63,8.45,3.49,-5.11,0.9
"E07000004","Aylesbury Vale","E01017645","AylesburyVale002B","Aylesbury Vale 002B",20.29,27.33,18.39,36.9,7.51,-3.74,16.96,12.09,3.37,39.09,11.49,1.52,23.94,50.85,40.5,34.46,3.49,-6.61
"E07000004","Aylesbury Vale","E01017646","AylesburyVale002C","Aylesbury Vale 002C",-0.88,0.21,-6.48,2.17,-5.13,-0.97,0.46,-6.04,-13.19,13.14,-1.78,-1.81,-2.11,7.69,2.91,-6.68,-8.24,-0.41
"E07000004","Aylesbury Vale","E01017647","AylesburyVale002D","Aylesbury Vale 002D",8.42,6.69,22.3,20.37,-0.8,3.27,7.23,17.35,-1.15,21.6,-1.12,1.55,9.53,-0.71,55.74,19.14,-0.51,4.9
"E07000004","Aylesbury Vale","E01017671","AylesburyVale003A","Aylesbury Vale 003A",-3.41,-11.04,-2.5,-1.71,-0.69,-2.86,-4.14,-8,-17.82,0.93,-0.89,-3.23,-2.66,-14.09,23.73,-3.97,-0.48,-2.5
"E07000004","Aylesbury Vale","E01017672","AylesburyVale003B","Aylesbury Vale 003B",4.76,5.68,-4.02,1.33,7.82,11.58,4.8,11.3,-6,-3.39,13.41,9.93,4.71,0,-1.35,6.48,2.23,13.56
"E07000004","Aylesbury Vale","E01017695","AylesburyVale003C","Aylesbury Vale 003C",-1.31,-7.34,24.36,-7.69,6.32,-4.32,0.34,-1.2,16.28,-11.11,10.71,-1.23,-2.81,-12.77,34.29,-4.4,2.07,-6.76
"E07000004","Aylesbury Vale","E01017696","AylesburyVale003D","Aylesbury Vale 003D",-1,-2.94,-7.25,1.01,0,-0.36,-2.75,-9.23,-13.95,3.05,1.16,-2.84,0.9,4.63,3.85,-1,-1.16,2.21
"E07000004","Aylesbury Vale","E01017693","AylesburyVale004A","Aylesbury Vale 004A",-0.77,-4.98,-4.67,-2.18,-0.75,8.37,2.12,-5.79,6.52,1.81,0,13.83,-3.51,-4,-13.11,-5.47,-1.57,3.67
"E07000004","Aylesbury Vale","E01017694","AylesburyVale004B","Aylesbury Vale 004B",-4.36,-7.32,4.47,-4.08,-2.27,-8.64,-3.68,-7.69,1.63,1.06,-5.36,-7.49,-5.02,-6.92,7.32,-8.32,1.21,-9.63
"E07000004","Aylesbury Vale","E01017713","AylesburyVale004C","Aylesbury Vale 004C",1.77,-5.42,12.4,3.69,1.27,1.16,2.17,-12.67,4.94,9.17,5.73,0.83,1.37,3.15,25,-1.16,-3.18,1.46
