"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000174","Mansfield","E01028224","Mansfield001A","Mansfield 001A",3.23,12.87,0.81,10.79,-7.05,1.31,6.35,21.52,1.75,11.11,-4.41,5.05,0.41,5.43,0,10.47,-9.26,-2.08
"E07000174","Mansfield","E01028257","Mansfield001B","Mansfield 001B",5.2,-0.27,13.16,9.49,1.64,2.56,4.62,-4.47,10.91,9.36,0.71,8.6,5.76,3.63,16.25,9.62,2.44,-2.94
"E07000174","Mansfield","E01028258","Mansfield001C","Mansfield 001C",5.58,13.48,-7.5,10.82,1.74,4,5.22,9.73,-12.36,13.11,4.09,3.19,5.93,17.09,-1.41,8.68,-0.57,4.72
"E07000174","Mansfield","E01028259","Mansfield001D","Mansfield 001D",3.58,8.36,6.45,0.33,5.48,-2.11,4.68,10.42,18.09,-1.58,7.45,-4.4,2.48,6.28,-2.44,2.46,3.36,0
"E07000174","Mansfield","E01028223","Mansfield002A","Mansfield 002A",1.5,0.92,8.03,1.83,-0.4,-0.46,1.99,-8.85,0,10.29,-2.44,4.49,1.06,11.43,17.74,-5.56,1.54,-3.85
"E07000174","Mansfield","E01028225","Mansfield002B","Mansfield 002B",2.87,-7.12,19.16,9.98,5.21,-7.78,4.58,-5.33,38.71,15.35,3.21,-10.98,1.31,-9.16,7.62,5.24,7.3,-5.1
"E07000174","Mansfield","E01028226","Mansfield002C","Mansfield 002C",0.45,-1.74,5.38,4.03,-6.04,-2.65,3.23,-2.09,5.36,11.24,-6.35,2.27,-2.27,-1.31,5.41,-2.43,-5.76,-6.93
"E07000174","Mansfield","E01028260","Mansfield002D","Mansfield 002D",2.31,0.46,-0.61,10.02,-0.91,-0.22,2.17,1.02,-4.35,9.01,-0.96,1.02,2.44,0,4.11,11.11,-0.86,-1.14
"E07000174","Mansfield","E01028251","Mansfield003A","Mansfield 003A",1.35,0.87,-13.64,6.39,5.85,-2.08,1.55,4.72,-18.1,11.96,4.76,-4.85,1.15,-2.4,-7.04,1.31,6.95,0.58
"E07000174","Mansfield","E01028252","Mansfield003B","Mansfield 003B",4.17,16.77,2.37,4.98,0.5,-3.05,5.98,18.34,8.57,2.04,2.6,2.52,2.46,14.97,-3.77,7.79,-1.42,-7.43
"E07000174","Mansfield","E01028253","Mansfield003C","Mansfield 003C",1.04,-4.18,-4.7,7.42,-0.85,1.37,3.19,-11.03,4.11,18.82,-4.28,4.98,-0.94,3.15,-13.16,-1.22,3.03,-1.69
"E07000174","Mansfield","E01028277","Mansfield003D","Mansfield 003D",-2.88,-16,-1.98,-3.24,4.78,-3.94,-6.22,-14.52,-10.17,-9.59,3.7,-6.74,0.51,-17.46,9.52,3.79,5.84,-1.41
