"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000113","Swale","E01024609","Swale001A","Swale 001A",5.59,8.14,-3.08,13.53,-2.9,2.07,7,3.57,-6.9,22.82,-2.31,3.03,4.2,13.67,0,5.22,-3.6,1.27
"E07000113","Swale","E01024610","Swale001B","Swale 001B",-2.71,-1.08,2.31,1.35,-8.88,-16.58,-3.19,-4.05,3.48,3.13,-7.89,-19.8,-2.26,1.67,1.38,-0.33,-9.87,-12.79
"E07000113","Swale","E01024611","Swale001C","Swale 001C",-2.32,-8.9,-17.65,5.62,8.94,3.45,-1.34,-8.82,-19.4,8.87,16.38,-5.36,-3.29,-8.98,-16.13,2.79,1.68,11.67
"E07000113","Swale","E01024612","Swale001D","Swale 001D",-0.3,-3.12,-1.76,2.49,-4.84,6.13,1.72,-6.16,-6.45,15.79,-5.3,6.86,-2.26,0.57,3.88,-7.82,-4.4,5.45
"E07000113","Swale","E01024613","Swale002A","Swale 002A",3.26,-2.01,-3.7,13.04,-3.25,6.1,4.67,-1.61,-16.15,23.53,-8.86,23.46,1.81,-2.45,10.62,2.86,4.2,-4.55
"E07000113","Swale","E01024614","Swale002B","Swale 002B",-0.99,-7.57,10.73,1.31,-0.36,-4.47,1.36,-7.23,10.87,5.26,6.45,-2.75,-3.1,-7.94,10.62,-2.08,-6,-5.84
"E07000113","Swale","E01024615","Swale002C","Swale 002C",-0.13,-12.4,12.09,8.11,-4.91,0.83,4.33,-13.61,24.18,12.8,4.46,2.65,-4.36,-11.11,0,3.86,-13.61,-0.78
"E07000113","Swale","E01024616","Swale002D","Swale 002D",2.13,-2.38,2.16,5.68,6.16,-1.82,2.75,-3.63,-9.84,17.26,2.01,0,1.55,-1.08,15.6,-3.51,10.49,-3.28
"E07000113","Swale","E01024585","Swale003A","Swale 003A",5,2.29,5.79,9.22,6.8,0.29,7.59,-1.74,3.09,19.87,11.8,0.64,2.59,6.8,8.6,0.99,1.35,0
"E07000113","Swale","E01024587","Swale003B","Swale 003B",-7.75,0.5,-8,-1.55,-12.97,-11.33,-6.11,0,-13.58,0.52,-8.13,-10.04,-9.35,1.06,-1.45,-3.63,-17.67,-12.41
"E07000113","Swale","E01024588","Swale003C","Swale 003C",2.41,1.6,2.13,6.28,4.2,-2,0.64,5.38,-10.81,7.08,0.56,-3.6,4.26,-2.11,16.42,5.38,7.91,-0.44
"E07000113","Swale","E01024589","Swale003D","Swale 003D",-1.96,-11.74,-10.99,10.42,-2.96,-3.19,0.24,-14.41,-14.71,16.23,1.56,-0.44,-4.05,-8.82,-6.25,4.66,-7.04,-5.43
"E07000113","Swale","E01024595","Swale004A","Swale 004A",1.02,-5.86,11.31,2.16,-2.48,2.77,0.13,-0.8,3.45,6.19,-6.51,-2.61,1.85,-10.69,19.75,-1.69,1.96,6.73
"E07000113","Swale","E01024598","Swale004B","Swale 004B",-2.36,-4.1,7.29,1.94,-6.34,-10.15,-4.92,-6.51,0,0.41,-7.46,-12.88,0.38,-1.35,16.28,3.35,-4.94,-7.46
"E07000113","Swale","E01024619","Swale004D","Swale 004D",2.68,-7.55,5.23,6.48,5.45,1.07,4.4,-2.94,6.32,7.25,5.73,3.16,1.07,-11.82,3.9,5.7,5.16,-0.46
"E07000113","Swale","E01024621","Swale004E","Swale 004E",3.81,-3.15,1.03,14.17,-2.48,4.91,2.38,-11.8,-4.42,24,-3.28,8.33,5.12,8,8.64,7.37,-1.67,2.86
"E07000113","Swale","E01032653","Swale004F","Swale 004F",1.71,-0.68,15.82,9.74,-9.3,-2.84,1.69,-8.24,17.33,14.42,-6.17,-3.92,1.73,9.6,14.46,5.91,-12.09,-1.83
"E07000113","Swale","E01032654","Swale004G","Swale 004G",-3.99,1.22,-10.42,-5.43,-3.04,-3.24,-4.97,3.37,-10.71,-9.87,-7.08,13.1,-2.99,-1.14,-10.14,-0.81,1.49,-16.83
"E07000113","Swale","E01024594","Swale005A","Swale 005A",0.76,4.02,0.67,8.55,-2.76,-4.13,4.17,7.55,3.9,15.53,-3.16,-1.04,-2.39,0,-2.78,2.25,-2.38,-6.58
"E07000113","Swale","E01024596","Swale005B","Swale 005B",1.35,-1.68,2.5,7.16,-2.38,-1.31,2.49,-1.6,2.06,16.74,-5.7,-2.78,0.23,-1.76,2.91,-0.35,2.1,0
"E07000113","Swale","E01024597","Swale005C","Swale 005C",4.14,-1.77,22.61,15.68,-3.4,-10.34,4.47,0.98,13.04,17.13,0,-12.95,3.81,-4.71,35.71,14.29,-6.13,-7.95
"E07000113","Swale","E01024620","Swale005D","Swale 005D",0.2,-0.46,-14.38,12.36,-2.01,-2.76,-1.36,-2.15,-27.96,19.66,-8.65,-0.53,1.73,0.81,4.48,5.38,5.49,-4.76
"E07000113","Swale","E01024580","Swale006A","Swale 006A",16.38,-4.51,53.85,92.92,3.04,-2.1,34.99,0.7,110.53,574.29,6.07,0.36,1,-10.57,21.21,10.73,-0.47,-4.47
"E07000113","Swale","E01024581","Swale006B","Swale 006B",24.18,6.57,40.19,87.05,8.41,3.64,48.28,3.75,90.24,596.67,18.24,2.1,6.05,10.08,9.09,8.25,0,5.3
"E07000113","Swale","E01024586","Swale006C","Swale 006C",19.23,3.8,11.7,86.72,4.18,3.83,45.56,6.5,67.8,609.09,14.77,0.92,0.92,0.88,-13.95,9.42,-4.83,6.97
"E07000113","Swale","E01024618","Swale006D","Swale 006D",-19.28,9.55,-21.64,-39.22,-4.14,-7.75,-31.49,14.77,-30.54,-53.74,-6.83,-17.93,3.24,4.44,-0.97,5.41,-0.78,6.1
"E07000113","Swale","E01024576","Swale007B","Swale 007B",-3.42,-4.05,-13.76,0,-1.22,-6.17,-3.65,-12.35,-13.64,-0.34,7.01,-6.31,-3.19,5.3,-13.86,0.32,-8.82,-6.03
"E07000113","Swale","E01024577","Swale007C","Swale 007C",-0.07,-9.57,3.35,4.41,-2.71,4.11,1.88,-10.79,-3.77,17.88,-4.97,7.41,-1.96,-8.39,13.7,-5.16,0,0.9
"E07000113","Swale","E01024578","Swale007D","Swale 007D",3.82,6.17,0.55,5.91,0.3,2.73,6.3,8.97,-10.2,14.55,2.45,2.15,1.46,3.29,12.94,-1.23,-1.78,3.33
"E07000113","Swale","E01024579","Swale007E","Swale 007E",-6.25,-9.16,-3.09,-3.86,-13.68,2.62,-5.2,-7.56,-7.52,-1.61,-12.85,8.89,-7.3,-10.79,2.05,-5.92,-14.6,-2.97
"E07000113","Swale","E01024583","Swale007F","Swale 007F",3.06,-4.77,5.56,5.57,3.1,7.66,9.42,2.12,5.56,14.07,9.74,14.58,-2.43,-11,5.56,-1.55,-2.96,2.88
"E07000113","Swale","E01032655","Swale007G","Swale 007G",-2.54,3.09,-13.78,-4.36,5.26,-9.62,-5.5,-2.61,-23.21,-4.35,5.76,-16.9,0.53,10.09,-1.19,-4.38,4.72,-3.53
"E07000113","Swale","E01032656","Swale007H","Swale 007H",7,3.59,9,9.41,10.1,0,7.68,6.13,0.99,10.77,9.87,3.96,6.34,0.83,17.17,8.21,10.34,-3.57
"E07000113","Swale","E01024570","Swale008A","Swale 008A",-0.06,0.34,-3.9,1.62,-2.67,1.95,0.23,-2.72,-6.93,11.16,-8.04,2.54,-0.33,3.42,-0.96,-5.71,3.41,1.41
"E07000113","Swale","E01024571","Swale008B","Swale 008B",-0.39,22.22,-15.84,1.86,-7.67,1.1,-1.71,23.66,-24.79,2.82,-8.43,1.17,0.89,20.83,-3.53,0.92,-7.04,1.04
"E07000113","Swale","E01024572","Swale008C","Swale 008C",-4.6,-6.73,-10.14,-0.27,-4.59,-6.01,-5.16,2.97,-12.16,-5.29,-4.61,-8.13,-4.02,-15.89,-8.11,5.06,-4.58,-3.64
"E07000113","Swale","E01024573","Swale008D","Swale 008D",-1.57,-6.7,-10.38,5.01,1.78,-3.2,-1.09,-5.05,-10.42,7.19,-2.63,0.69,-2.01,-8.42,-10.34,3.23,6.98,-6.03
"E07000113","Swale","E01024575","Swale008E","Swale 008E",-2.76,-1.75,0.73,-2.87,-3.53,-4.17,-2.99,-2.11,1.28,-2.86,-1.97,-7.41,-2.51,-1.32,0,-2.87,-5,-0.78
"E07000113","Swale","E01024554","Swale009A","Swale 009A",-0.51,3.02,-5.49,3.97,-5.56,-0.59,-1.24,1.5,-7.89,4.79,-7.27,-0.64,0.23,4.88,-2.48,3.18,-3.83,-0.54
"E07000113","Swale","E01024561","Swale009B","Swale 009B",-7.6,-6.29,-15.38,-9.27,-5.24,3.31,-11.03,-3.31,-19.64,-14.71,-6.25,-4.82,-3.56,-9.27,-9.64,-2.55,-4.08,13.24
"E07000113","Swale","E01024567","Swale009C","Swale 009C",-5.63,-4.95,-10.34,-5.07,-5.78,-3.17,-8.04,-5.16,-22.9,-7.06,-2.21,-1.88,-3.23,-4.73,7.65,-3.16,-8.76,-4.28
"E07000113","Swale","E01024568","Swale009D","Swale 009D",-0.5,-2.64,-11.38,2.64,2.97,0.72,0.06,-2.83,-6.8,4.43,1.82,-2.4,-1.04,-2.48,-15.94,1.01,4.15,3.79
"E07000113","Swale","E01024582","Swale009E","Swale 009E",-3.51,-2.7,-10.71,-1.8,-5.68,-0.28,-2.71,1.83,-15.45,-1.15,-3.03,0.6,-4.31,-7.08,-4.65,-2.5,-8.02,-1.08
"E07000113","Swale","E01024559","Swale010A","Swale 010A",0.36,1.17,-1.79,4.61,-6.99,-0.37,-1.74,-5.59,0,1.21,-8.26,1.9,2.38,9.65,-3.57,8.3,-5.83,-1.8
"E07000113","Swale","E01024584","Swale010B","Swale 010B",-0.59,-3.28,-9.43,3.28,7.21,-4.71,-1.66,-5.52,-18.18,10.42,4.68,-9.27,0.42,-1.08,0.82,-3.1,9.88,-1.06
"E07000113","Swale","E01024590","Swale010C","Swale 010C",2.12,2.23,4.5,3.63,-6.36,4.76,-0.76,-0.55,-9.45,2.59,-9.52,14.46,5.25,5.14,23.16,4.72,-2.13,-2.83
"E07000113","Swale","E01024599","Swale010D","Swale 010D",-1.77,-0.85,-7.14,-3.61,5.77,-0.82,-1.61,5.91,-13.89,-1.86,0,-4.63,-1.92,-5.95,-0.86,-5.26,12,2.22
"E07000113","Swale","E01024608","Swale010E","Swale 010E",2.62,7.65,-11.92,8.06,0,1.14,3.62,5.75,-21.58,13.9,1.2,4.62,1.65,9.8,-0.83,1.91,-1.26,-0.91
"E07000113","Swale","E01024591","Swale011A","Swale 011A",-0.46,1.71,4.94,-1.62,-2.91,-2.49,0.93,8.52,5.22,-3.64,-3.86,7.27,-1.8,-4.42,4.69,0.35,-1.75,-10.69
"E07000113","Swale","E01024592","Swale011B","Swale 011B",-2.26,-0.48,-15.24,3.27,-0.77,-5.47,-1.56,1.79,-28.72,6.74,5.6,-4.2,-2.96,-3.13,2.86,0,-6.67,-6.57
"E07000113","Swale","E01024593","Swale011C","Swale 011C",-5.25,-5.8,-9.39,-3.07,-6.47,-4.62,-2.93,-5.88,1.35,1.26,-12.17,1.18,-7.4,-5.71,-16.82,-6.71,-0.85,-10.23
"E07000113","Swale","E01024600","Swale011D","Swale 011D",1.61,5,-1.01,1.73,-0.64,2.87,1.08,-2.24,-3.85,10.65,-2.61,-2.94,2.13,14.15,2.13,-6.07,1.24,8.39
"E07000113","Swale","E01024601","Swale011E","Swale 011E",1.13,9.43,-11.94,9.49,-2.93,-2.14,3.75,23.36,-16.67,13.46,-1.72,-1.7,-1.34,-4.76,-6.45,5.8,-3.98,-2.53
