"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000096","Dacorum","E01023430","Dacorum001A","Dacorum 001A",1.85,3.62,-2.73,3.38,4.09,-2.3,3.31,0.77,3.51,7.57,6.98,-3.73,0.33,7.69,-9.43,-0.5,1.43,-0.79
"E07000096","Dacorum","E01023431","Dacorum001B","Dacorum 001B",-3.05,-2.87,-4.17,-0.26,-5.54,-3.63,-2.49,-6.56,-3.13,10.47,-10.23,-6.92,-3.66,2.3,-5.36,-10.5,-0.6,0
"E07000096","Dacorum","E01023432","Dacorum001C","Dacorum 001C",0.12,1.19,6.5,2.22,-4.26,-2.63,2.1,-2.13,-1.35,5.7,5.1,-0.79,-1.85,5.37,18.37,-1.08,-11.79,-4.29
"E07000096","Dacorum","E01023433","Dacorum001D","Dacorum 001D",0.41,5.51,12.12,-6.61,4.21,3.31,4.39,10.53,23.73,-4.33,5.3,10.98,-3.37,0,2.74,-8.75,3.1,-3.03
"E07000096","Dacorum","E01023423","Dacorum002A","Dacorum 002A",-3.28,-5.2,15.2,7.85,-6.27,-17.12,-0.59,-10.96,25,15.73,-5.3,-15.97,-5.61,1.63,6.15,0.98,-7.14,-17.86
"E07000096","Dacorum","E01023424","Dacorum002B","Dacorum 002B",1.49,1.81,10.64,3.23,-4.22,1.62,3.31,-0.69,27.87,2.83,0,1.63,-0.27,4.55,-2.5,3.6,-8.25,1.61
"E07000096","Dacorum","E01023425","Dacorum002C","Dacorum 002C",3.61,1.09,2.26,8.1,0.71,3.24,6.01,-1.46,-3.28,18.62,10.26,-3.88,1.43,3.65,6.94,-1.45,-6.1,11.02
"E07000096","Dacorum","E01023426","Dacorum002D","Dacorum 002D",-3.09,-3.51,-19.33,-1.94,5.78,1.77,-2.74,-2.21,-18.49,-4.38,12.77,-1.8,-3.42,-4.7,-20,0.74,-1.47,4.09
"E07000096","Dacorum","E01023418","Dacorum003A","Dacorum 003A",1.64,3.94,0,1.49,3.37,-1.09,3.11,4.73,3.23,4.05,7.63,-6.19,0.27,3.05,-3.9,-0.81,-0.74,2.47
"E07000096","Dacorum","E01023419","Dacorum003B","Dacorum 003B",-0.09,3.75,-7.75,-1.3,2.78,0.72,-3.02,-2,-10.64,-3.46,0.9,-1.69,2.74,9.5,-4.62,0.76,4.78,2.53
"E07000096","Dacorum","E01023420","Dacorum003C","Dacorum 003C",1.91,2.42,-8.88,7.33,1.29,0.29,8.39,0.83,5.19,16.11,6,7.64,-3.69,3.94,-20.65,-0.42,-3.13,-5.13
"E07000096","Dacorum","E01023352","Dacorum004A","Dacorum 004A",1.14,2.17,2.91,1.16,3.92,-3.27,4.39,2.35,14.71,6.27,3.07,1.17,-1.9,1.98,-8.65,-3.23,4.78,-7.14
"E07000096","Dacorum","E01023421","Dacorum004B","Dacorum 004B",-1.8,-6.11,1.42,0.64,-3.86,-1.24,-1.9,-3.82,2.63,-1.73,-5.16,0.7,-1.69,-8.4,0,2.95,-2.56,-2.78
"E07000096","Dacorum","E01023422","Dacorum004C","Dacorum 004C",-2.95,-10.23,-4.13,0.32,-1.69,-2.02,-1.93,-14.04,0,4.11,0,-1.26,-3.9,-5.94,-7.35,-3.05,-3.42,-2.67
"E07000096","Dacorum","E01023434","Dacorum005A","Dacorum 005A",-1.04,-4.21,2.89,-2.67,8.7,-6.19,1.28,-3.91,3.53,3.15,6.21,-5.05,-3.33,-4.52,2.27,-8.26,11.45,-7.21
"E07000096","Dacorum","E01023435","Dacorum005B","Dacorum 005B",-6.22,6.14,-13.51,-11.26,2.8,-14.18,-9.62,-0.68,-16,-14.07,1.86,-21.05,-2.28,13.74,-10.96,-8,4,-6.15
"E07000096","Dacorum","E01023436","Dacorum005C","Dacorum 005C",-1.43,-8.37,0,-2.25,1.36,3.43,0.16,-5.41,9.52,-2.26,4.03,0,-3.03,-11.54,-8.7,-2.23,-1.38,6.98
"E07000096","Dacorum","E01023437","Dacorum005D","Dacorum 005D",-2.78,1.13,-16,-2.29,-0.85,2,-3.14,-6.5,-13.19,0.98,-1.67,0,-2.44,10.97,-18.35,-5.19,0,3.77
"E07000096","Dacorum","E01023355","Dacorum006A","Dacorum 006A",0.33,0.85,0.75,-0.26,1.97,-1.01,2.5,-1.6,-7.35,-1.04,12.2,4.09,-1.65,3.67,9.09,0.51,-6.81,-4.91
"E07000096","Dacorum","E01023356","Dacorum006B","Dacorum 006B",-1.57,-8.41,-13.64,3.35,3.23,-0.65,-0.19,-6.93,-14.04,5.08,9.65,-2.07,-2.78,-9.73,-13.21,1.99,-2.24,0.62
"E07000096","Dacorum","E01023416","Dacorum006C","Dacorum 006C",-3.16,-6.91,-6.92,-6.9,0.53,0.26,-0.7,0.93,-4.76,-2.05,-1.06,1.9,-5.43,-14.68,-8.96,-12.09,2.14,-0.87
"E07000096","Dacorum","E01023417","Dacorum006D","Dacorum 006D",-2.3,-4.38,-6.19,1.69,-4.21,-2.99,1.23,-8.4,1.64,8.29,7.89,-4.7,-5.38,0,-19.44,-4.07,-13.61,-1.83
"E07000096","Dacorum","E01023393","Dacorum007A","Dacorum 007A",-4.41,-2.98,0,-5.9,-4.46,-4.53,-5.64,0,0,-8.53,-5.76,-6.11,-3.05,-5.7,0,-2.45,-2.76,-3.21
"E07000096","Dacorum","E01023394","Dacorum007B","Dacorum 007B",1.6,-7.41,17.04,-0.59,1.02,10.43,2.91,-8.86,11.69,2.41,5.38,12.15,0.28,-5.76,24.14,-3.5,-2.45,8.65
"E07000096","Dacorum","E01023395","Dacorum007C","Dacorum 007C",0.29,6.18,-5.39,3.15,1.29,-10.68,2.86,4.44,-5.51,14.01,-2.44,-8.04,-2.22,8.13,-5.26,-5.73,5.52,-13.11
"E07000096","Dacorum","E01023396","Dacorum007D","Dacorum 007D",3.54,-0.87,-7.47,8.73,1.75,9.46,6.26,-3.39,-7.61,16.08,4.79,12.96,0.86,1.78,-7.32,1.84,-1.14,6.14
"E07000096","Dacorum","E01023397","Dacorum007E","Dacorum 007E",2.59,-4.02,12.5,3.82,4.63,0.69,5.98,-1.68,15,8.58,10.83,-1.35,-0.71,-6.51,9.38,-0.38,-0.72,2.86
"E07000096","Dacorum","E01023401","Dacorum008A","Dacorum 008A",-0.37,-1.24,17.53,-3.04,-4.11,2.89,-0.54,-3.17,16.87,0.83,-8.38,-0.99,-0.21,1.1,18.31,-6.57,0.67,5.67
"E07000096","Dacorum","E01023402","Dacorum008B","Dacorum 008B",7.1,1.17,2.03,18.75,3.03,-2.58,13.28,11.32,3.16,28.07,2.68,0.91,1.29,-7.69,0.98,9.62,3.48,-4.97
"E07000096","Dacorum","E01023403","Dacorum008C","Dacorum 008C",1.27,1.72,5.84,2.26,4.15,-4.51,6.3,5.06,30,10.29,5.3,-6.12,-3.06,-2.27,-8.05,-4.5,3.01,-3.37
"E07000096","Dacorum","E01023404","Dacorum008D","Dacorum 008D",-2.12,-9.67,1.94,3.74,-4.52,-1.72,0,-5.15,4.88,3.9,-3.85,2.38,-4.07,-14.07,-1.37,3.6,-5.13,-4.05
