"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000029","Copeland","E01019268","Copeland001A","Copeland 001A",-3.04,-12.4,14.1,-1.7,-5.7,-2.74,-1.7,-16.13,15.79,2.1,-0.76,-4.55,-4.31,-8.47,12.5,-5.3,-10.61,-1.14
"E07000029","Copeland","E01019269","Copeland001B","Copeland 001B",1.73,3.13,2.91,3,-0.99,0.61,5.83,6.62,12.5,8.89,2.86,0.57,-2.29,-0.73,-5.43,-2.48,-4.32,0.65
"E07000029","Copeland","E01019270","Copeland001C","Copeland 001C",1.01,3.14,-6.11,4.2,1.07,-3.07,-1.65,0,-17.46,6.64,-0.7,-10.92,3.85,7.69,4.41,1.83,2.92,5.5
"E07000029","Copeland","E01019297","Copeland001D","Copeland 001D",14.31,24.4,2.8,17.37,15.47,8.78,18.54,17.39,10.13,24.26,23.39,11.5,10.36,32.89,-6.25,11.17,8.51,6.71
"E07000029","Copeland","E01019260","Copeland002A","Copeland 002A",-2.97,-4.6,-1.67,-3.51,1.72,-6.67,-1.96,-1.4,-11.21,0,5.8,-7.69,-4.01,-8.47,12.33,-6.74,-1.96,-5.69
"E07000029","Copeland","E01019280","Copeland002B","Copeland 002B",1.52,-13.89,3.64,5.99,1.03,-0.45,4.55,-15.79,28.26,10.98,-0.42,0.49,-2.12,-11.76,-14.06,-1.76,3.29,-1.26
"E07000029","Copeland","E01019281","Copeland002C","Copeland 002C",-5.61,-10.67,-21.77,0.65,0,-6.18,-4.3,-11.54,-23.68,6.45,-1.6,-4.09,-6.92,-9.72,-19.72,-5.26,1.57,-8.11
"E07000029","Copeland","E01019282","Copeland002D","Copeland 002D",0.42,0,9.09,-0.27,-1.4,-0.95,-2.07,-2.02,-1.33,-3.03,-3.16,1.02,3.16,2.17,22.81,2.79,0.78,-2.65
"E07000029","Copeland","E01019261","Copeland003A","Copeland 003A",-11.29,-14.14,-21.17,-13.45,-4.81,-7.24,-11.91,-10.2,-26.06,-11.58,-3.62,-12.85,-10.64,-18,-12.5,-15.25,-6.02,-1.67
"E07000029","Copeland","E01019262","Copeland003B","Copeland 003B",-1.96,-2.58,6,-1.37,-3.45,-4.36,0,-0.74,6.76,3.25,-2.38,-4.97,-3.89,-4.41,5.26,-5.54,-4.59,-3.75
"E07000029","Copeland","E01019284","Copeland003C","Copeland 003C",0.33,9.47,6.34,4.71,-9.69,-7.12,-0.52,6.32,17.57,0.54,-7.95,-11.85,1.09,12.63,-5.88,8.63,-11.11,-3.45
"E07000029","Copeland","E01019285","Copeland003D","Copeland 003D",2.54,-6.41,2.72,6.35,-0.64,14.2,5.33,-7.28,1.85,9.52,4.14,24.36,-0.13,-5.59,3.95,3.5,-4.82,4.76
"E07000029","Copeland","E01019286","Copeland003E","Copeland 003E",2.59,1.18,8.13,-2.33,2.75,6.76,3.38,9.3,-8.11,0.56,4.58,8,1.84,-7.23,32.65,-4.83,0.81,5.79
"E07000029","Copeland","E01019287","Copeland003F","Copeland 003F",-0.78,2.29,9,-5.18,-0.43,-1.25,-1.03,3.13,8.7,-6.98,-1.75,0.66,-0.52,1.27,9.26,-3.21,0.84,-2.99
"E07000029","Copeland","E01019288","Copeland003G","Copeland 003G",-4.06,-6.44,-9.36,-1.39,2.33,-9.89,-5.27,-6.99,-14.43,-2.23,8.03,-15.11,-2.76,-5.79,-2.7,-0.48,-2.45,-4.03
"E07000029","Copeland","E01019256","Copeland004A","Copeland 004A",-3.76,-3.31,-4.7,-4.66,1.21,-8.86,-4.36,-8.65,-6.02,-5.58,4.95,-11.11,-3.15,3.9,-3.03,-3.74,-2.37,-6.75
"E07000029","Copeland","E01019263","Copeland004B","Copeland 004B",3.52,16.09,18.75,-3.62,2.18,-0.49,5.45,18.89,12.7,2.54,5.26,-4.76,1.49,13.1,26.53,-10,-0.87,4
"E07000029","Copeland","E01019264","Copeland004C","Copeland 004C",-2.18,-8.74,-14.52,1.99,-1.35,6.02,-3.78,-6.62,-22.92,3.73,-5.73,9.02,-0.59,-10.67,-2.06,0.38,3.35,3.61
"E07000029","Copeland","E01019265","Copeland004D","Copeland 004D",0.16,3.57,2.74,5.39,-2.94,-4.59,-2.83,-9.72,-10,4.95,-4.37,-2.78,3.41,17.65,23.21,5.92,-1.27,-6.01
"E07000029","Copeland","E01019266","Copeland004E","Copeland 004E",-1.75,-0.55,0.6,3,-9.94,-0.85,-1.9,2.41,-2.04,2.88,-9.39,-1.74,-1.6,-3.03,4.35,3.1,-10.53,0
