"LAD11CD","LAD11NM","LSOA11CD","LSOA11_NM","LSOA11NM","A_All","A_0to14","A_15to24","A_25to49","A_50to64","A_65plus","M_All","M_0to14","M_15to24","M_25to49","M_50to64","M_65plus","F_All","F_0to14","F_15to24","F_25to49","F_50to64","F_65plus"
"E07000220","Rugby","E01031129","Rugby001B","Rugby 001B",3.61,-1.64,6.19,3.36,12.33,0.3,4.79,0,14.89,8.23,11.71,-3.66,2.51,-3.03,-2,-1.18,12.96,4.07
"E07000220","Rugby","E01031159","Rugby001C","Rugby 001C",7.51,4.66,22.01,16.5,3.25,-0.96,8.08,-2.63,18.99,28.57,-0.47,1.52,6.94,13.39,25,6.28,7.41,-3.23
"E07000220","Rugby","E01031160","Rugby001D","Rugby 001D",4.39,2.27,-11.46,15,2.85,1.45,6.43,8.28,-16.19,20.3,4.26,1.69,2.39,-3.95,-5.75,10.03,1.49,1.21
"E07000220","Rugby","E01031182","Rugby001E","Rugby 001E",-1.46,-6.15,-6.04,-2.73,6.56,0,-3.63,-10.8,-13.2,-3.19,13.4,-4.08,1.34,-0.56,14.71,-2.04,0.86,4.55
"E07000220","Rugby","E01032891","Rugby001F","Rugby 001F",-7.33,-2.84,2.58,-10.34,-5.16,-26.76,-5.46,-4.31,8.99,-8.6,4.44,-41.18,-9.26,-1.33,-2.86,-12.18,-16.24,-13.51
"E07000220","Rugby","E01032892","Rugby001G","Rugby 001G",5.1,2.92,9.43,13.08,-3.76,-0.78,7.3,2.05,8.4,18.5,-4.26,5.38,3.04,3.81,10.62,8.52,-3.2,-5.56
"E07000220","Rugby","E01031137","Rugby002A","Rugby 002A",3.5,3.08,5.68,13.24,5.86,-18.4,4.09,7.37,0,13.49,-6.02,-5.81,2.93,-1,9.09,12.95,20.75,-26.98
"E07000220","Rugby","E01031138","Rugby002B","Rugby 002B",3.72,-0.47,17.83,9.61,-4.79,-1.65,11.37,7.61,14.29,19.46,2.67,10.53,-3.02,-6.56,22.03,1.36,-11.66,-12.5
"E07000220","Rugby","E01031139","Rugby002C","Rugby 002C",2.05,1.68,-4.98,11.28,-2.22,-3.54,0.22,-0.58,-2.22,7.84,-0.4,-12.4,4,4.76,-7.21,14.77,-4.08,6.67
"E07000220","Rugby","E01031140","Rugby002D","Rugby 002D",5.16,2.07,9.16,12.28,2.09,-1.08,11.01,13.27,4.48,17,7.46,6.56,-0.14,-7.75,14.06,7.54,-2.61,-7.05
"E07000220","Rugby","E01031141","Rugby002E","Rugby 002E",2.25,-0.82,-0.8,2.91,8.36,2.96,3.56,-2.84,6.54,5.86,7.91,0,0.94,1.37,-6.34,0,8.82,6.02
"E07000220","Rugby","E01031142","Rugby002F","Rugby 002F",2.54,-9.98,8.58,8.08,2.08,14.1,6.74,-5.22,3.36,15.34,4.61,22.22,-1.56,-14.34,14.04,1.13,-0.74,7.14
"E07000220","Rugby","E01031171","Rugby003A","Rugby 003A",1.11,-12.15,12.36,6.98,1.61,-2.07,5.22,-11.73,20.65,9.13,7.48,5.65,-2.98,-12.58,3.49,4.88,-3.68,-10.26
"E07000220","Rugby","E01031172","Rugby003B","Rugby 003B",3.82,-8.63,29.94,9.98,0.68,-2.14,9.3,-8.85,36.62,22.31,7.69,-0.73,-1.01,-8.42,24.42,0.32,-6.04,-3.47
"E07000220","Rugby","E01031173","Rugby003C","Rugby 003C",-4.68,-18,-4.11,3.11,-8.06,-5.24,-4.02,-17.05,-10.43,2.24,-7.5,1.91,-5.4,-18.97,2.88,4.31,-8.72,-10.22
"E07000220","Rugby","E01031174","Rugby003D","Rugby 003D",12.12,3.75,17.22,16.49,7.83,10.98,15.31,12.5,0.92,18.7,10.53,31.58,8.92,-4.17,35,14.05,4.23,-0.59
"E07000220","Rugby","E01031151","Rugby004A","Rugby 004A",6.56,6.51,3.57,16.62,1.99,1.86,6.11,-2.63,-1.14,20.43,2.05,3.94,7.02,16.83,11.54,12.95,1.94,0
"E07000220","Rugby","E01031152","Rugby004B","Rugby 004B",3.05,3.91,-1.15,8.93,9.42,-5.96,4.89,7.02,2.44,12.33,12.5,-7.74,1.3,1.41,-4.35,5.52,6.31,-4.27
"E07000220","Rugby","E01031153","Rugby004C","Rugby 004C",4.23,1.33,6.13,12.06,2.58,-4.59,7.85,0,6.38,27.92,8.5,-11.85,0.78,2.86,5.8,0,-3.18,2.03
"E07000220","Rugby","E01031154","Rugby004D","Rugby 004D",2.8,-5.22,14.07,7.31,4.06,-2.02,4.85,-8,20.59,13.17,8.75,-3.11,0.81,-1.69,7.46,2.17,0,-0.91
